sentence,university,originalTotal,originalDegreesLength,total,degreesLength,degrees,positions,mbas
"曾任中山大学讲师、教授,兼任中山大学新经济研究中心主任,美国乔治华盛顿大学教授助理,国务院侨办海外专家咨询委员会委员,广东省政协委员,广东经济学会副会长,广东省粤港澳合作促进会金融专业委员会常务副主任,广州风险投资促进会会长,广东省与广州市社科院客座研究员,美国世界银行顾问,广州证券有限责任公司副总裁、首席经济学家、监事长,广州广证恒生证券研究院有限公司董事长、总经理,广州广证恒生证券投资咨询有限公司首席经济学家,广东广州日报传媒股份有限公司、威创集团股份有限公司、广州机电集团及广州广日集团独立董事、深圳市天地(集团)股份有限公司独立董事",中山大学,3,0,0,0,[],[],[]
"曾任中山大学讲师、教授,兼任中山大学新经济研究中心主任,美国乔治华盛顿大学教授助理,国务院侨办海外专家咨询委员会委员,广东省政协委员,广东经济学会副会长,广东省粤港澳合作促进会金融专业委员会常务副主任,广州风险投资促进会会长,广东省与广州市社科院客座研究员,美国世界银行顾问,广州证券有限责任公司副总裁、首席经济学家、监事长,广州广证恒生证券研究院有限公司董事长、总经理,广州广证恒生证券投资咨询有限公司首席经济学家,广东广州日报传媒股份有限公司、威创集团股份有限公司、广州机电集团及广州广日集团独立董事、深圳市天地(集团)股份有限公司独立董事",华盛顿大学,3,0,1,0,[],"[""教授""]",[]
江西农业大学工程学院机械设计与制造专业工学学士、中国人民大学会计系会计学专业管理学(会计学)硕士、中国人民大学商学院会计学专业管理学(会计学)博士,中国人民大学,4,3,4,3,"[""本科"",""硕士"",""博士后""]",[],"[""管理学""]"
江西农业大学工程学院机械设计与制造专业工学学士、中国人民大学会计系会计学专业管理学(会计学)硕士、中国人民大学商学院会计学专业管理学(会计学)博士,江西农业大学,4,3,4,3,"[""本科"",""硕士"",""博士后""]",[],"[""管理学""]"
"陈治民,男,1963年出生,西南政法大学法学学士,中国人民大学法学硕士",西南政法大学,2,2,1,1,"[""学士""]",[],[]
"陈治民,男,1963年出生,西南政法大学法学学士,中国人民大学法学硕士",中国人民大学,2,2,1,1,"[""硕士""]",[],[]
"1987年7月至2000年4月在广东药学院工作,历任助教、讲师、副教授、教授,2000年5月至今任中山大学教授",广东药学院,2,0,0,0,[],[],[]
"1987年7月至2000年4月在广东药学院工作,历任助教、讲师、副教授、教授,2000年5月至今任中山大学教授",中山大学,2,0,1,0,[],"[""教授""]",[]
"曾任深圳大学讲师,厦门大学经济学院应用经济学博士后流动站博士后,英国埃克塞特大学(UniversityofExeter)访问学者",深圳大学,4,2,1,0,[],"[""讲师""]",[]
"曾任深圳大学讲师,厦门大学经济学院应用经济学博士后流动站博士后,英国埃克塞特大学(UniversityofExeter)访问学者",厦门大学,4,2,1,1,"[""博士后""]",[],[]
"曾任深圳大学讲师,厦门大学经济学院应用经济学博士后流动站博士后,英国埃克塞特大学(UniversityofExeter)访问学者",埃克塞特大学,4,2,1,0,[],"[""访问学者""]",[]
"2010年6月至2018年9月任中央财经大学会计学院讲师、副教授,2018年9月任中国人民大学教授",中央财经大学,2,0,2,0,[],"[""教授"",""讲师""]",[]
"2010年6月至2018年9月任中央财经大学会计学院讲师、副教授,2018年9月任中国人民大学教授",中国人民大学,2,0,1,0,[],"[""教授""]",[]
"程小可:男,1975年出生,中国国籍,中国人民大学会计学博士,清华大学经济管理学院工商管理博士后,中国注册会计师",中国人民大学,4,2,1,1,"[""博士""]",[],[]
"程小可:男,1975年出生,中国国籍,中国人民大学会计学博士,清华大学经济管理学院工商管理博士后,中国注册会计师",清华大学,4,2,3,1,"[""博士后""]",[],"[""管理学"",""工商管理""]"
