sentence,university,originalTotal,originalDegreesLength,total,degreesLength,degrees,positions,mbas
"历任中国人民大学经济学院、清华大学社会科学学院经济所教授,现任复旦大学校级特聘教授、经济学院博士生导师",复旦大学,3,1,3,1,"[""博士""]","[""教授"",""导师""]",[]
兼任西南财经大学特聘教授、上海理工大学特聘教授,上海理工大学,1,0,1,0,[],"[""教授""]",[]
兼任西南财经大学特聘教授、上海理工大学特聘教授,西南财经大学,1,0,1,0,[],"[""教授""]",[]
"1984年12月至1991年9月任安徽大学经济系讲师、副教授,1994年7月至今任中国人民大学经济学院副教授、教授,2017年6月至今任厦门建霖健康家居股份有限公司独立董事,此外,还兼任安徽皖维高新材料股份有限公司独立董事、合肥百货大楼集团股份有限公司独立董事、浙江唐德影视股份有限公司独立董事、浙江严牌过滤技术股份有限公司独立董事",安徽大学,2,0,2,0,[],"[""教授"",""讲师""]",[]
"1984年12月至1991年9月任安徽大学经济系讲师、副教授,1994年7月至今任中国人民大学经济学院副教授、教授,2017年6月至今任厦门建霖健康家居股份有限公司独立董事,此外,还兼任安徽皖维高新材料股份有限公司独立董事、合肥百货大楼集团股份有限公司独立董事、浙江唐德影视股份有限公司独立董事、浙江严牌过滤技术股份有限公司独立董事",中国人民大学,2,0,1,0,[],"[""教授""]",[]
"于1983年8月毕业于西南农学院(2005年更名为西南大学)农学专业,取得农学学士学位,于2005年6月毕业于电子科技大学高级管理人员工商管理专业,取得工商管理硕士学位",西南大学,3,2,0,0,[],[],[]
"于1983年8月毕业于西南农学院(2005年更名为西南大学)农学专业,取得农学学士学位,于2005年6月毕业于电子科技大学高级管理人员工商管理专业,取得工商管理硕士学位",电子科技大学,3,2,1,0,[],[],"[""工商管理""]"
"2003年9月加入中国共产党,2005年8月参加工作,2005年7月毕业于中国政法大学,2018年12月毕业于中央财经大学法律专业,法律硕士,经济师(金融),具有董事会秘书资格、证券从业资格、法律职业资格、公司律师执业资格",中国政法大学,1,1,0,0,[],[],[]
"2003年9月加入中国共产党,2005年8月参加工作,2005年7月毕业于中国政法大学,2018年12月毕业于中央财经大学法律专业,法律硕士,经济师(金融),具有董事会秘书资格、证券从业资格、法律职业资格、公司律师执业资格",中央财经大学,1,1,0,0,[],[],[]
"杜毅刚女士毕业于湘潭大学国际会计专业并获学士学位,于2011年9月完成湖南大学商学院MBA硕士专业课程",湘潭大学,3,2,1,1,"[""学士""]",[],[]
"杜毅刚女士毕业于湘潭大学国际会计专业并获学士学位,于2011年9月完成湖南大学商学院MBA硕士专业课程",湖南大学,3,2,2,1,"[""硕士""]",[],"[""MBA""]"
"2、教育背景2003年6月杭州电子科技大学财务管理本科毕业3、工作经历、兼职情况曾任浙江英特药业有限责任公司财务部会计、财务主管、副科长,浙江英特医药药材有限公司财务部副科长,浙江英特集团股份有限公司审计部门经理助理",杭州电子科技大学,1,1,1,1,"[""本科""]",[],[]
"吕宁,女,1976年出生中共党员高级经济师、执业药师、心理咨询师2、教育背景1998年浙江医科大学药学专业毕业获学士学位2014年浙江大学公共管理专业毕业获MPA学位3、工作经历、兼职情况曾任浙江英特药业有限责任公司新特药分公司、药品分公司常务副经理、经理",浙江大学,1,1,1,1,"[""学士""]",[],[]
"吕宁,女,1976年出生中共党员高级经济师、执业药师、心理咨询师2、教育背景1998年浙江医科大学药学专业毕业获学士学位2014年浙江大学公共管理专业毕业获MPA学位3、工作经历、兼职情况曾任浙江英特药业有限责任公司新特药分公司、药品分公司常务副经理、经理",浙江医科大学,1,1,1,1,"[""学士""]",[],[]
"刘正伟,男,1979年生,浙江工商大学经济学学士、大连理工大学控制工程硕士",大连理工大学,2,2,2,2,"[""本科"",""硕士""]",[],[]
