_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,actualParticipated,specificProjects,subsidyAmounts,comment,location,codedBy
"""601b90f435b23ba031137fe3""",一带一路（19年之前）,年度报告,2017,华纺股份：2017年年度报告摘要,600448.SH,华纺股份,制造业,纺织业,山东省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600448/page_type/ndbg.phtml,,,,,,
"""601b90f435b23ba031137ff5""",一带一路（19年之前）,年度报告,2017,信息发展：2017年年度报告,300469.SZ,信息发展,信息传输、软件和信息技术服务业,软件和信息技术服务业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300469/page_type/ndbg.phtml,,,,,,
"""601b90f435b23ba031137fe5""",一带一路（19年之前）,年度报告,2017,宁波韵升：2017年年度报告,600366.SH,宁波韵升,制造业,非金属矿物制品业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600366/page_type/ndbg.phtml,,,,,,
"""601b90f535b23ba03113801c""",一带一路（19年之前）,年度报告,2017,纽威股份：2017年年度报告,603699.SH,纽威股份,制造业,通用设备制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603699/page_type/ndbg.phtml,,,,,,
"""601b90f435b23ba031137fe8""",一带一路（19年之前）,年度报告,2017,新农开发：2017年年度报告,600359.SH,新农开发,农、林、牧、渔业,农业,新疆维吾尔自治区,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600359/page_type/ndbg.phtml,,,,,,
"""601b90f435b23ba031138000""",一带一路（19年之前）,年度报告,2017,天宝退：2017年年度报告,002220.SZ,天宝退,,,,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002220/page_type/ndbg.phtml,,,,,,
"""601b90f435b23ba031138006""",一带一路（19年之前）,年度报告,2017,山推股份：2017年年度报告摘要,000680.SZ,山推股份,制造业,专用设备制造业,山东省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000680/page_type/ndbg.phtml,,,,,,
"""601b90f535b23ba031138020""",一带一路（19年之前）,年度报告,2017,四川路桥：2017年年度报告摘要,600039.SH,四川路桥,电力、热力、燃气及水的生产和供应业,土木工程建筑业,四川省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600039/page_type/ndbg.phtml,,,,,,
"""601b90f535b23ba031138023""",一带一路（19年之前）,年度报告,2017,富瑞特装：2017年年度报告,300228.SZ,富瑞特装,制造业,专用设备制造业,江苏省,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300228/page_type/ndbg.phtml,,,,,,
"""601b90f435b23ba031137fe0""",一带一路（19年之前）,年度报告,2017,黑牡丹：2017年年度报告摘要,600510.SH,黑牡丹,房地产业,房地产业,江苏省,地方政府,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600510/page_type/ndbg.phtml,,,,,,
"""601b90f435b23ba031137ff0""",一带一路（19年之前）,年度报告,2017,特变电工：2017年年度报告,600089.SH,特变电工,制造业,电气机械及器材制造业,新疆维吾尔自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600089/page_type/ndbg.phtml,,,,,,
