_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,actualParticipated,specificProjects,subsidyAmounts,comment,location,codedBy
"""601b8f8335b23ba031137b99""",一带一路（19年之前）,年度报告,2015,超华科技：2015年年度报告（更新后）,002288.SZ,超华科技,制造业,计算机、通信和其他电子设备制造业,广东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002288/page_type/ndbg.phtml,,,,,,
"""601b8f8335b23ba031137b9b""",一带一路（19年之前）,年度报告,2015,智慧能源：2015年年度报告（修订稿）,600869.SH,智慧能源,制造业,电气机械及器材制造业,青海省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600869/page_type/ndbg.phtml,,,,,,
"""601b900f35b23ba031137dc5""",一带一路（19年之前）,年度报告,2015,*ST雅博：2015年年度报告（更新后）,002323.SZ,*ST雅博,电力、热力、燃气及水的生产和供应业,建筑装饰和其他建筑业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002323/page_type/ndbg.phtml,,,,,,
"""601b92ea35b23ba0311383b3""",一带一路（19年之前）,年度报告,2015,新奥股份：2015年年度报告,600803.SH,新奥股份,制造业,化学原料及化学制品制造业,河北省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600803/page_type/ndbg.phtml,,,,,,
"""601b92ea35b23ba031138398""",一带一路（19年之前）,年度报告,2015,华民股份：2015年年度报告（更新后）,300345.SZ,华民股份,制造业,金属制品业,湖南省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300345/page_type/ndbg.phtml,,,,,,
"""601b92ea35b23ba0311383b1""",一带一路（19年之前）,年度报告,2015,精功科技：2015年年度报告（更新后）,002006.SZ,精功科技,制造业,专用设备制造业,浙江省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002006/page_type/ndbg.phtml,,,,,,
"""601b9821031af7a1feeab09e""",一带一路（19年之前）,年度报告,2015,山东海化：2015年年度报告（更新后）,000822.SZ,山东海化,制造业,化学原料及化学制品制造业,山东省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000822/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab1f4""",一带一路（19年之前）,年度报告,2015,*ST新亿：2015年年度报告(修订版),600145.SH,*ST新亿,制造业,非金属矿物制品业,新疆维吾尔自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600145/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab1ee""",一带一路（19年之前）,年度报告,2015,烯碳退：2015年年度报告（更新后）,000511.SZ,烯碳退,,,,无实际控制人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000511/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab208""",一带一路（19年之前）,年度报告,2015,华力创通：2015年年度报告（更新后）,300045.SZ,华力创通,制造业,专用设备制造业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300045/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab209""",一带一路（19年之前）,年度报告,2015,凯撒旅业：2015年年度报告（更新后）,000796.SZ,凯撒旅业,租赁和商务服务业,商务服务业,陕西省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000796/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab213""",一带一路（19年之前）,年度报告,2015,山东矿机：2015年年度报告（更新后）,002526.SZ,山东矿机,制造业,专用设备制造业,山东省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002526/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab216""",一带一路（19年之前）,年度报告,2015,恒逸石化：2015年年度报告（更新后）,000703.SZ,恒逸石化,制造业,化学纤维制造业,广西壮族自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000703/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab1fb""",一带一路（19年之前）,年度报告,2015,万年青：2015年年度报告（更新后）,000789.SZ,万年青,制造业,非金属矿物制品业,江西省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000789/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab217""",一带一路（19年之前）,年度报告,2015,台海核电：2015年年度报告（更新后）,002366.SZ,台海核电,制造业,专用设备制造业,四川省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002366/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab21a""",一带一路（19年之前）,年度报告,2015,ST中安：2015年年度报告（修订稿）,600654.SH,ST中安,信息传输、软件和信息技术服务业,软件和信息技术服务业,上海市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600654/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab1f2""",一带一路（19年之前）,年度报告,2015,神火股份：2015年年度报告（更新后）,000933.SZ,神火股份,制造业,有色金属冶炼及压延加工业,河南省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000933/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab1fd""",一带一路（19年之前）,年度报告,2015,建设机械：2015年年度报告(修订版),600984.SH,建设机械,制造业,专用设备制造业,陕西省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600984/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab200""",一带一路（19年之前）,年度报告,2015,雪峰科技：2015年年度报告摘要(修订版),603227.SH,雪峰科技,制造业,化学原料及化学制品制造业,新疆维吾尔自治区,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603227/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab20d""",一带一路（19年之前）,年度报告,2015,海南高速：2015年年度报告（更新后）,000886.SZ,海南高速,房地产业,房地产业,海南省,地方政府,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000886/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab21b""",一带一路（19年之前）,年度报告,2015,嘉寓股份：2015年年度报告（更新后）,300117.SZ,嘉寓股份,电力、热力、燃气及水的生产和供应业,建筑装饰和其他建筑业,北京市,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300117/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab224""",一带一路（19年之前）,年度报告,2015,铜陵有色：2015年年度报告摘要,000630.SZ,铜陵有色,制造业,有色金属冶炼及压延加工业,安徽省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000630/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab1f6""",一带一路（19年之前）,年度报告,2015,新研股份：2015年年度报告（更新后）,300159.SZ,新研股份,制造业,铁路、船舶、航空航天和其它运输设备制造业,新疆维吾尔自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300159/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab205""",一带一路（19年之前）,年度报告,2015,特变电工：2015年年度报告(修订版),600089.SH,特变电工,制造业,电气机械及器材制造业,新疆维吾尔自治区,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600089/page_type/ndbg.phtml,,,,,,
"""601b9826031af7a1feeab20c""",一带一路（19年之前）,年度报告,2015,北新路桥：2015年年度报告（更新后）,002307.SZ,北新路桥,电力、热力、燃气及水的生产和供应业,土木工程建筑业,新疆维吾尔自治区,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/002307/page_type/ndbg.phtml,,,,,,
