_id,policyTitle,sourceType,sourceYear,title,stockCode,stockName,parentIndustry,industry,provinces,actualControllerType,link,actualParticipated,specificProjects,subsidyAmounts,comment,location,codedBy
"""601b8f5935b23ba031137b1a""",一带一路（19年之前）,年度报告,2018,海螺型材：2018年年度报告,000619.SZ,海螺型材,制造业,橡胶和塑料制品业,安徽省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000619/page_type/ndbg.phtml,,,,,,
"""601b8f5935b23ba031137b1b""",一带一路（19年之前）,年度报告,2018,冀东水泥：2018年年度报告,000401.SZ,冀东水泥,制造业,非金属矿物制品业,河北省,地方国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/000401/page_type/ndbg.phtml,,,,,,
"""601b8f5935b23ba031137b1c""",一带一路（19年之前）,年度报告,2018,石英股份：2018年年度报告摘要,603688.SH,石英股份,制造业,非金属矿物制品业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603688/page_type/ndbg.phtml,,,,,,
"""601b8f5935b23ba031137b1e""",一带一路（19年之前）,年度报告,2018,苏州科达：2018年年度报告,603660.SH,苏州科达,制造业,计算机、通信和其他电子设备制造业,江苏省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603660/page_type/ndbg.phtml,,,,,,
"""601b8f5935b23ba031137b1f""",一带一路（19年之前）,年度报告,2018,福鞍股份：2018年年度报告,603315.SH,福鞍股份,制造业,通用设备制造业,辽宁省,个人,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/603315/page_type/ndbg.phtml,,,,,,
"""601b8f5935b23ba031137b21""",一带一路（19年之前）,年度报告,2018,西部黄金：2018年年度报告,601069.SH,西部黄金,采矿业,有色金属矿采选业,新疆维吾尔自治区,地方政府,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/601069/page_type/ndbg.phtml,,,,,,
"""601b8f5935b23ba031137b22""",一带一路（19年之前）,年度报告,2018,祁连山：2018年年度报告,600720.SH,祁连山,制造业,非金属矿物制品业,甘肃省,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600720/page_type/ndbg.phtml,,,,,,
"""601b8f5935b23ba031137b24""",一带一路（19年之前）,年度报告,2018,中国船舶：2018年年度报告,600150.SH,中国船舶,制造业,铁路、船舶、航空航天和其它运输设备制造业,上海市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600150/page_type/ndbg.phtml,,,,,,
"""601b8f5935b23ba031137b25""",一带一路（19年之前）,年度报告,2018,华能国际：2018年年度报告,600011.SH,华能国际,电力、热力、燃气及水的生产和供应业,电力、热力生产和供应业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/600011/page_type/ndbg.phtml,,,,,,
"""601b8f5935b23ba031137b26""",一带一路（19年之前）,年度报告,2018,中铁装配：2018年年度报告摘要,300374.SZ,中铁装配,制造业,非金属矿物制品业,北京市,国资委,http://vip.stock.finance.sina.com.cn/corp/go.php/vCB_Bulletin/stockid/300374/page_type/ndbg.phtml,,,,,,
