name
中共
共产党
党代会
党委
机关党委
党工委
党支部
党组
党总支
团委
党校
中央党校
中共中央党校
支部
党办
中共省委
省委
中共市委
市委
中共区委
区委
县委
党务
纪委
党群
党群工作部
党政工办
党工部
党支
党政办
党政部
党政业务处
党建工作部
党政综合办
党风廉政建设

