stockCode,stockName,controller,originalControllerType,newControllerType,hasForeignController,clean
000911.SZ,南宁糖业,广西壮族自治区人民政府,地方政府,地方国资委,,地方国资委
000917.SZ,电广传媒,湖南省国有文化资产监督管理委员会,地方政府,地方国资委,,地方国资委
000931.SZ,中关村,黄光裕,个人,境外,1,
000938.SZ,紫光股份,教育部,个人,中央国家机关,,中央国家机关
000953.SZ,*ST河化,熊续强,个人,境外,1,
000978.SZ,桂林旅游,桂林市人民政府,地方政府,地方国资委,,地方国资委
000981.SZ,*ST银亿,熊续强,个人,境外,1,
000988.SZ,华工科技,教育部,个人,中央国家机关,,中央国家机关
001914.SZ,招商积余,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
002027.SZ,分众传媒,江南春,个人,境外,1,
002036.SZ,联创电子,韩盛龙、陈伟,个人,个人;境外,1,个人;
002038.SZ,双鹭药业,徐明波,个人,地方国资委;个人,,地方国资委;个人
002046.SZ,国机精工,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
002084.SZ,海鸥住工,唐台英、戎启平,个人,境外,1,
002088.SZ,鲁阳节能,BehdadEghbali、JoséE.Feliciano,个人,境外,1,
002091.SZ,江苏国泰,江苏国泰国际贸易有限公司,其他,地方国有企业,,地方国有企业
002093.SZ,国脉科技,陈国鹰、林惠榕、林金全,个人,个人;其他,,个人;其他
002100.SZ,天康生物,新疆生产建设兵团国有资产经营有限责任公司,地方国资委,地方国有企业,,地方国有企业
002101.SZ,广东鸿图,广东省人民政府,地方政府,地方国有企业,,地方国有企业
002106.SZ,莱宝高科,,,国资委,,国资委
002127.SZ,南极电商,张玉祥、朱雪莲,个人,其他;个人,,其他;个人
002154.SZ,报喜鸟,吴婷婷、吴志泽,个人,其他;个人,,其他;个人
002158.SZ,汉钟精机,廖哲男,个人,境外,1,
002162.SZ,悦心健康,李慈雄,个人,境外,1,
002213.SZ,大为股份,,,个人,,个人
002227.SZ,奥特迅,廖晓霞,个人,境外,1,
002230.SZ,科大讯飞,刘庆峰、中科大资产经营有限责任公司,个人,中央国有企业;个人,,中央国有企业;个人
002252.SZ,上海莱士,黄凯、郑跃文,个人,个人;境外,1,个人;
002258.SZ,利尔化学,中国工程物理研究院,中央国家机关,其他,,其他
002265.SZ,西仪股份,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
002276.SZ,万马股份,张德生,个人,地方国资委,,地方国资委
002291.SZ,星期六,梁怀宇、张泽民,个人,境外,1,
002300.SZ,太阳电缆,刘秀萍、李文亮、李云孝,个人,境外,1,
002314.SZ,南山控股,中国南山开发,其他,中央国有企业,,中央国有企业
002333.SZ,ST罗普,吴明福,个人,境外,1,
002338.SZ,奥普光电,中国科学院长春光学精密机械与物理研究所,中央国家机关,其他,,其他
002348.SZ,高乐股份,杨旭恩、杨广城、杨镇欣、杨镇凯、杨楚丽、杨康华,个人,境外;个人,1,;个人
002415.SZ,海康威视,国务院国有资产监督管理委员会,国资委,中央国有企业,,中央国有企业
002425.SZ,凯撒文化,陈玉琴、郑合明,个人,境外,1,
002427.SZ,ST尤夫,,,其他,,其他
002445.SZ,*ST中南,江阴高新技术产业开发区管理委员会,地方政府,地方国有企业,,地方国有企业
002454.SZ,松芝股份,陈福成,个人,境外,1,
002462.SZ,嘉事堂,国务院国有资产监督管理委员会,国资委,中央国家机关,,中央国家机关
002479.SZ,富春环保,孙庆炎,个人,地方国资委,,地方国资委
002484.SZ,江海股份,方铿,个人,境外,1,
002490.SZ,山东墨龙,张恩荣,个人,地方国资委,,地方国资委
002549.SZ,凯美特气,祝恩福,个人,境外,1,
002552.SZ,宝鼎科技,招远市人民政府,地方政府,个人,,个人
002565.SZ,顺灏股份,王丹,个人,境外,1,
002577.SZ,雷柏科技,曾浩,个人,境外,1,
002598.SZ,山东章鼓,济南市章丘区财政局,地方政府,地方国资委,,地方国资委
002647.SZ,仁东控股,北京市海淀区人民政府国有资产监督管理委员会,地方国资委,个人,,个人
002655.SZ,共达电声,万魔声学科技有限公司,其他,境外,1,
002671.SZ,龙泉股份,许培锋,个人,境外,1,
002683.SZ,宏大爆破,广东省人民政府,地方政府,地方国有企业,,地方国有企业
002693.SZ,双成药业,王成栋、王荧璞,个人,境外;个人,1,;个人
002729.SZ,好利来,黄舒婷、郑倩龄,个人,境外,1,
002732.SZ,燕塘乳业,广东省农垦集团公司,地方国有企业,中央国有企业,,中央国有企业
002752.SZ,昇兴股份,林永贤、林永保、林永龙,个人,境外,1,
002759.SZ,天际股份,吴锡盾、池锦华,个人,个人;境外,1,个人;
002777.SZ,久远银海,中国工程物理研究院,中央国家机关,其他,,其他
