sentence,keywords,parent,level,name,title,stockName,stockCode,degrees,positions,mbas,totalCount
"2010年6月至2018年9月任中央财经大学会计学院讲师、副教授,2018年9月任中国人民大学教授","[""中国人民大学""]","2010年6月至2018年9月任中央财经大学会计学院讲师、副教授,2018年9月任中国人民大学教授",1,王玉涛,独立董事,世纪星源,000005,[],"[""教授"",""讲师""]",[],2
"程小可:男,1975年出生,中国国籍,中国人民大学会计学博士,清华大学经济管理学院工商管理博士后,中国注册会计师","[""中国人民大学""]","程小可:男,1975年出生,中国国籍,中国人民大学会计学博士,清华大学经济管理学院工商管理博士后,中国注册会计师",1,程小可,独立董事,神州高铁,000008,"[""博士"",""博士后""]",[],"[""管理学"",""工商管理""]",4
"现任中国人民大学副教授,中国南玻集团股份有限公司独立董事","[""中国人民大学""]","现任中国人民大学副教授,中国南玻集团股份有限公司独立董事",1,朱乾宇,独立董事,南  玻Ａ,000012,[],"[""教授""]",[],1
"杨雄文,男,1970年出生,中国人民大学民商法学博士,牛津大学法学院访问学者","[""中国人民大学""]","杨雄文,男,1970年出生,中国人民大学民商法学博士,牛津大学法学院访问学者",1,杨雄文,独立董事,深华发Ａ,000020,"[""博士""]","[""访问学者""]",[],2
"董大伟先生,39岁,中国国籍,毕业于西安电子科技大学微电子学院电力电子与电力传动专业,工学硕士","[""电子科技大学""]","董大伟先生,39岁,中国国籍,毕业于西安电子科技大学微电子学院电力电子与电力传动专业,工学硕士",1,董大伟,董事,深科技,000021,"[""硕士""]",[],[],1
"王宝瑛先生,中国国籍,1964年7月出生,北京航空航天大学学士、中欧国际工商学院EMBA,研究员级高级工程师,无境外永久居留权","[""北京航空航天大学""]","王宝瑛先生,中国国籍,1964年7月出生,北京航空航天大学学士、中欧国际工商学院EMBA,研究员级高级工程师,无境外永久居留权",1,王宝瑛,监事会主席,飞亚达,000026,"[""本科""]","[""研究员""]","[""MBA""]",3
"曹荣根,男,1963年9月出生,哈尔滨工业大学毕业,工学学士","[""哈尔滨工业大学""]","曹荣根,男,1963年9月出生,哈尔滨工业大学毕业,工学学士",1,曹荣根,总经理,大悦城,000031,"[""本科""]",[],[],1
"白俊江先生,58岁,中国国籍,毕业于西安电子科技大学微波工程专业","[""电子科技大学""]","白俊江先生,58岁,中国国籍,毕业于西安电子科技大学微波工程专业",1,白俊江,独立董事,深科技,000021,"[""毕业""]",[],[],1
"周鹏,男,1978年1月出生,哈尔滨工业大学无机非金属材料专业工学学士,英国纽卡斯尔卢桑比亚大学项目管理专业管理学硕士,中央民族大学区域经济专业经济学博士","[""哈尔滨工业大学""]","周鹏,男,1978年1月出生,哈尔滨工业大学无机非金属材料专业工学学士,英国纽卡斯尔卢桑比亚大学项目管理专业管理学硕士,中央民族大学区域经济专业经济学博士",1,周鹏,总经理助理,大悦城,000031,"[""博士"",""本科"",""硕士""]",[],"[""管理学""]",4
"陈伟彬:男,1986年出生,电子科技大学中山学院金融、财务管理本科学历","[""电子科技大学""]","陈伟彬:男,1986年出生,电子科技大学中山学院金融、财务管理本科学历",1,陈伟彬,董事会秘书,全新好,000007,"[""本科""]",[],[],1
