keyword,description
党代表,"王友林先生:1963年出生,中国国籍,大学学历,高级工程师,正高级经济师。为公司创始人及主要发起人股东,曾在南汽吴江跃进客车厂、莘塔通用机械厂工作,历任科长、厂长等职务。目前担任的社会职务主要有:中国国际商会副会长,中国电梯协会副会长,江苏省苏商会副会长,苏州轨道交通产业协会会长,苏州市电梯业商会会长,吴江区电梯行业协会会长,汾湖高新区总商会会长;江苏省人大代表、江苏省工商联执委、苏州市党代表,苏州市人大代表,苏州工商联副主席;苏州大学董事会常务董事等。曾荣获:“全国就业创业先进个人”、“江苏省优秀企业家”、“苏州市优秀中国特色社会主义事业建设者”、“苏州市劳动模范”、“苏州慈善楷模”等荣誉称号。2014年至今任北京康力优蓝机器人科技有限公司董事长,2016年至今任苏州工业园区康力机器人产业投资有限公司执行董事兼总经理,2007年至今任康力电梯股份有限公司董事长、总经理。"
党代表,"普世坤,男,出生于1974年7月,中国籍,无境外永久居留权,上海大学工学博士,教授级高级工程师,云南省第三批“云岭学者”,国家“西部之光”访问学者,云南省技术创新人才,全国半导体材料标准化技术委员会委员,全国有色金属标准样品委员会委员,中国有色冶金学会特种冶金分会委员;中共云南省第10届党代会党代表。2000年10月至今任职于云南临沧鑫圆锗业股份有限公司,历任云南临沧鑫圆锗业股份有限公司化验室副主任、主任,分析测试部部长,生产技术部部长,质量技术管理部部长,分析测试中心主任,技术中心主任。2017年2月至今,任云南临沧鑫圆锗业股份有限公司副总经理。"
党代表,"董美珠女士,1968年11月出生,中国国籍,无境外长期居留权,大专学历。历任浙江双环控股集团股份有限公司项目部经理、浙江双环传动机械股份有限公司项目部经理,2005年11月当选为玉环县珠港镇第三届人大代表,2007年6月至2011年3月担任浙江双环传动机械股份有限公司总经办主任,2007年11月至今担任浙江双环传动机械股份有限公司监事会主席,2013年8月至今担任玉环县双环小额贷款有限公司董事。2016年12月担任玉环县党代表。"
党代表,"朱文明,男,中国国籍,1967年出生,本科学历。历任金财互联控股股份有限公司前身盐城丰东热处理有限公司生产部技术员、营销部部长、副总经理、总经理、董事、董事长。现任金财互联控股股份有限公司董事长、总经理;江苏东润金财投资管理有限公司董事长;兼任上海丰东热处理工程有限公司、广州鑫润丰东热处理有限公司、天津丰东热处理有限公司、江苏石川岛丰东真空技术有限公司、盐城高周波热炼有限公司董事长,广州丰东热炼有限公司副董事长,上海垒土资产管理有限公司、苏州丰东热处理技术有限公司董事,江苏菌钥生命科技发展有限公司监事,上海君德实业有限公司、上海君浩实业有限公司执行董事。社会职务有:中国机械工程学会热处理分会常务理事、江苏省党代表、盐城市工商联副会长。"
党代表,"饶永,男,汉族,1958年12月出生,籍贯广西藤县,研究生学历,中国资深注册会计师;现任:深圳市第六届人大代表、深圳市人大计划预算委员会委员;深圳市注册会计师行业党委副书记;瑞华会计师事务所(特殊普通合伙)合伙人;佳兆业集团控股有限公司独立董事。1976年9月--1978年1月广西藤县城关公社潭东村插队务农,1978年2月--1980年6月广西财经专科学校读书并毕业,1980年6月--1984年5月广西梧州市财政局,1984年6月--1990年12月广西梧州市审计局,任科长,1990年12月--1997年9月深圳市审计局,任处长,1993年9月--1997年9月兼任深圳市审计师事务所所长,1994年8月--1997年7月广东省委党校经济类研究生班半脱产读书并毕业,1997年9月--2012年8月深圳鹏城会计师事务所总经理、合伙人,2005年7月--2010年7月深圳市第四届党代表,2005年12月--2010年9月深圳市注册会计师协会,任会长,2006年10月--今深圳市注册会计师行业党委,任副书记,2009年11月--2014年5月广东省注册会计师协会,任副会长,2009年12月--今佳兆业集团控股有限公司,任独立董事,2010年5月--2015年4月深圳市第五届人大代表,2012年8月--2018年6月瑞华会计师事务所(特殊普通合伙)广东分所,任所长,2012年8月--今瑞华会计师事务所(特殊普通合伙)合伙人,2015年5月--今深圳市第六届人大代表、深圳市人大计划预算委员会委员。于2020年4月29日获委任为茂业国际控股有限公司独立非执行董事。"
党代表,"石聚彬先生,出生于1961年,中国国籍,无境外居留权,北京大学工商管理硕士(EMBA),高级经济师。1992年郑州市新郑县奥星食品厂成立,任厂长;1997年,新郑县奥星食品厂改制为河南省新郑奥星实业有限公司,历任执行董事兼总经理、董事长兼总经理;2009年8月至今,历任好想你健康食品股份有限公司董事长兼总经理、董事长、董事长并代行总经理职责等职,现任好想你健康食品股份有限公司董事长兼总经理,并担任第十三届全国人大代表。曾担任河南省第十一届人大代表、河南省第十二届人大代表、中共河南省第九届党代表等社会职务。曾荣获“全国劳动模范”、“全国五一劳动奖章”、“河南省劳动模范”、“郑州市劳动模范”等荣誉称号。"
党代表,"尹正龙先生:1965年8月生,中国国籍,无永久境外居留权。毕业于安徽中医大学药学专业,本科学历,高级工程师,现任安徽山河药用辅料股份有限公司董事长兼总经理、合肥山河执行董事、曲阜天利董事长。1989年8月至1997年9月,先后任淮南市第五制药厂技术员、技术科长、副总工程师、总工程师;1997年9月至2001年4月,先后任淮南山河药业有限公司副总经理、总工程师;2001年至今,任山河有限和山河药辅董事长兼总经理。目前担任全国药用辅料专业委员会副主任委员、安徽省战略性新兴产业领军人才、安徽省产学研联合专家库成员、淮南市药学会常务理事、淮南市药学会专家库成员,安徽省级党代表、淮南市人大代表、安徽省工商联副会长、淮南市科协常委、安徽省科协委员、安徽理工大学和安徽中医药大学外聘教授。尹正龙先生系公司发明专利“崩解剂羧甲淀粉钠的制备方法”的发明人之一,个人获“高溶胀型羧甲淀粉钠制备技术及应用项目”淮南市科技进步奖二等奖。"
党代表,"周姚娟女士,1973年生,中国国籍,无境外永久居留权,大专学历,工程师。历任海盐贵工量刃具有限公司拉刀量具车间主任助理、副主任、主任,公司制造中心主任、拉量车间主任、监事会主席。现任恒锋工具股份有限公司副总经理。海盐县第十二、十三、十四届党代表,嘉兴市第七届、第八届党代表。曾获得全国机械工业劳动模范荣誉称号。"
入党,"向伟,男,汉族,1968年10月出生,四川安居人,1986年7月入党,毕业于中国人民解放军徐州工程兵指挥学院道路桥梁专业,大专文化,现就读于四川大学行政管理系。1986年11月-1988年7月,中国人民解放军84854部队服现役;1988年7月-1990年7月,中国人民解放军徐州工程兵指挥学院道路桥梁专业就读;1990年7月-2003年10月,中囯人民解放军56015部队、中国人民武装警察8740部队先后任排长、政治指导员、副营职参谋;2003年10月-2004年4月,遂宁市城市工作办公室综合科副科长;2004年4月-2007年5月,中共遂宁市船山区委办公室网管中心副主任;2007年5月-2009年8月,遂宁市船山区城市工作局副局长;2009年8月-2009年I2月,中共遂宁市船山区委办公室政研室主任;2009年12月-2016年4月,遂宁市船山区仁里镇镇长;2018年4月至今,中共遂宁市船山区委提名遂宁市天泰实业有限责任公司董事长及总经理。"
入党,"孙峰:男,汉族,1963年8月出生,江苏姜堰人,2000年6月入党,1985年7月参加工作,高级工程师,大学学历,工商管理硕士。2003年11月至2011年5月任江苏林海动力机械集团公司副总经理,2011年5月至2012年6月任江苏林海动力机械集团公司副董事长,2012年6月至今任江苏林海动力机械集团公司董事长;2016年5月至2018年5月任中国福马机械集团有限公司董事、总经理;2018年5月至今任中国福马机械集团有限公司董事、党委副书记、总经理;2009年6月至2012年6月任林海股份有限公司董事长,2012年6月至2019年12月任林海股份有限公司副董事长,2019年12月至今任林海股份有限公司董事长。"
