keyword,description
入党,"常康忠,男,汉族,1972年8月出生,江苏泰州人,大学毕业,高级工程师。2013年12月入党。1995年8月参加工作,2002年12月至2012年12月任林海股份有限公司销售公司主管、副经理、经理;2013年1月至2015年8月任林海股份有限公司副总经济师;2015年8月至2017年8月任江苏林海动力机械集团有限公司副总经济师兼林机通机事业部常务副经理、经理;2017年8月至2018年11月任江苏林海动力机械集团有限公司副总经理兼林机通机事业部经理;2018年12月10日始任林海股份有限公司总经理。"
入党,"张光远:男,汉族,1968年7月出生,辽宁铁岭人,1991年6月入党,1991年7月参加工作,高级经济师,大学学历,经济学硕士,现任中国福马机械集团有限公司党委副书记、纪委书记、副总经理。"
入党,"袁伟:男,汉族,1973年5月5日出生,江苏泰州人,2001年入党,1994年8月参加工作,大学毕业,高级工程师。2016年7月至2017年8月任中国福马机械集团有限公司企业管理部副部长、江苏林海动力机械集团有限公司董秘、总经理助理、综合管理部部长;2017年8月至2018年11月任中国福马机械集团有限公司企业管理部副部长、江苏林海动力机械集团有限公司副总经理;2018年11月至2020年9月任江苏林海动力机械集团有限公司党委副书记、纪委书记、副总经理;2020年9月至今任江苏林海动力机械集团有限公司副董事长、党委副书记、纪委书记;2018年12月起任林海股份有限公司第七届监事会主席。"
党代表,"高恩华,女,1986年出生,本科学历,助理农艺师。现任浙江东日股份有限公司检测中心检测员,曾为温州菜篮子集团检测中心检测员,2016年当选为温州市第十二届党代表。"
入党,"李猛:男,汉族,1972年4月出生,安徽太和人,1997年2月入党,1994年7月参加工作,高级工程师,研究生学历,工商管理硕士,现任中国福马机械集团有限公司监事、人力资源部部长。"
党代表,"陈爱莲女士:中国国籍,无境外永久居留权,1958年1月出生,复旦大学EMBA,高级经济师;现任浙江万丰奥威汽轮股份有限公司董事长、万丰奥特控股集团有限公司董事局主席、万丰锦源控股集团有限公司董事长;荣获中国经营大师、全国优秀创业企业家、全国优秀中国特色社会主义建设者、全国“三八”红旗手、中国十大杰出女性、风云浙商等称号,当选为全国十二、十三届人大代表、中共十七大代表,浙江省第十一、十二、十三、十四次党代表;担任中国企业联合会副会长、浙商总会副会长,浙江省工商联副主席,浙江省女企业家协会会长,上海市浙江商会党委书记等社会职务。"
入党,"符杰平先生:男,1962年出生,在职研究生学历,工学学士学位,高级工程师(职称),1984年8月参加工作,1998年4月入党。现任延长化建公司总经理、党委副书记。1993年7月--1996年1月陕西省石油化工建设公司第一工程处主任工程师,1996年1月--2002年12月陕西省石油化工建设公司第一分公司经理,2002年12月--2007年9月陕西省石油化工建设公司副总工程师、公司级项目经理,2007年9月--2016年2月延长石油集团工程管理部部长,2016年2月--2019年4月北京工程公司董事长、党委副书记,2019年5至今延长化建公司总经理、党委副书记。"
入党,"许缄涛:男,1966年出生,工程硕士,高级工程师,1987年7月参加工作,2001年6月入党。现任延长化建党委委员、副总经理,北京石油化工工程有限公司党委书记、董事长。1995年2月--2006年4月延安炼油厂工程技术科副科长(正科级),2006年4月--2007年11月延长石油炼化公司科技处副处长(主持工作)(其间:2006年11月任杨庄河指挥部副指挥),2007年11月--2010年7月延长石油炼化公司科技部经理、杨庄河项目建设指挥部副指挥,2010年7月--2010年9月延长石油炼化公司副总工程师、科技部经理、杨庄河项目建设指挥部副指挥,2010年9月--2013年7月延长石油炼化公司副总工程师,炼化公司项目建设指挥部指挥,2013年7月--2016年2月北京石油化工工程有限公司副总经理,2016年2月-2019年4月北京石油化工工程有限公司党委书记、副总经理,2019年4月至今延长化建股份有限公司党委委员、副总经理,北京石油化工工程有限公司党委书记、董事长。"
入党,"李科社:男,1969年出生,研究生学历,高级工程师,1990年7月参加工作,1998年4月入党,现任延长化建党委委员、副总经理,陕西化建党委委员、总经理。1990年7月-2003年1月陕西化建工程有限责任公司项目技术员、项目总工、项目副经理,2003年1月--2009年12月担任陕西化建工程有限责任公司项目经理;2010年1月--2015年5月陕西化建工程有限责任公司副总经理,分管公司施工生产,2015年5月--2019年5月延长化建副总经理、陕西化建副总经理,2019年5月至今延长化建党委委员、副总经理,陕西化建党委委员、总经理。"
党代表,"李楚源先生,55岁,在职研究生学历,EMBA硕士,高级经济师、(教授级)高级工程师职称,享受国务院政府特殊津贴专家,全国劳动模范,中国好人榜好人,中国十大经济年度人物,中国双拥年度人物,广东省十大创新人物,广东省十大经济风云人物,广州市十大杰出青年,广州市人大代表,广州市党代表,广州市管优秀专家,广东省政协科教卫体委员会副主任,广东省人大代表。李先生于1988年7月参加工作,曾先后担任广州白云山制药总厂经营部副部长;广州白云山制药股份有限公司副总经理、党委书记、董事长;广州白云山中药厂厂长、党委书记;广州白云山和记黄埔中药有限公司总经理、副董事长、党委书记;广药集团总经理、副董事长、党委副书记;广州白云山医药集团股份有限公司副董事长及广州医药股份有限公司副董事长等职务。李先生自2013年8月8日起任广州白云山医药集团股份有限公司董事长,现任广州医药集团有限公司党委书记、董事长及广州白云山医药集团股份有限公司党委书记。李先生在企业全面运营管理方面具有丰富的经验。"
入党,"陈争跃:女,1978年4月出生,汉族,籍贯上海,2006年5月入党,1995年12月参加工作,高级会计师职称,本科学历,塔里木大学会计学(在职)。在新疆青松建材化工(集团)股份有限公司先后担任:青松集团公司计划财务部科员、和田青松建材有限责任公司财务部部长、副总经理;集团公司财务部第二部长、集团公司纪检监察部、审计部部长等职务;现任新疆塔里木农业综合开发股份有限公司财务总监。"
入党,"李春芳:男,1968年4月出生,汉族,江苏溧阳人,1992年10月入党,1993年8月参加工作,大连理工大学化工机械与设备专业本科毕业,工学学士,高级工程师.历任南京晨光集团有限责任公司双层管分公司见习技术员、专用车辆设计研究所设计员,南京航天晨光应用技术股份有限公司专用车辆分公司设计室主任、泵阀(管件)分公司副总经理,南京航天晨光股份有限公司专用车辆分公司副总经理,航天晨光股份有限公司专用车辆分公司总经理等职务.现任航天晨光股份有限公司化工机械分公司总经理."
入党,"王镭,男,汉族,1969年6月出生,山东曹县人,1996年11月入党,1990年8月参加工作,北京理工大学车辆工程专业大学本科毕业,工学学士,研究员。历任航天三院8359所二室技术员、工程组长,航天总公司综合规划计划局934办公室干部、主任科员,中国航天科工集团公司发展计划部固定资产投资处副处长、计划统计处处长、固定资产投资处处长等职务。"
入党,"张怀锐:男,汉族,四川岳池人,1973年2月出生,1991年8月参加工作,1996年12月入党,文化程度大学,政工师。历任北京市热力集团有限责任公司纪检监察处处长;党群工作部组织处处长;党群工作部副部长、部长;党委组织处处长、党委综合处处长;工会临时负责人。现任北京京能电力股份有限公司党委副书记、工会主席。"
入党,"黄士强:男,1962年4月生,中国国籍。1979年7月参加工作,1982年12月入党,本科学历,高级经济师职称,现任无锡产业发展集团有限公司组织人事部部长、太极实业监事会主席、无锡太平针织有限公司董事长、无锡华亚织造有限公司董事、无锡芯奥微传感技术有限公司董事长。"
党代表,"张燕萍,女,1968年5月出生,大专学历,1988年11月参加工作,1996年12月加入中国共产党,高级经营师,汉阳区党代表。现任汉商集团副总经理兼武汉国际会展中心总经理、党委委员。1988年11月至2006年4月任汉商集团营业员、管理员、外贸公司业务员、基建部干事;2006年4月至2010年4月任会展中心会议公司会议商务部经理;2010年4月至2017年12月任会展中心副总经理、会议酒店公司总经理、咸宁温泉山庄总经理;2017年12月至2018年10月任集团公司总经理助理兼武汉国际会展中心股份有限公司总经理、党委委员;2018年10月至今集团公司副总经理兼武汉国际会展中心股份有限公司总经理、党委委员。荣获湖北省劳动模范等荣誉,入选武汉市“黄鹤英才计划”。"
党代表,"许宁女士:女,1971年出生,汉族,大学学历,经营师、心理咨询师二级,全国劳模,十九大党代表。现任东方商厦有限公司五楼居家礼品商场小家电部营业员,兼任百联集团有限公司职工监事。曾任东方商厦有限公司儿童用品商场童装部、玩具部、婴童部营业员。"
入党,冯传良，男，1969年出生，本科学历，高级会计师职称。1990年8月参加工作，1997年4月入党。现任湖南省轻工盐业集团有限公司党委书记、董事长，2014年12月至今兼任雪天盐业集团股份有限公司董事长。历任湖南轻工高等专科成教中心副主任，湖南轻工高等专科成教中心主任，轻盐集团财务管理部副部长，轻盐集团财务管理部部长，轻盐集团党委委员、总会计师，轻盐集团副总经理、党委委员、总会计师，轻盐集团党委书记、董事、副总经理，轻盐集团总经理、董事、党委委员，轻盐集团总经理、副董事长、党委副书记，轻盐集团董事长、党委书记、总经理、党委副书记。
入党,陈军，男，1962年出生，1985年7月入党，本科学历，高级政工师，高级人力资源管理师，现任公司职工董事、工会主席。历任水电八局政治部宣传专干、概预算员；1990年3月起历任任湖南省轻工建设公司纪委副科级纪检员、办公室主任、党委办主任、经理助理、党委副书记兼纪委书记、总经理兼党委书记；湖南华轻国际经济技术合作公司副总经理；湖南省轻工集团总公司行政部副部长、湖南省轻工盐业集团有限公司人力资源部副部长、办公室副主任、人力资源部部长、党群工作部部长。2013年12月20日至2015年11月任雪天盐业集团股份有限公司总经理助理兼党群工作部部长；2015年12月至今任湖南省轻工盐业集团有限公司工会主席、职工董事兼纪检党群部部长。
党代表,"周亚平先生:1963年5月生,助理政工师。现任重庆钢铁股份有限公司中厚板厂党委副书记、纪委书记、工会主席。周先生重庆钢铁股份有限公司中板厂调度室值班主任,中板厂热轧车间副主任兼首席轧钢作业长,中厚板厂厚板线热轧作业区党支部书记、副作业长,中厚板厂中板热轧作业区作业长兼党支部书记。周先生2005年获全国劳动模范荣誉称号,2007年5月当选为中国共产党第十七次全国党代会党代表,2009年9月获重庆市解放60周年“杰出贡献英模”,2012年5月当选为中国共产党第十八次全国党代会代表。周先生于2010年毕业于重庆教育学院。"
入党,"武宪功,男,1965年10月出生,1986年7月参加工作,1985年7月入党,大学学历,在职工程硕士,历任中铁十二局助理工程师、副队长、工程师、经营处科长、副处长,中铁建海外部副部长、海外公司副总经理,中土集团公司副总经济师,中铁二十四局集团党委常委、总经济师,中国铁建股份公司国际部部长、外事办主任、中铁十五局集团有限公司董事长、党委副书记、党委书记,2016年9月任中国铁建股份有限公司海外部总经理,2018年6月至2018年8月任中国化学工程集团有限公司党委常委;2018年8月至今任中国化学工程集团有限公司党委常委,中国化学工程股份有限公司党委常委、副总经理。"
入党,"刘德辉,男,1963年10月出生,1979年10月参加工作,1985年9月入党,研究生学历,历任中国化学工程第六建设公司、中国化学工程第四建设有限公司职工,中国化学工程第四建设有限公司三处施工队长、会计、科长、财务部副主任、三处主任,中国化学工程第四建设有限公司总经理助理、副总经理,中国化学工程第四建设有限公司党委书记,中国化学工程第四建设有限公司总经理、党委书记,2010年12月任中国化学工程第四建设有限公司董事长、党委书记,2018年7月至2018年8月任中国化学工程集团有限公司党委常委;2018年8月至今任中国化学工程集团有限公司党委常委,中国化学工程股份有限公司党委常委、副总经理。"
入党,"杨照乾,男,汉族,1963年3月出生,陕西澄城人。1981年7月参加工作,1992年12月入党。研究生学历,高级会计师职称。现任职务:陕西煤业化工集团有限责任公司党委书记、董事长。历任:韩城矿务局副局长;陕西省煤炭运销集团公司党组成员、副总经理;陕西煤业集团有限责任公司党委委员、副总经理;陕西煤业化工集团有限责任公司党委委员、副总经理;陕西煤业股份有限公司董事、总经理、董事长;陕西煤业化工集团有限责任公司董事、党委副书记、总经理。"
入党,"王世斌,男,汉族,陕西商县人。1964年4月出生,1984年8月参加工作,1987年5月入党,全日制大学学历,工学学士,在职研究生学历,正高级工程师。现任陕西煤业化工集团总经理助理。历任:铜川矿务局东坡矿副总工程师、安全监察处处长、东坡矿副矿长,铜川矿务局副总工程师、安全监察局副局长、安全监察局局长、总工程师,陕西煤业化工集团生产技术部经理、安全生产环保部经理,陕西煤业股份有限公司副总经理,陕西陕煤韩城矿业公司党委书记、董事长,韩城煤化实业有限公司党委书记。"
党代表,"魏建军先生,1964年生,长城汽车股份有限公司的董事长,负责制定长城汽车股份有限公司的管理理念、决定长城汽车股份有限公司的业务策略及新产品开发的引导工作。魏先生于1999年毕业于中共河北省委党校企业管理专业,曾于1981年就职于北京通县微电机厂、1983年就职于保定地毯厂、1984年就职于保定太行水泵厂。1990年加入保定长城汽车工业公司(长城汽车股份有限公司前身)并担任总经理,并于1991年承包长城汽车工业公司,自2001年6月至今,任长城汽车股份有限公司董事长。魏先生2009年被评为河北省第九、第十届人大代表及中共十八大党代表。目前魏先生担任保定市工商联合会副会长及河北省人大代表职务。魏先生同时为长城汽车股份有限公司主要股东保定创新长城资产管理有限公司之董事。"
党代表,"郑洪霞:女,中国国籍,无国外永久居留权,1971年出生,本科学历,中级会计师职称,诸城市第八届政协委员,诸城市第十七届人大代表,诸城市第十三届党代表,潍坊市第十七届人大代表。曾任山东大业工贸有限责任公司董事、诸城市大业金属制品有限责任公司财务总监,2011年3月至今任山东大业股份有限公司董事、副总经理、财务总监。"
党代表,"许仲秋先生:中国国籍,无境外永久居留权,1952年出生,研究生学历,高级工程师。1971年加入湖南机油泵厂,历任钳工、班长、调度员、常务副厂长、厂长;1994年至2006年任公司董事长、总经理兼党委书记,2006年至今任湖南机油泵股份有限公司董事长、党委书记,兼任衡山齿轮有限责任公司执行董事、湖南省嘉力机械有限公司执行董事、湖南东创智能装备有限公司执行董事、东兴昌科技(深圳)有限公司董事长、衡东领中机电有限公司执行董事、株洲易力达机电有限公司董事长、湖南东嘉智能科技有限公司董事长。曾任中国内燃机工业协会冷却水泵机油泵分会理事长,现任中国内燃机工业协会副会长。参与编写《内燃机配附件丛书-机油泵分册》和《机油泵行业标准》。曾当选为衡东县第十届党代表、衡阳市第十届人大代表、第十一届全国人大代表、第十二届全国人大代表,现为第十三届全国人大代表。先后被评为湖南省优秀中青年专家,湖南省优秀经营者,湖南省劳动模范。"
党代表,"董仁泽先生:中国国籍,无境外永久居留权,1973年出生,大专学历。1993年加入湖南机油泵厂(公司前身),历任检测技术员、检验科长、质量主管;2003年至2014年历任衡山齿轮有限责任公司技术质量主管、副总经理、总经理、总工程师;2015年至2016年任湖南机油泵股份有限公司技术中心经理;2017年至今任衡山齿轮有限责任公司总经理。2019年2月至今任湖南机油泵股份有限公司副总经理,2019年10月至今兼任湖南腾智机电有限责任公司董事、总经理。现为衡东县第十三届党代表。"
党代表,"梅益敏女士:1972年生,中国国籍,无境外永久居留权,大专学历。现任浙江恒林椅业股份有限公司党委书记、副总经理、恒林红领学院党校校长,兼任湖州市党代表、安吉县党代表、湖州市两新党务工作者协会副会长。"
