地素时尚,603587,收入构成,报告日期,2019-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
服装,237395,59103,178292,75.1%,99.95%
其他（补充）,447,351,96,21.57%,0.05%

地素时尚,603587,收入构成,报告日期,2018-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
服装,209543,54458,155085,74.01%,99.91%
其他（补充）,502,366,136,27.12%,0.09%

地素时尚,603587,收入构成,报告日期,2017-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
直营,86312,17855,68457,79.31%,47.01%
电商,19546,5160,14386,73.6%,9.88%
经销,88222,25580,62642,71%,43.01%
其他（补充）,511,359,152,29.71%,0.1%

地素时尚,603587,收入构成,报告日期,2016-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
经销,87842,24759,63083,71.81%,46.3%
直营,81157,16778,64378,79.33%,47.25%
其他（补充）,465,315,150,32.32%,0.11%
电商,12086,3434,8651,71.58%,6.35%

地素时尚,603587,收入构成,报告日期,2015-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
经销,98409,27737,70673,71.82%,51.19%
其他（补充）,809,502,307,37.93%,0.22%
电商,7460,2226,5234,70.16%,3.79%
直营,78509,16675,61834,78.76%,44.79%

地素时尚,603587,收入构成,报告日期,2014-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,780,538,241,30.92%,0.18%
经销,89892,27027,62866,69.93%,48.18%
直营,81740,17594,64146,78.48%,49.16%
电商,4987,1759,3228,64.73%,2.47%


