天奇股份,002009,收入构成,报告日期,2020-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),27061,25945,1115,4.12%,4.21%
重工装备,44910,37095,7815,17.4%,29.51%
智能装备,61131,49879,11252,18.41%,42.49%
循环板块,23973,17672,6301,26.28%,23.79%

天奇股份,002009,收入构成,报告日期,2019-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
循环板块,68272,50590,17682,25.9%,28.77%
重工装备,81757,65939,15817,19.35%,25.74%
智能装备,152382,127524,24859,16.31%,40.45%
其他（补充）,13346,10248,3098,23.21%,5.04%

天奇股份,002009,收入构成,报告日期,2019-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
重工装备,32033,26740,5293,16.52%,19.09%
其他（补充）,5438,3717,1721,31.65%,6.21%
循环板块,37240,27860,9380,25.19%,33.82%
智能装备,70218,58879,11339,16.15%,40.89%

天奇股份,002009,收入构成,报告日期,2018-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
重工装备,69718,55417,14301,20.51%,20.12%
其他（补充）,14260,12487,1773,12.43%,2.49%
循环产业,113713,79480,34233,30.1%,48.17%
智能装备,152585,131826,20759,13.6%,29.21%

天奇股份,002009,收入构成,报告日期,2018-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,3258,1044,2214,67.96%,5.93%
光伏新能源,82,53,29,35.48%,0.08%
物流自动化装备行业,64547,54854,9693,15.02%,25.95%
风电零部件行业,28595,23442,5154,18.02%,13.8%
循环行业,67753,47489,20264,29.91%,54.25%

天奇股份,002009,收入构成,报告日期,2017-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
光伏新能源,5393,4700,693,12.85%,1.13%
其他业务收入,7824,2192,5632,71.99%,9.21%
循环产业,55454,36194,19261,34.73%,31.5%
物流自动化装备系统,113471,91921,21549,18.99%,35.25%
风电零部件行业,63691,49686,14006,21.99%,22.91%

天奇股份,002009,收入构成,报告日期,2017-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
物流自动化装备系统,50000,38490,11509,23.02%,41.41%
循环产业,11950,7341,4609,38.57%,16.58%
分布式光伏EPC,7997,6843,1154,14.43%,4.15%
其他业务收入,3537,750,2786,78.78%,10.03%
风电零部件行业,33957,26222,7735,22.78%,27.83%

天奇股份,002009,收入构成,报告日期,2016-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他业务收入,7953,1114,6839,86%,12.53%
循环产业,34256,21827,12430,36.28%,22.77%
风电零部件行业,72976,55630,17346,23.77%,31.78%
物流自动化装备系统,128493,110521,17972,13.99%,32.92%

天奇股份,002009,收入构成,报告日期,2016-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他业务,3296,585,2711,82.26%,12.55%
其他产品,290,232,58,19.93%,0.27%
循环产业,7357,4680,2678,36.4%,12.39%
风电零部件行业,34824,26431,8393,24.1%,38.84%
物流自动化装备系统,46359,38591,7768,16.76%,35.95%

天奇股份,002009,收入构成,报告日期,2015-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他业务,5477,1072,4405,80.43%,9.04%
其他,1537,1187,350,22.79%,0.72%
循环产业,24583,15419,9165,37.28%,18.81%
风电零部件行业,75426,57827,17599,23.33%,36.13%
物流自动化装备系统,110456,93265,17191,15.56%,35.29%

天奇股份,002009,收入构成,报告日期,2015-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
汽车拆解行业,48,38,10,20.11%,0.05%
物流自动化装备系统,43658,34377,9280,21.26%,50.22%
其他业务,2014,890,1124,55.82%,6.08%
其他(补充),440,298,143,32.42%,0.77%
风电零部件行业,35452,27528,7924,22.35%,42.88%

天奇股份,002009,收入构成,报告日期,2014-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他业务,5596,4205,1391,24.86%,3.64%
风电零部件行业,67339,53343,13996,20.78%,36.62%
其他（补充）,2101,1021,1080,51.4%,2.83%
物流自动化装备系统,103081,81323,21757,21.11%,56.92%

天奇股份,002009,收入构成,报告日期,2014-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),1123,-- ,1123,--,5.89%
其他业务,941,877,65,6.85%,0.34%
风电零部件行业,28180,21843,6338,22.49%,33.22%
物流自动化装备系统,48862,37308,11553,23.65%,60.56%

天奇股份,002009,收入构成,报告日期,2013-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),3910,-- ,3910,--,9.17%
其他业务,8823,6927,1896,21.49%,4.45%
风电零部件行业,51753,43762,7991,15.44%,18.74%
物流自动化装备系统,110204,81356,28848,26.18%,67.65%

天奇股份,002009,收入构成,报告日期,2013-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),2475,-- ,2475,--,12.56%
其他业务,2123,1656,467,22.01%,2.37%
风电零部件行业,17293,14462,2831,16.37%,14.37%
物流自动化装备系统,53480,39549,13931,26.05%,70.7%

天奇股份,002009,收入构成,报告日期,2012-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),9427,-- ,9427,--,21.22%
其他业务,7089,5420,1669,23.54%,3.76%
风电零部件行业,39196,33822,5374,13.71%,12.1%
物流自动化装备系统,116174,88229,27945,24.05%,62.92%

天奇股份,002009,收入构成,报告日期,2012-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
物流自动化装备系统,53180,40086,13094,24.62%,68.51%
其他(补充),1419,-- ,1419,--,7.42%
风电零部件行业,17981,14478,3503,19.48%,18.33%
其他业务,3935,2840,1096,27.85%,5.73%

天奇股份,002009,收入构成,报告日期,2011-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),2709,-- ,2709,--,7.39%
其他业务,8379,6194,2185,26.08%,5.96%
风电零部件行业,39330,31997,7333,18.64%,19.99%
物流自动化装备系统,104019,79571,24448,23.5%,66.66%

天奇股份,002009,收入构成,报告日期,2011-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),355,-- ,355,--,2.04%
房地产业,894,397,497,55.57%,2.85%
制造业,64508,47947,16561,25.67%,95.11%

天奇股份,002009,收入构成,报告日期,2010-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
房地产行业,6492,5586,906,13.95%,3.75%
制造行业,96189,72967,23223,24.14%,96.25%

天奇股份,002009,收入构成,报告日期,2010-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
房地产,3675,2960,715,19.46%,7.31%
制造业,35047,25973,9074,25.89%,92.69%

天奇股份,002009,收入构成,报告日期,2009-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
房地产,4822,3577,1244,25.81%,10.29%
