金龙羽,002882,收入构成,报告日期,2020-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),209,135,73,35.09%,0.28%
外资类,1073,-- ,1073,--,4.05%
民用类,119918,102333,17585,14.66%,66.42%
电网类,7744,-- ,7744,--,29.25%

金龙羽,002882,收入构成,报告日期,2019-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,688,423,265,38.5%,0.41%
电网类,40902,35665,5237,12.8%,8.02%
外贸类,3728,-- ,3728,--,5.71%
民用类,339344,283307,56037,16.51%,85.86%

金龙羽,002882,收入构成,报告日期,2019-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
外贸类,1719,-- ,1719,--,5.28%
其他(补充),-- ,285,-285,--,-0.88%
电网类,23625,20482,3143,13.3%,9.65%
其他,411,-- ,411,--,1.26%
民用类,162574,134998,27575,16.96%,84.68%

金龙羽,002882,收入构成,报告日期,2018-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
电网类,40875,35962,4913,12.02%,8.35%
其他(补充),-- ,145,-145,--,-0.25%
外贸类,7188,-- ,7188,--,12.22%
其他类,502,-- ,502,--,0.85%
民用类,283273,236898,46375,16.37%,78.83%

金龙羽,002882,收入构成,报告日期,2018-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
民用类,134681,112830,21851,16.22%,56.88%
其他（补充）,192,47,145,75.3%,0.38%
电网类,12885,-- ,12885,--,33.54%
外资类,3538,-- ,3538,--,9.21%

金龙羽,002882,收入构成,报告日期,2017-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),210,51,159,75.77%,0.4%
民用,216001,179325,36676,16.98%,92.06%
供电系统,15548,13101,2446,15.73%,6.14%
外贸,4798,4240,559,11.65%,1.4%

金龙羽,002882,收入构成,报告日期,2017-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),93,31,63,66.88%,0.26%
外贸,2272,-- ,2272,--,9.45%
房地产,2005,-- ,2005,--,8.35%
供电系统,5691,-- ,5691,--,23.68%
民用及工程,85644,71644,14000,16.35%,58.26%

金龙羽,002882,收入构成,报告日期,2016-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),243,-- ,243,--,0.14%
供电系统,12859,-- ,12859,--,7.18%
民用及工程,153396,-- ,153396,--,85.62%
外贸,5555,-- ,5555,--,3.1%
房地产,7115,-- ,7115,--,3.97%

金龙羽,002882,收入构成,报告日期,2015-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
房地产,3476,-- ,3476,--,2.07%
外贸,4516,-- ,4516,--,2.69%
民用及工程,153427,-- ,153427,--,91.43%
供电系统,6110,-- ,6110,--,3.64%
其他(补充),273,-- ,273,--,0.16%

金龙羽,002882,收入构成,报告日期,2014-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),220,-- ,220,--,0.14%
供电系统,10036,-- ,10036,--,6.4%
民用及工程,141533,-- ,141533,--,90.23%
房地产,1949,-- ,1949,--,1.24%
外贸,3122,-- ,3122,--,1.99%


