广电计量,002967,收入构成,报告日期,2020-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
专业技术服务业,56737,40370,16367,28.85%,96.81%
其他(补充),-- ,87,-87,--,-0.52%
其他,626,-- ,626,--,3.71%

广电计量,002967,收入构成,报告日期,2019-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他,1773,781,993,55.99%,1.35%
专业技术服务业,157042,84369,72673,46.28%,98.65%

广电计量,002967,收入构成,报告日期,2019-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
检测装备研发及其他主营业务,1270,1172,99,7.77%,0.36%
食品检测,2568,3569,-1001,-38.98%,-3.61%
计量服务,20428,11010,9418,46.1%,33.96%
其他（补充）,574,90,484,84.31%,1.74%
环保检测,4540,3987,553,12.19%,1.99%
化学分析,5237,2551,2686,51.28%,9.68%
电磁兼容检测,8668,3212,5456,62.94%,19.67%
可靠性与环境试验,18471,8429,10042,54.36%,36.2%

广电计量,002967,收入构成,报告日期,2018-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
环保检测,9890,7189,2701,27.31%,4.47%
可靠性与环境试验,35372,15850,19521,55.19%,32.33%
检测装备研发及其他主营业务,3834,3241,593,15.46%,0.98%
食品检测,8521,7376,1145,13.44%,1.9%
计量服务,37160,17846,19315,51.98%,31.98%
其他（补充）,1161,167,994,85.59%,1.65%
化学分析,9760,3890,5870,60.14%,9.72%
电磁兼容检测,17090,6840,10250,59.98%,16.97%

广电计量,002967,收入构成,报告日期,2017-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
检测装备研发及其他主营业务,3860,3223,637,16.51%,1.45%
食品检测,6264,4460,1804,28.8%,4.11%
计量服务,25959,12624,13335,51.37%,30.42%
可靠性与环境试验,24627,9427,15200,61.72%,34.67%
其他（补充）,734,201,533,72.62%,1.22%
环保检测,4736,4192,545,11.5%,1.24%
化学分析,5636,1955,3682,65.32%,8.4%
电磁兼容检测,11893,3792,8101,68.12%,18.48%

广电计量,002967,收入构成,报告日期,2016-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
检测装备研发及其他主营业务,2292,1713,579,25.26%,1.85%
环保检测,4564,2484,2080,45.57%,6.66%
可靠性与环境试验,16211,6872,9339,57.61%,29.9%
安规检测,1203,1198,5,0.4%,0.02%
食品检测,3411,1801,1610,47.21%,5.16%
计量服务,18927,9218,9709,51.3%,31.09%
电磁兼容检测,7935,2843,5092,64.17%,16.3%
其他（补充）,653,103,549,84.19%,1.76%
化学分析,3780,1512,2269,60.02%,7.26%

广电计量,002967,收入构成,报告日期,2015-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
检测装备研发及其他,838,398,440,52.47%,5.78%
检测服务,8069,3947,4123,51.09%,54.22%
计量服务,6093,3052,3041,49.92%,40%

广电计量,002967,收入构成,报告日期,2014-09-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
服务业,17280,8432,8848,51.2%,100%


