数源科技,000909,收入构成,报告日期,2020-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
商贸类,24234,24180,54,0.22%,0.78%
房地产类,5838,1104,4734,81.09%,67.98%
电子信息类,6639,4464,2175,32.77%,31.24%

数源科技,000909,收入构成,报告日期,2019-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
电子信息类,40898,32636,8261,20.2%,30.03%
房地产类,18769,-141,18910,100.75%,68.74%
商贸类,50846,50508,338,0.66%,1.23%

数源科技,000909,收入构成,报告日期,2019-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
房地产类,4448,-3818,8267,185.84%,66.1%
商贸类,13786,13634,152,1.1%,1.22%
电子信息类,24127,20040,4087,16.94%,32.68%

数源科技,000909,收入构成,报告日期,2018-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
电子信息类,31566,24976,6591,20.88%,20.84%
商贸类,38017,37234,783,2.06%,2.48%
房地产类,84157,59913,24244,28.81%,76.68%

数源科技,000909,收入构成,报告日期,2018-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
房地产类,50906,40751,10155,19.95%,72.05%
商贸类,30023,29486,537,1.79%,3.81%
电子信息类,18980,16811,2169,11.43%,15.39%
其他（补充）,2077,843,1234,59.41%,8.75%

数源科技,000909,收入构成,报告日期,2017-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
电子信息类,20626,16916,3710,17.99%,12.31%
商贸类,70982,70461,521,0.73%,1.73%
房地产类,174787,148877,25910,14.82%,85.96%

数源科技,000909,收入构成,报告日期,2017-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,2057,917,1139,55.4%,8.78%
商贸业务,26378,26182,196,0.74%,1.51%
网络集成服务,3228,2377,851,26.37%,6.56%
房地产销售,54092,44551,9541,17.64%,73.55%
电子类产品,4013,2769,1245,31.01%,9.59%

数源科技,000909,收入构成,报告日期,2016-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,4615,1905,2710,58.73%,13.43%
商贸业务,72695,72671,24,0.03%,0.12%
网络集成服务,16682,13310,3372,20.21%,16.7%
房地产销售,53533,41178,12355,23.08%,61.21%
电子类产品,9978,8253,1725,17.28%,8.54%

数源科技,000909,收入构成,报告日期,2016-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,4859,2672,2187,45.02%,32.15%
商贸业务,37240,37292,-52,-0.14%,-0.77%
网络集成安装服务,11563,9439,2124,18.37%,31.22%
房地产,4366,2907,1459,33.42%,21.45%
电子类产品,2814,1729,1085,38.56%,15.95%

数源科技,000909,收入构成,报告日期,2015-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,-- ,6575,-6575,--,83.96%
其他业务,9305,-- ,9305,--,-118.82%
商贸业务,69795,69049,747,1.07%,-9.53%
网络集成服务,19108,16359,2749,14.39%,-35.11%
房地产销售,124526,141497,-16972,-13.63%,216.72%
电子类产品,11835,8919,2915,24.63%,-37.22%

数源科技,000909,收入构成,报告日期,2014-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
网络集成服务,11083,9749,1334,12.04%,12.23%
商贸业务,67032,65635,1397,2.08%,12.81%
视音频产品,23551,20659,2892,12.28%,26.52%
其他(补充),3788,1712,2076,54.81%,19.04%
房地产销售,50961,47754,3207,6.29%,29.4%

数源科技,000909,收入构成,报告日期,2014-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),1452,-- ,1452,--,20.86%
商贸业务,28339,27873,466,1.64%,6.69%
网络集成服务,2980,2468,512,17.17%,7.35%
房地产销售,7207,3245,3962,54.97%,56.91%
视音频产品,9300,8730,570,6.13%,8.19%

数源科技,000909,收入构成,报告日期,2013-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),2772,-- ,2772,--,12.5%
商贸业务,55934,55048,886,1.58%,4%
