科新机电,300092,收入构成,报告日期,2020-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),180,67,113,62.81%,1.09%
制造业,34367,24122,10245,29.81%,98.91%

科新机电,300092,收入构成,报告日期,2019-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
制造业,56427,41208,15219,26.97%,83.81%
其他(补充),-- ,65,-65,--,-0.36%
批发和零售业,3005,-- ,3005,--,16.55%

科新机电,300092,收入构成,报告日期,2019-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
制造业,24269,17612,6657,27.43%,98.23%
其他（补充）,121,1,120,99.41%,1.77%

科新机电,300092,收入构成,报告日期,2018-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),309,24,284,92.19%,2.96%
制造业,43305,34784,8521,19.68%,88.63%
技术服务业,756,809,-53,-7%,-0.55%
批发和零售业,3184,2322,862,27.07%,8.96%

科新机电,300092,收入构成,报告日期,2018-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,125,1,124,99.43%,3.53%
制造业,20675,17283,3392,16.41%,96.47%

科新机电,300092,收入构成,报告日期,2017-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
技术服务业,9,-- ,9,--,0.11%
制造业,30876,24397,6478,20.98%,72.25%
批发和零售业,2479,-- ,2479,--,27.64%

科新机电,300092,收入构成,报告日期,2017-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),124,-- ,124,--,4.88%
制造业,13008,10582,2426,18.65%,95.12%

科新机电,300092,收入构成,报告日期,2016-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,297,24,272,91.85%,3.29%
批发和零售业,339,284,55,16.34%,0.67%
技术服务业,48,28,21,43.05%,0.25%
制造业,36753,28828,7925,21.56%,95.79%

科新机电,300092,收入构成,报告日期,2016-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,86,1,85,98.51%,3.35%
制造业,12004,9561,2443,20.35%,96.65%

科新机电,300092,收入构成,报告日期,2015-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,316,71,245,77.61%,7.17%
批发和零售业,692,683,9,1.25%,0.25%
技术服务业,67,31,37,54.2%,1.07%
制造业,22457,19326,3131,13.94%,91.51%

科新机电,300092,收入构成,报告日期,2015-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,123,55,68,55.19%,2.66%
压力容器制造行业,13694,11208,2486,18.15%,97.34%

科新机电,300092,收入构成,报告日期,2014-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,596,303,293,49.12%,5.15%
技术服务,59,27,32,54.23%,0.56%
压力容器制造,30472,25108,5364,17.6%,94.29%

科新机电,300092,收入构成,报告日期,2014-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),429,-- ,429,--,16.01%
技术服务行业,7,5,2,34.15%,0.09%
压力容器制造行业,17419,15173,2246,12.9%,83.9%

科新机电,300092,收入构成,报告日期,2013-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),87,5,83,94.83%,4.61%
技术服务行业,24,10,14,59.66%,0.79%
压力容器制造行业,22494,20794,1700,7.56%,94.6%

科新机电,300092,收入构成,报告日期,2013-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),43,-- ,43,--,5.48%
压力容器制造行业,8606,7869,736,8.56%,94.52%

科新机电,300092,收入构成,报告日期,2012-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),194,127,67,34.63%,1.45%
压力容器制造行业,16718,12174,4544,27.18%,98.55%

科新机电,300092,收入构成,报告日期,2012-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),102,73,29,28.36%,1.24%
压力容器制造行业,8973,6658,2315,25.8%,98.76%

科新机电,300092,收入构成,报告日期,2011-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),185,4,181,98.01%,2.66%
压力容器制造行业,21421,14768,6652,31.06%,97.34%

科新机电,300092,收入构成,报告日期,2011-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),90,3,87,96.73%,2.79%
压力容器制造行业,10510,7461,3049,29.01%,97.21%

科新机电,300092,收入构成,报告日期,2010-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
压力容器制造行业,19412,13075,6337,32.65%,100%


