汉威科技,300007,收入构成,报告日期,2020-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
智慧市政系统解决方案,34876,27004,7872,22.57%,12.36%
物联网行业,90746,58911,31836,35.08%,50%
智慧环保系统解决方案,15876,11568,4308,27.13%,6.77%
智慧安全系统解决方案,17441,9530,7912,45.36%,12.43%
物联网平台解决方案,4117,2861,1256,30.5%,1.97%
其他,1666,924,742,44.56%,1.17%
传感器,16771,7024,9746,58.12%,15.31%

汉威科技,300007,收入构成,报告日期,2019-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
物联网行业,181948,124794,57154,31.41%,100%

汉威科技,300007,收入构成,报告日期,2019-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
智慧环保系统解决方案,22381,15723,6659,29.75%,11.31%
物联网行业,90355,60481,29874,33.06%,50.74%
智慧安全系统解决方案,16717,8484,8233,49.25%,13.98%
物联网平台解决方案,5114,2159,2955,57.78%,5.02%
智慧市政系统解决方案,37048,28906,8142,21.98%,13.83%
传感器,7373,4365,3008,40.8%,5.11%

汉威科技,300007,收入构成,报告日期,2018-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
智慧市政系统,45206,34465,10741,23.76%,11.05%
物联网综合解决方案,130467,86534,43934,33.67%,45.2%
智慧环保系统,42729,29636,13093,30.64%,13.47%
传感器,15518,8099,7420,47.81%,7.63%
智慧安全系统,31870,16718,15152,47.54%,15.59%
其他（补充）,5247,3329,1919,36.56%,1.97%
物联网平台,10662,5714,4948,46.41%,5.09%

汉威科技,300007,收入构成,报告日期,2018-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
物联网行业,73082,47173,25909,35.45%,100%

汉威科技,300007,收入构成,报告日期,2017-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
物联网行业,144418,90520,53898,37.32%,100%

汉威科技,300007,收入构成,报告日期,2017-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
物联网行业,69140,43651,25489,36.87%,100%

汉威科技,300007,收入构成,报告日期,2016-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
物联网行业,110772,67985,42787,38.63%,100%

汉威科技,300007,收入构成,报告日期,2016-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),2187,1137,1050,48%,5.23%
环保行业,11249,6828,4421,39.3%,22.01%
仪器仪表行业,16780,6962,9818,58.51%,48.88%
公用事业行业,23147,18349,4798,20.73%,23.89%

汉威科技,300007,收入构成,报告日期,2015-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
公用事业行业,16181,10993,5188,32.06%,16.23%
环保行业,23198,14976,8221,35.44%,25.72%
仪器仪表行业,35293,16732,18561,52.59%,58.06%

汉威科技,300007,收入构成,报告日期,2015-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
水费,1131,824,308,27.21%,2.24%
废水污水治理,7673,4811,2862,37.3%,20.81%
气体检测仪表,7669,3807,3862,50.36%,28.08%
供水工程,6470,4204,2266,35.02%,16.47%
有毒有害废气处理,2355,1241,1114,47.31%,8.1%
监控系统,2035,922,1113,54.68%,8.09%
其他（补充）,1123,443,680,60.54%,4.94%
气体传感器,2292,1130,1162,50.69%,8.45%
其他,882,560,323,36.56%,2.35%
污染土壤修复,201,136,66,32.63%,0.48%

汉威科技,300007,收入构成,报告日期,2014-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
气体检测仪表,19272,9374,9898,51.36%,49.9%
其他（补充）,1586,743,843,53.18%,4.25%
有毒有害废气处理,1728,1180,549,31.76%,2.77%
监控系统,4234,2080,2153,50.86%,10.86%
其他,1309,634,675,51.55%,3.4%
废水污水治理,3618,2540,1077,29.78%,5.43%
气体传感器,4340,2209,2131,49.1%,10.74%
技术服务及软件开发,3844,1337,2507,65.23%,12.64%

汉威科技,300007,收入构成,报告日期,2014-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,707,-- ,707,--,8.46%
仪器仪表,13850,6196,7654,55.26%,91.54%

汉威科技,300007,收入构成,报告日期,2013-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),1198,134,1064,88.81%,6.68%
仪器仪表,29049,14182,14867,51.18%,93.32%

汉威科技,300007,收入构成,报告日期,2013-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),416,-- ,416,--,6.71%
仪器仪表,11449,5662,5787,50.55%,93.29%

汉威科技,300007,收入构成,报告日期,2012-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),826,638,187,22.69%,1.35%
