西藏旅游,600749,收入构成,报告日期,2020-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
商街运营,1811,1436,376,20.75%,7.76%
旅游服务,848,578,270,31.88%,5.59%
康乐旅游目的地运营,9619,5517,4102,42.64%,84.76%
传媒文化,314,223,92,29.14%,1.89%

西藏旅游,600749,收入构成,报告日期,2019-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
传媒文化,1902,835,1067,56.12%,11.43%
旅游服务,1435,782,653,45.49%,6.99%
商街运营,1900,1745,155,8.17%,1.66%
景区运营,13555,6088,7467,55.08%,79.93%

西藏旅游,600749,收入构成,报告日期,2018-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),1154,683,470,40.77%,4.71%
旅游景区资源开发与运营,14564,4473,10091,69.29%,101.01%
传媒文化,945,200,745,78.8%,7.46%
旅游服务,1842,3158,-1316,-71.44%,-13.17%

西藏旅游,600749,收入构成,报告日期,2017-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),311,-- ,311,--,6.28%
旅游服务,2276,4898,-2621,-115.15%,-52.88%
传媒文化,36,99,-63,-174.46%,-1.27%
旅游景区资源开发与运营,11539,4209,7330,63.52%,147.87%

西藏旅游,600749,收入构成,报告日期,2016-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,339,-- ,339,--,7.58%
传媒文化,39,102,-63,-160.02%,-1.41%
旅游服务,1521,3883,-2362,-155.28%,-52.91%
旅游景区资源开发与运营,10726,4177,6549,61.06%,146.74%

西藏旅游,600749,收入构成,报告日期,2016-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
传媒文化,29,55,-25,-86.91%,-1.7%
旅游服务业务,426,1591,-1165,-273.63%,-77.9%
旅游景区资源开发与运营业务,4455,1770,2686,60.28%,179.6%

西藏旅游,600749,收入构成,报告日期,2015-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,834,395,439,52.63%,9.04%
传媒文化,3313,2219,1094,33.02%,22.53%
旅游服务业务,1156,3394,-2238,-193.63%,-46.09%
景区业务,9902,4341,5561,56.16%,114.53%

西藏旅游,600749,收入构成,报告日期,2015-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,58,0,58,99.34%,14.73%
景区业务,2852,2280,572,20.05%,145.69%
传媒文化,996,715,281,28.26%,71.7%
旅游业务,513,1031,-518,-101.14%,-132.11%

西藏旅游,600749,收入构成,报告日期,2014-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,372,1,371,99.61%,5.31%
景区业务,10130,4931,5199,51.32%,74.39%
旅游业务,1786,1599,187,10.48%,2.68%
传媒文化,3713,2482,1232,33.17%,17.62%

西藏旅游,600749,收入构成,报告日期,2014-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,305,-- ,305,--,14.48%
广告传媒文化业务,1113,588,524,47.13%,24.91%
旅游服务,458,344,114,24.93%,5.43%
景区,3359,2197,1162,34.58%,55.18%

西藏旅游,600749,收入构成,报告日期,2013-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),667,2,665,99.7%,6.91%
广告传媒文化业务,3486,2413,1073,30.78%,11.16%
旅游服务,1960,1150,810,41.31%,8.42%
景区,11732,4662,7070,60.26%,73.51%

西藏旅游,600749,收入构成,报告日期,2013-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),411,-- ,411,--,15.49%
广告传媒文化业务,1713,1322,391,22.81%,14.7%
旅游服务,533,352,180,33.85%,6.79%
景区,3512,1837,1675,47.69%,63.02%

西藏旅游,600749,收入构成,报告日期,2012-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),622,2,620,99.7%,6.72%
传媒文化业务,2754,2203,550,19.98%,5.96%
旅游服务,1935,1068,867,44.79%,9.39%
景区,10951,3760,7192,65.67%,77.93%

西藏旅游,600749,收入构成,报告日期,2012-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
广告传媒文化业务收入,1172,916,255,21.8%,10.71%
景区收入,2927,1316,1610,55.02%,67.52%
其他(补充),163,-- ,163,--,6.85%
旅游服务收入,880,524,356,40.47%,14.93%

西藏旅游,600749,收入构成,报告日期,2011-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
广告传媒文化业务收入,8316,7020,1296,15.58%,12.97%
旅游服务收入,2796,1734,1062,37.99%,10.63%
景区收入,8721,1477,7244,83.07%,72.49%
其他(补充),391,-- ,391,--,3.92%

西藏旅游,600749,收入构成,报告日期,2011-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
广告传媒文化业务,5205,5130,75,1.44%,3.12%
旅游服务,410,190,220,53.65%,9.16%
