方直科技,300235,收入构成,报告日期,2020-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他,342,77,265,77.5%,7.98%
教育行业,4562,1503,3059,67.06%,92.02%

方直科技,300235,收入构成,报告日期,2019-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他,423,150,273,64.56%,3.77%
教育行业,10479,3509,6970,66.52%,96.23%

方直科技,300235,收入构成,报告日期,2019-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
教育行业,4323,1662,2661,61.55%,95.28%
其他,207,75,132,63.74%,4.72%

方直科技,300235,收入构成,报告日期,2018-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他,390,195,195,49.94%,2.93%
教育行业,10334,3890,6445,62.36%,97.07%

方直科技,300235,收入构成,报告日期,2018-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
教育行业,4426,1868,2558,57.79%,98.13%
其他,57,8,49,85.82%,1.87%

方直科技,300235,收入构成,报告日期,2017-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他,422,130,292,69.19%,4.43%
教育行业,9629,3323,6306,65.49%,95.57%

方直科技,300235,收入构成,报告日期,2017-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
技术服务收入,356,-- ,356,--,14.23%
其他产品,258,34,225,86.98%,8.98%
金太阳教育软件,3072,1152,1919,62.49%,76.79%

方直科技,300235,收入构成,报告日期,2016-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
网上销售,258,41,217,84.06%,3.2%
教育系统征订,5745,1871,3874,67.43%,57.09%
直销,2745,713,2032,74.02%,29.95%
渠道销售,944,282,662,70.17%,9.76%

方直科技,300235,收入构成,报告日期,2016-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
网上销售,110,15,96,86.85%,3.37%
教育系统征订,2420,822,1597,66.02%,56.09%
直销,1346,496,850,63.15%,29.84%
渠道销售,450,146,305,67.65%,10.7%

方直科技,300235,收入构成,报告日期,2015-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
网上销售,242,-- ,242,--,3.73%
教育系统征订,5224,1753,3471,66.44%,53.45%
直销,3378,1483,1895,56.11%,29.19%
渠道销售,1100,214,886,80.51%,13.64%

方直科技,300235,收入构成,报告日期,2015-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
教育系统征订业务,2128,708,1420,66.74%,49.11%
网上销售业务,88,11,78,88.04%,2.69%
渠道销售业务,570,95,476,83.38%,16.44%
直销业务,1265,346,919,72.61%,31.76%

方直科技,300235,收入构成,报告日期,2014-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),1,-- ,1,--,0.03%
网上销售,40,3,37,92.79%,1.4%
教育系统征订,1827,592,1235,67.59%,46.35%
直销,1173,262,912,77.7%,34.21%
渠道销售,547,67,480,87.67%,18.01%

方直科技,300235,收入构成,报告日期,2013-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
网上销售,103,9,94,91.26%,1.75%
教育系统征订,3730,1154,2575,69.05%,47.66%
直销,2085,734,1351,64.79%,25%
渠道销售,1590,207,1383,86.98%,25.6%

方直科技,300235,收入构成,报告日期,2013-09-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
网上销售,86,-- ,86,--,1.37%
教育系统征订,3488,-- ,3488,--,55.67%
直销,1440,-- ,1440,--,22.98%
渠道销售,1253,-- ,1253,--,19.99%

方直科技,300235,收入构成,报告日期,2013-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
网上销售,47,4,43,91.21%,1.93%
教育系统征订,1363,408,955,70.07%,42.64%
直销,946,348,598,63.22%,26.7%
渠道销售,736,92,644,87.45%,28.73%

方直科技,300235,收入构成,报告日期,2012-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
网上销售,50,5,45,89.93%,0.92%
教育系统征订,3338,1345,1993,59.71%,40.79%
直销,2779,1272,1506,54.21%,30.82%
渠道销售,1553,210,1342,86.45%,27.47%

方直科技,300235,收入构成,报告日期,2011-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
4.网上销售收入,19,1,17,92.27%,0.37%
3.教育系统征订收入,2856,1159,1697,59.43%,36.18%
2.直销收入,2854,1435,1419,49.72%,30.25%
1.渠道销售收入,1806,249,1557,86.22%,33.19%

方直科技,300235,收入构成,报告日期,2011-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
技术开发服务,88,-- ,88,--,4.29%
其他产品,314,255,59,18.85%,2.88%
方直金太阳教育软件,2557,650,1906,74.56%,92.83%


