青海春天,600381,收入构成,报告日期,2020-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
分部间抵销,-225,-235,10,-4.32%,1.06%
广告代理业务,403,362,41,10.24%,4.5%
酒类业务,871,484,387,44.47%,42.22%
冬虫夏草相关业务及其他,2316,1836,479,20.7%,52.22%

青海春天,600381,收入构成,报告日期,2019-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,540,477,63,11.65%,0.97%
医药行业,10225,7732,2492,24.38%,38.34%
广告行业,7437,6602,835,11.22%,12.84%
食品行业,5174,2064,3110,60.11%,47.85%

青海春天,600381,收入构成,报告日期,2019-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
冬虫夏草业务及其他,10320,6935,3385,32.8%,90.29%
酒类销售,1852,1376,476,25.68%,12.69%
分部间抵销,-2367,-1897,-471,19.88%,-12.55%
广告代理业务,3438,3079,359,10.44%,9.58%

青海春天,600381,收入构成,报告日期,2018-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
食品行业,2526,908,1618,64.04%,16.38%
广告行业,17155,11950,5205,30.34%,52.72%
其他（补充）,4798,3048,1750,36.47%,17.73%
医药行业,8824,7523,1301,14.74%,13.17%

青海春天,600381,收入构成,报告日期,2018-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
酒业务,1538,428,1110,72.16%,19.73%
分部间抵销,-370,-315,-54,14.73%,-0.97%
药用资源利用,5640,4570,1069,18.96%,19.02%
广告业务,12075,8576,3499,28.98%,62.22%

青海春天,600381,收入构成,报告日期,2017-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
广告业务(含营销策划),22435,10918,11517,51.33%,53.86%
医药行业,19470,11653,7818,40.15%,36.56%
其他（补充）,5206,3157,2049,39.35%,9.58%

青海春天,600381,收入构成,报告日期,2017-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,2452,1578,874,35.63%,8.88%
广告业务,13495,6669,6827,50.59%,69.41%
药用资源利用,5910,3776,2134,36.11%,21.7%

青海春天,600381,收入构成,报告日期,2016-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),3415,2020,1395,40.85%,4.1%
广告行业（含营销策划）,26212,12587,13625,51.98%,40.01%
医药行业,41187,22150,19036,46.22%,55.9%

青海春天,600381,收入构成,报告日期,2016-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),109,4,105,96.1%,0.78%
广告行业,4248,2738,1509,35.54%,11.24%
医药行业,21251,9433,11818,55.61%,87.98%

青海春天,600381,收入构成,报告日期,2015-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,245,142,103,41.98%,0.15%
贸易,5315,5128,187,3.51%,0.28%
广告服务,7635,7130,505,6.61%,0.75%
医药行业,126974,60047,66927,52.71%,98.83%

青海春天,600381,收入构成,报告日期,2015-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
中医药行业,49668,22355,27313,54.99%,100.51%
其他（补充）,147,287,-140,-94.8%,-0.51%

青海春天,600381,收入构成,报告日期,2014-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,25,25,0,0%,0%
磷铵,268,243,24,9.11%,10.7%
硫酸,93,113,-21,-22.27%,-9.05%
煤炭,-- ,-- ,0,--,0%
铁精粉,2197,2150,46,2.11%,20.37%
技术服务,408,230,178,43.6%,77.99%

青海春天,600381,收入构成,报告日期,2014-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),25,-- ,25,--,24.91%
化工行业,44,57,-12,-28.08%,-12.25%
服务业,204,115,89,43.6%,87.34%
煤炭行业,-- ,-- ,0,--,0%

青海春天,600381,收入构成,报告日期,2013-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),-- ,-- ,0,--,0%
水泥,-- ,-- ,0,--,0%
磷酸一铵,-- ,-- ,0,--,0%
技术服务,17,10,7,43.6%,2.96%
煤炭,400,157,243,60.72%,97.04%

青海春天,600381,收入构成,报告日期,2013-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),-- ,-- ,0,--,0%
化工业,-- ,-- ,0,--,0%
水泥建材业,-- ,-- ,0,--,0%
煤炭开采业,27,-- ,27,--,100%

青海春天,600381,收入构成,报告日期,2012-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
煤炭行业,7730,7441,289,3.74%,12.29%
其他(补充),58,-- ,58,--,2.48%
煤炭贸易,-- ,-- ,0,--,0%
化工行业,1194,1357,-164,-13.71%,-6.97%
水泥行业,42445,40279,2165,5.1%,92.19%

青海春天,600381,收入构成,报告日期,2012-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
化工行业,136,160,-25,-18.1%,-0.88%
水泥行业,17965,16413,1552,8.64%,55.33%
其他(补充),44,-- ,44,--,1.56%
煤炭行业,5555,4321,1234,22.22%,43.99%

青海春天,600381,收入构成,报告日期,2011-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
煤炭贸易,625,587,37,5.99%,0.29%
煤炭开采销售,23166,10362,12803,55.27%,99.01%
其他(补充),90,-- ,90,--,0.7%

青海春天,600381,收入构成,报告日期,2011-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),45,-- ,45,--,0.68%
贸易,119,118,1,0.9%,0.02%
煤炭,11272,4669,6603,58.58%,99.31%

青海春天,600381,收入构成,报告日期,2010-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),90,-- ,90,--,2.83%
贸易,1081,1018,63,5.79%,1.96%
煤炭,4966,1928,3038,61.17%,95.21%

青海春天,600381,收入构成,报告日期,2010-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他(补充),43,-- ,43,--,2.52%
煤炭贸易,1081,1018,63,5.79%,3.68%
原煤生产,2481,886,1595,64.29%,93.8%

青海春天,600381,收入构成,报告日期,2009-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
煤炭,5213,2590,2623,50.32%,100%

青海春天,600381,收入构成,报告日期,2009-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
煤炭,2517,953,1564,62.13%,100%

青海春天,600381,收入构成,报告日期,2008-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
贸易,183,158,25,13.67%,1.25%
房地产业,200,185,16,7.74%,0.78%
煤炭,3689,1735,1954,52.97%,97.97%

青海春天,600381,收入构成,报告日期,2008-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
贸易,183,158,25,13.45%,1.63%
煤炭,1826,346,1480,81.06%,98.37%

青海春天,600381,收入构成,报告日期,2007-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
纺织业,108,150,-41,-38.33%,-143.22%
房地产,818,747,70,8.61%,243.22%

青海春天,600381,收入构成,报告日期,2007-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
服务业,43,14,0,68.19%,0%
纺织行业,12,121,0,-901.68%,0%

青海春天,600381,收入构成,报告日期,2006-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
商品房销售,8496,3865,4632,54.51%,103.98%
针织品,145,323,-177,-122%,-3.98%

青海春天,600381,收入构成,报告日期,2006-09-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
纺织业,82,222,-139,-168.77%,-4.01%
地产业,6268,2663,3605,57.52%,104.01%

青海春天,600381,收入构成,报告日期,2006-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
纺织业,82,222,-139,-168.77%,-4.01%
地产业,6268,2663,3605,57.52%,104.01%

青海春天,600381,收入构成,报告日期,2006-03-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
地产行业,4806,1739,3067,63.82%,100%

青海春天,600381,收入构成,报告日期,2005-12-31,
