紫金矿业,601899,收入构成,报告日期,2019-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他,1859463,-- ,1859463,--,27.67%
铜精矿,445378,-- ,445378,--,6.63%
金精矿,144605,-- ,144605,--,2.15%
锌锭,204568,-- ,204568,--,3.04%
冶炼铜,949133,-- ,949133,--,14.12%
抵消,-1601647,-- ,-1601647,--,-23.83%
其他精矿,398266,-- ,398266,--,5.93%
阴极铜,147687,-- ,147687,--,2.2%
金锭,359709,-- ,359709,--,5.35%
金锭(加工金),3812676,-- ,3812676,--,56.74%

紫金矿业,601899,收入构成,报告日期,2018-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
抵消,-1156725,-- ,-1156725,--,-23.22%
其他精矿,381890,-- ,381890,--,7.67%
铜精矿,396990,-- ,396990,--,7.97%
金精矿,147347,-- ,147347,--,2.96%
冶炼铜,969752,-- ,969752,--,19.47%
阴极铜,39244,-- ,39244,--,0.79%
金锭,262059,-- ,262059,--,5.26%
其他,1358603,-- ,1358603,--,27.27%
锌锭,203000,-- ,203000,--,4.08%
金锭(加工金),2379229,-- ,2379229,--,47.76%

紫金矿业,601899,收入构成,报告日期,2017-06-30,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
抵消,-1070511,-- ,-1070511,--,-28.53%
其他精矿,310874,-- ,310874,--,8.28%
阴极铜,33730,-- ,33730,--,0.9%
冶炼铜,875372,-- ,875372,--,23.33%
金锭(加工金),1856945,-- ,1856945,--,49.49%
铜精矿,271980,-- ,271980,--,7.25%
其他,848105,-- ,848105,--,22.6%
金锭,275448,-- ,275448,--,7.34%
锌锭,192526,-- ,192526,--,5.13%
金精矿,157893,-- ,157893,--,4.21%


