兰石重装,603169,收入构成,报告日期,2019-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
技术服务,22610,9560,13050,57.72%,23.6%
工程总包,37848,34922,2926,7.73%,5.29%
其他（补充）,7298,3020,4278,58.62%,7.74%
机械制造,276027,240985,35042,12.7%,63.37%

兰石重装,603169,收入构成,报告日期,2018-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他,4729,3537,1193,25.22%,-3.15%
EPC项目,85863,95688,-9825,-11.44%,25.98%
球罐设备,9051,15572,-6521,-72.04%,17.25%
炼油化工设备,70567,106875,-36308,-51.45%,96.03%
工程设计,13474,5139,8335,61.86%,-22.05%
换热设备,27823,26024,1799,6.46%,-4.76%
其他（补充）,6797,3835,2962,43.57%,-7.83%
检维修项目,2382,2249,133,5.6%,-0.35%
快锻液压设备,19387,17717,1670,8.61%,-4.42%
煤化工设备,13963,15219,-1256,-9%,3.32%
核电设备,639,629,9,1.48%,-0.02%

兰石重装,603169,收入构成,报告日期,2017-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
煤化工设备,14795,12441,2354,15.91%,6.45%
其他（补充）,8261,3853,4409,53.36%,12.09%
EPC项目,177042,162987,14055,7.94%,38.54%
炼油化工设备,37769,31308,6460,17.11%,17.71%
检维修项目,3053,2404,649,21.26%,1.78%
球罐设备,6571,6413,158,2.41%,0.43%
换热设备,24170,19609,4561,18.87%,12.51%
核电设备,149,141,8,5.17%,0.02%
其他,9840,7828,2012,20.45%,5.52%
快锻液压设备,16839,15034,1805,10.72%,4.95%

兰石重装,603169,收入构成,报告日期,2016-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
其他（补充）,5074,3560,1515,29.85%,4.82%
其它,6788,3548,3240,47.74%,10.31%
检维修项目,2742,2091,651,23.74%,2.07%
EPC项目,30389,29475,914,3.01%,2.91%
换热设备,17941,14770,3171,17.67%,10.08%
快锻液压设备,15546,11172,4374,28.13%,13.91%
