南华期货,603093,收入构成,报告日期,2019-12-31,
按行业,收入(万元),成本(万元),利润(万元),毛利率,利润占比
境外金融服务业务,8242,8579,-337,-4.09%,-2.91%
其他业务,1474,-- ,1474,--,12.73%
风险管理业务,908438,900082,8356,0.92%,72.16%
期货经纪业务,30120,27967,2153,7.15%,18.59%
期货投资咨询业务,1059,-- ,1059,--,9.14%
公募基金业务,4315,4793,-477,-11.06%,-4.12%
资产管理业务,104,751,-647,-625.49%,-5.59%


