tinySentence,matches
2013年12月任中粮集团党组成员,"[""员""]"
中共党员,"[""党员""]"
团委书记,"[""书记""]"
2009年12月起兼任公司纪委委员,"[""委员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
历任平安银行总行党委委员,"[""委员""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
2006年5月-2012年3月在深圳市沙河实业(集团)有限公司历任团委副书记,"[""书记""]"
2012年4月至今在沙河实业股份有限公司历任人力资源部(党群办公室)副经理,"[""经理""]"
党群办(监察室)主任,"[""主任""]"
公司纪委委员,"[""委员""]"
现任沙河实业股份有限公司党群办主任,"[""主任""]"
现任华侨城集团有限公司总部机关联合党委书记,"[""书记""]"
中共党员,"[""党员""]"
曾任陕西省定边县委办公室机要秘书,"[""秘书""]"
中共党员,"[""党员""]"
党委委员,"[""委员""]"
党委副书记,"[""书记""]"
党委副书记,"[""书记""]"
曾任电子部四所党办副主任,"[""主任""]"
党委副书记,"[""书记""]"
深圳分所党总支书记,"[""书记""]"
中共党员,"[""党员""]"
现任深圳市桑达实业股份有限公司纪委书记,"[""书记""]"
党委副书记,"[""书记""]"
2009年9月至2010年8月任深圳市建筑设计研究总院有限公司党委书记,"[""书记""]"
党支部书记,"[""书记""]"
2017年1月起任深圳市振业(集团)股份有限公司党委副书记,"[""书记""]"
党委书记,"[""书记""]"
党委副书记,"[""书记""]"
党委委员,"[""委员""]"
党委副书记,"[""书记""]"
中共党员,"[""党员""]"
现任深圳市物业发展(集团)股份有限公司党委副书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
纪委委员,"[""委员""]"
2017年9月起任深圳市投资控股有限公司党委办公室主任,"[""主任""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
中共预备党员,"[""党员""]"
中共党员,"[""党员""]"
党委委员,"[""委员""]"
1988年4月加入中国共产党,"[""加入中国共产党""]"
团委书记,"[""书记""]"
党委书记,"[""书记""]"
北京市工商局昌平工商分局党组书记,"[""书记""]"
2013年12至2017年4月任北京市工商局丰台分局党组书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
任深圳市物业发展(集团)股份有限公司子公司深圳市国贸物业管理有限公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
现任深圳市粮食集团有限公司纪委书记,"[""书记""]"
广东省委党校经济学研究生,"[""研究生""]"
广东省委党校经济学研究生,"[""研究生""]"
现任飞亚达(集团)股份有限公司党委副书记,"[""书记""]"
中共党员,"[""党员""]"
曾任深圳市福田区委组织部科员,"[""员""]"
党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
现任深圳能源集团股份有限公司党委副书记,"[""书记""]"
社科院工业经济研究所党委书记,"[""书记""]"
深圳市能源集团有限公司妈湾发电总厂常务副厂长兼党总支书记,"[""书记""]"
厂长兼党委副书记,"[""书记""]"
中共党员,"[""党员""]"
党委书记,"[""书记""]"
党委书记,"[""书记""]"
2012年11月至2013年10月兼任国药控股股份有限公司纪委书记,"[""书记""]"
2012年11月起至今兼任国药控股股份有限公司党委副书记,"[""书记""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
现任深圳市深粮控股股份有限公司党委委员,"[""委员""]"
党委副书记,"[""书记""]"
党委副书记,"[""书记""]"
兼任集团机关党委书记,"[""书记""]"
1998年6月加入中国共产党,"[""加入中国共产党""]"
天津一汽丰田汽车有限公司党委书记,"[""书记""]"
纪委书记,"[""书记""]"
天津一汽丰田汽车有限公司党委书记,"[""书记""]"
党委副书记,"[""书记""]"
1998年12月加入中国共产党,"[""加入中国共产党""]"
党支部书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
深圳广田装饰集团股份有限公司党支部书记,"[""书记""]"
中共党员,"[""党员""]"
深圳市皇城地产有限公司党支部书记,"[""书记""]"
党委副书记,"[""书记""]"
现任深圳市粮食集团有限公司党委副书记,"[""书记""]"
现任深圳市粮食集团有限公司纪委副书记,"[""书记""]"
中共党员,"[""党员""]"
深圳能源集团股份有限公司党群部团委副书记,"[""书记""]"
深圳能源集团股份有限公司党群部团委副书记,"[""书记""]"
公司团委书记,"[""书记""]"
公司党委办公室临时负责人,"[""负责人""]"
公司党群办公室副主任,"[""主任""]"
深圳市国资委党办负责人(挂职),"[""负责人""]"
公司纪委副书记,"[""书记""]"
公司人力资源部和产权管理部党支部书记,"[""书记""]"
现任深圳市能源环保有限公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
现任吉林省国有资本运营有限责任公司党委书记,"[""书记""]"
吉林省亚东投资管理有限公司党委书记,"[""书记""]"
2007年7月至2009年7月任安徽省蚌埠市市委常委,"[""常委""]"
中共党员,"[""党员""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
现任中国南玻集团股份有限公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
深圳市粮食集团有限公司党委委员,"[""委员""]"
现任深圳市粮食集团有限公司党委副书记,"[""书记""]"
现任飞亚达(集团)股份有限公司党委书记,"[""书记""]"
策划党支部书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
现任深圳市物业发展(集团)股份有限公司党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
中共党员,"[""党员""]"
曾在太平洋人寿江西分公司担任机关党委书记,"[""书记""]"
党委组织部部长,"[""部长""]"
现任深圳长城开发科技股份有限公司党委书记,"[""书记""]"
党委副书记,"[""书记""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
党支部书记,"[""书记""]"
机关第三党支部书记,"[""书记""]"
党委副书记,"[""书记""]"
中共党员,"[""党员""]"
党支部书记,"[""书记""]"
党委书记,"[""书记""]"
北京航空航天大学党政办公室副主任,"[""主任""]"
动力学院党总支副书记,"[""书记""]"
动力学院党总支副书记,"[""书记""]"
党政办公室副主任,"[""主任""]"
深圳市福田区纪委监察综合室主任,"[""主任""]"
深圳市福田区纪委常委,"[""常委""]"
深圳市福田区香蜜湖街道党工委副书记,"[""书记""]"
深圳市福田区莲花街道党工委委员,"[""委员""]"
党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
深圳市盐田港集团有限公司党委委员,"[""委员""]"
纪委书记,"[""书记""]"
中共党员,"[""党员""]"
历任山西省人民政府驻广州办事处党组成员,"[""员""]"
中共党员,"[""党员""]"
党委书记,"[""书记""]"
党支部书记,"[""书记""]"
党支部副书记,"[""书记""]"
中共党员,"[""党员""]"
现任深圳市中金岭南有色金属股份有限公司党委委员,"[""委员""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
党委委员,"[""委员""]"
中共党员,"[""党员""]"
党委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
市纪委国资监管工委委员,"[""委员""]"
办公厅党组成员,"[""员""]"
现任厦门金圆投资集团有限公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
富德保险控股股份有限公司党委书记,"[""书记""]"
曾任广东铁青国际旅行社有限责任公司党委书记,"[""书记""]"
党委副书记兼广州庆达运输有限公司,"[""书记""]"
2017年12月至今担任广东羊城铁路实业有限公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
纪委书记,"[""书记""]"
党委副书记,"[""书记""]"
党委书记,"[""书记""]"
中国太平洋财产保险股份有限公司山东分公司党委书记,"[""书记""]"
纪委书记,"[""书记""]"
中国太平洋财产保险股份有限公司北京分公司党委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
党工部副部长,"[""部长""]"
华联发展集团有限公司党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
青岛大学机电工程学院党总支书记,"[""书记""]"
民生金融租赁股份有限公司党委委员,"[""委员""]"
中共党员,"[""党员""]"
现任深圳赛格集团有限公司党委副书记,"[""书记""]"
历任深圳赛格日立彩显有限公司团委书记,"[""书记""]"
党办副主任,"[""主任""]"
深圳市赛格集团有限公司纪委副书记,"[""书记""]"
广东省委党校经济学研究生,"[""研究生""]"
广东省委党校经济学研究生,"[""研究生""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
党委副书记,"[""书记""]"
党委副书记,"[""书记""]"
党组成员,"[""员""]"
中共党员,"[""党员""]"
历任中共广东省委办公厅综合一处科员,"[""员""]"
历任中共广东省委办公厅综合一处科员,"[""员""]"
现任深圳赛格股份有限公司党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
中共党员,"[""党员""]"
中共党员,"[""党员""]"
2014.01-2017.05任公司乙烯一分公司党委书记,"[""书记""]"
纪委书记,"[""书记""]"
2017.05至今任北方华锦化学工业股份有限公司乙烯分公司党委副书记,"[""书记""]"
党委副书记,"[""书记""]"
现任深圳市农产品股份有限公司党委副书记,"[""书记""]"
深圳市龙岗区委(府)新闻信息科科长,"[""科长""]"
深圳市委正处级秘书,"[""秘书""]"
深圳市委督查室督查室副主任,"[""主任""]"
现任深圳市农产品股份有限公司党委副书记,"[""书记""]"
中共党员,"[""党员""]"
深圳市物业发展(集团)股份有限公司党群办公室职员,"[""员""]"
现任深圳市纺织(集团)股份有限公司党委副书记,"[""书记""]"
纪委书记,"[""书记""]"
党委书记,"[""书记""]"
荣获中共江苏省委,"[""荣获""]"
荣获中共江苏省委,"[""荣获""]"
中共党员,"[""党员""]"
党委副书记,"[""书记""]"
中共党员,"[""党员""]"
党委委员,"[""委员""]"
