sentence
"多次获得共青团中央、中共陕西省委高教工委等的课题研究成果奖项和表彰,出版或发表著作20余篇/部"
"王卉女士,1974年出生,贵州省党校经济管理学士,注册会计师"
2018年7月至今任中共广东广州日报传媒股份有限公司监事
"在执业过程中,先后担任过中共深圳市坪山区委、深圳市坪山区政府、深圳市总工会、中控智慧科技股份有限公司等80余家机关、团体、企业法律顾问"
"2017年5月至今担任海宁市委党校培训咨询有限公司董事、海宁三桥联合投资开发有限公司董事,2017年7月至今担任海宁市资产经营公司监事、海宁市新市镇开发建设有限公司监事,2019年3月至今担任海宁智慧港科技产业园开发有限公司董事"
2011年被中共江苏省委组织部、江苏省科技厅评选为江苏省首批“科技企业家培育工程”培育对象
2011年入选中共江西省委推出的“赣鄱英才555工程”
"近年来在财务会计国内外权威期刊《ReviewofAccountingStudies》、《管理世界》、《管理评论》等重要学术刊物上发表论文30多篇,并主持国家自然科学基金项目(青年与面上)、教育部人文社科项目、上海自贸区委托等多项课题"
期间带领的党组织获评“2018年郴州市苏仙区两新组织优秀基层党组织”、“2019年郴州市苏仙区两新组织优秀示范党组织”荣誉称号
自1984年7月至1993年8月于中共甘肃省委党校政治经济学室任教
2016年8月入选中共中央组织部国家“万人计划”领军人才
2017年12月入选中共中央组织部国家第三批万人计划“领军人才”
"冯水英,女,中国籍,无境外永久居留权,1971年12月出生,大专,北京市委党校,于2008年7月加入公司,至今担任公司财务部出纳"
2011年12月至2019年7月任中国矿业大学校纪委
2011年、2012年入选甘肃省委组织部“陇原青年创新人才扶持计划”
1994年9月-1997年8月新疆维吾尔自治区党校经营管理大专
2016年入选中共上海市委组织部和上海市人力资源和社会保障局认定的上海领军人才
张广胜先生于2018年4月被中共长沙市委认定为长沙市首批国家级领军人才
朱先生在人力资源管理、党群管理、纪检监察管理方面具有丰富的经验
汪先生在党群和人力资源管理、企业经营管理等方面具有丰富的经验
2017年12月经中共六安市委批准提前退休
2013.09-2015.09贵州盘江精煤股份有限公司土城矿矿长(期间:2014.05-2014.07参加贵州省委党校第46期中青班培训)
"曾获贵航集团管理创新成果一等奖,共青团贵州省委、贵州省青年企业家协会首届“贵州省青年企业家管理创新奖”"
"1997年5月至2000年12月,任中共上海市委组织部下属的上海经营者人才公司项目顾问"
"杨庆标,男,白族,1970年7月出生,云南大理人,大学文化,中国共产党,机械工程师"
"2006年4月至2008年10月,由陕西煤业化工集团有限责任公司党委推荐省委组织部下派到宝鸡市渭滨区人民政府挂职,任渭滨区副区长"
"2000年11月至2001年8月受中信集团委派,负责中信国安收购汕头市商业银行项目并担任董事长"
