tinySentence
吉林省委
党校本科
入选中共中央组织部
2019年获中共中央
曾任共青团吉林省委
曾在深圳市盐田区委组织部
深圳市委组织部
由深圳市委组织部选派
区委区政府两办
龙岗区委区政府两办
南方科技大学党政办公室
惠州市纪委执法监察室
曾任石家庄市纺织工业局党校会计
市纪委
市纪委
市纪委
四川省盐亭县委政策研究室
县委办公室
四川省绵阳市委办公室
河南省委宣传部
淄博市委组织部干审科
中央党校函授学院
1989年至1999年先后在中纪委驻卫生部纪检组
金华市委办公室
中共黑龙江省委办公厅
中共黑龙江省委办公厅
中共济南市委法律顾问
中共济南市委法律顾问
现任武商集团党委委会
1992年7月至1999年5月任中共长春市委办公厅
1992年7月至1999年5月任中共长春市委办公厅
安徽省省委企业工委和国资委省属企业监事会办事处副处级专职监事
中共河南省委宣传部《市场经济导报》
中共河南省委宣传部《市场经济导报》
中共武汉市委
中共武汉市委
曾任甘肃煤炭第一工程有限责任公司团委
靖煤集团公司党委办公室
靖远煤业集团有限责任公司党委办公室
甘肃靖远煤电股份有限公司党委办公室
浙江万向汽车轴承厂厂长兼党支书
中共陕西省委高教工委等的课题研究成果奖项和表彰
中共陕西省委高教工委等的课题研究成果奖项和表彰
贵州省党校经济管理学士
重庆市党校法律大学本科
兼任四川省委
四川省委
中共十届
党总支书(兼)
党总支书(兼)
中共成都市委
中共成都市委
攀钢集团钛业有限责任公司综合部(党办
洪江县委经济顾问
先后在共青团杭州市委
中共中央党校
广东省委警卫局
重庆市纪委监察局
历任市委外宣办
中共梅州市委第六届
中共梅州市委第六届
就读于武汉大学和中央党校
南通市崇川区委组织部
担任江苏省委组织部
中国共产党
中百控股集团股份有限公司党委办公室
办公厅(党委办公室
现任甘肃省委
平庄煤业党委办公室
省纪委
青海省纪委监察厅派驻省发改委
2016年7月至2016年8月任青海盐湖工业股份有限公司纪委
1989年至1999年先后在中纪委驻卫生部纪检组
中央纪委教学研究
历任云南冶金集团总公司党办
云南冶金集团股份有限公司党委办公室
中共产党
中共产党
洪江县委经济顾问
唐钢党委办公室
唐钢党委宣传部(企业文化部
2019年12月至今任国电长源电力股份有限公司党委组织人事部(人力资源部
先后在太原煤气化嘉乐泉煤矿党委宣传部
自2010年9月至2010年12月任山西焦化集团公司党委常务
曾任宁德市委
宁德市委
河南省委法律顾问等
中共中央企业工委
中共揭阳市委第三届
中共揭阳市委第三届
被莱州市委
中共十四大
中共第八届
被烟台市委
获中共中央组织部
被莱州市委
被中共山东省委
被中共山东省委
曾在山东省泰安市岱岳区委
2018年7月至今任中共广东广州日报传媒股份有限公司监事
2005年连续两年被海宁市委
2004年-2008年连续5年被海宁市委
2005年被海宁市委
2007-2008年度被中共嘉兴市委
2007-2008年度被中共嘉兴市委
2011年2月14日中共海宁市委
2011年2月14日中共海宁市委
大连市纪委
大连市纪委
中国共产党第十五大
1989年至1999年先后在中纪委驻卫生部纪检组
湖南省纪委
现任福建省委党校产业与企业发展研究院院长
现任福建省委党校产业与企业发展研究院院长
曾在中共中央组织部研究室
先后担任过中共深圳市坪山区委
先后担任过中共深圳市坪山区委
2017年5月至今担任海宁市委党校培训咨询有限公司董事
2017年5月至今担任海宁市委党校培训咨询有限公司董事
南通市纪委
南通市纪委
南通市纪委
忻州市委
2007年被江苏省委
2009年被中共南京市委统战部
2009年被中共南京市委统战部
2010年被南京市委
中国共产党淄博市第十一次
2011年被中共江苏省委组织部
2011年被中共江苏省委组织部
入选中共中央组织部“国家高层次人才特殊支持计划”(“万人计划”)
天津市医药集团有限公司党委办公室
被中共中央统战部
获中共成都市委
获中共成都市委
中共浙江省委办公厅副科级
中共浙江省委办公厅副科级
2011年入选中共江西省委推出的“赣鄱英才555工程”
2011年入选中共江西省委推出的“赣鄱英才555工程”
党委副书
2000年7月至2002年6月任教于广东省委党校管理学部
2000年7月至2002年6月任教于广东省委党校管理学部
重庆市纪委监察局
先后在嘉兴市市级机关-嘉兴市委宣传部
1997年-1999年参加省委组织部
中共安徽省第七次
集团团委
党委组织部
山东招金集团有限公司纪委书纪
2006年10月--今深圳市注册会计师行业党委
中共辽宁省委
中共辽宁省委
上海自贸区委托等多项课题
湖北省委党校
湖北省委党校
中共湖州市委政策研究室一科
中共湖州市委政策研究室一科
先后在芦山县委组织部
陈永涛先生曾任贵州省遵义市习水县三岔河乡党政办志愿者
中共成都市委
中共成都市委
并连续多年被龙口市委
张学武先生2011年被湖南省委
2019年被湖南省委
期间带领的党组织获评“2018年郴州市苏仙区两新组织优秀基层党组织”
期间带领的党组织获评“2018年郴州市苏仙区两新组织优秀基层党组织”
“2019年郴州市苏仙区两新组织优秀示范党组织”荣誉称号
四川省委第二党校《探索》杂志副主编
四川省委第二党校《探索》杂志副主编
北方工程处纪委
自1984年7月至1993年8月于中共甘肃省委党校政治经济学室任教
自1984年7月至1993年8月于中共甘肃省委党校政治经济学室任教
自1984年7月至1993年8月于中共甘肃省委党校政治经济学室任教
区委
2016年8月入选中共中央组织部国家“万人计划”领军人才
2014年5月被酒泉市委
2017年12月入选中共中央组织部国家第三批万人计划“领军人才”
党总支
2006年被河北省委统战部
2008年被河北省委统战部
1997年7月至2015年5月曾在深圳市龙岗区委区政府办公室
深圳市委宣传部
其中1985年10月至1987年5月于山东省垦利县垦利镇团委挂职
中央党校大学
1997年7月至2015年5月曾在深圳市龙岗区委区政府办公室
深圳市委宣传部
共产党
于2001年获得由中共安徽省委组织部
于2001年获得由中共安徽省委组织部
中共安徽省委宣传部
中共安徽省委宣传部
于2008年获得由中共安徽省委组织部
于2008年获得由中共安徽省委组织部
中共杭州市委
中共杭州市委
中共丹东市委法律顾问
中共丹东市委法律顾问
2015年被北京市委
北京市委党校
北京市委党校
杨建平曾被江苏省委
无锡市委
2011年12月至2019年7月任中国矿业大学校纪委
中共金华地委
金华市委
贵阳国家高新技术产业开发区党工委
1971年至2003年先后在辽宁省康平县县委办公室
2012年入选甘肃省委组织部“陇原青年创新人才扶持计划”
在中共甘肃省委政法委机关党委
在中共甘肃省委政法委机关党委
在中共甘肃省委政法委机关党委
中共安徽省委办公厅
中共安徽省委办公厅
1994年9月-1997年8月新疆维吾尔自治区党校经营管理大专
党支书
2016年入选中共上海市委组织部和上海市人力资源和社会保障局认定的上海领军人才
2016年入选中共上海市委组织部和上海市人力资源和社会保障局认定的上海领军人才
张广胜先生于2018年4月被中共长沙市委认定为长沙市首批国家级领军人才
张广胜先生于2018年4月被中共长沙市委认定为长沙市首批国家级领军人才
县委办
嘉善县十佳党务红领等荣誉称号
“安徽省委组织部特支计划创新人才”
被中共山东省委
被中共山东省委
日照港务局党委宣传部助理政工师
现任华夏银行党委办公室(党委宣传部
现任华夏银行党委办公室(党委宣传部
党群管理
汪先生在党群和人力资源管理
团委
中共北京市委办公厅副处级
中共北京市委办公厅副处级
梁稳根先生是中共十七大
中共北京市委“首都建设做出突出贡献的统一战线先进个人”
中共北京市委“首都建设做出突出贡献的统一战线先进个人”
市委宣传部理论处
1985年7月参加中国共产党
曾任北京市纪委
北京市纪委
北京市纪委
云南省纪委法律顾问
党支书
1998年9月中央党校就读
副局长(主持党组
中共浙江省委法律顾问
中共浙江省委法律顾问
中共杭州市委法律顾问
中共杭州市委法律顾问
重庆市纪委监察局
兴山县纪委
兴山县县委
党办
2017年12月经中共六安市委批准提前退休
2017年12月经中共六安市委批准提前退休
现任哈尔滨空调股份有限公司党委办公室
中共天津市红桥区第十次
中共中央党校经济学博士
人力资源部(党办
区委
新疆维吾尔自治区党委
曾任静安区纪委
中共产党
中共产党
曾任中央纪委副司长
2009年7月至2012年1月任中共南通市纪委
2009年7月至2012年1月任中共南通市纪委
为中国共产党福建省第八次
2007.06.13-2007.08.13参加由中央党校
2013.09-2015.09贵州盘江精煤股份有限公司土城矿矿长(期间:2014.05-2014.07参加贵州省委党校第46期中青班培训)
2013.09-2015.09贵州盘江精煤股份有限公司土城矿矿长(期间:2014.05-2014.07参加贵州省委党校第46期中青班培训)
1982.08-1984.07盘江矿务局团委
历任漳州市委阻织部借用
广州远洋运输公司党委办公室副科级
宁夏中共党史学会副会长
历任南昌长力钢铁股份有限公司党政办小车班班长
中国共产党
于2001年获得由中共安徽省委组织部
于2001年获得由中共安徽省委组织部
中共安徽省委宣传部
中共安徽省委宣传部
于2008年获得由中共安徽省委组织部
于2008年获得由中共安徽省委组织部
2009-2013年被聘为甘肃省委
中国共产党
企业文化部(党委宣传部
历任安钢党委《安钢报》记者
中央党校本科函授
淮南矿业集团纪委(监察处
2012年8月-2019年8月期间历任淮南矿业集团纪委(监察处
中共上海市委政法委
中共上海市委政法委
上海市场监管党委法律顾问
嘉兴市委宣传部
金融资产管理公司等从事党务
现任福建省委党校产业与企业发展研究院院长
现任福建省委党校产业与企业发展研究院院长
纪委(监察处
中共辽宁省委
中共辽宁省委
区委对外宣传办公室
2013年8月至2015年9月任公司团委文体专干
上海市浦东新区区委
崇明县委政法委
(2007.10-2007.12大连市沙河口区委办挂职)
曾任中共大连市纪委
曾任中共大连市纪委
中共大连市纪委
中共大连市纪委
中共大连市纪委
中共大连市纪委
中共大连市纪委
中共大连市纪委
现任新疆百花村股份有限公司纪委
2012年4月加入中共共产党
2012年4月加入中共共产党
党委办公室
共青团北京市委
曾任共青团上海市委地区部
共青团贵州省委
历任原南通县委党校老师
历任原南通县委党校老师
任中共上海市委组织部下属的上海经营者人才公司项目顾问
任中共上海市委组织部下属的上海经营者人才公司项目顾问
纪委办公室(监察室
中国共产党
党组统战部
中共成都市委
中共成都市委
曾被河南省委组织部
中共杭州市委
中共杭州市委
先后在汉江钢铁厂党委办公室
曾在中共西安市碑林区委组织部
曾在中共西安市碑林区委组织部
历任上海市静安区纪委
入选广州市委组织部“羊城国企优才计划”人才库
1995年6月参加中国共产党
集团党委党务
集团党委党务
浦东新区陆家嘴功能区域党工委
党群综合部党群副总监
党群综合部党群副总监
曾任上海市浦东新区党工委
中央党校
党委
湖南省轻工盐业集团有限公司办公室(党委办
自2013年5月至2017年9月供职于上海市委组织部
办公室(党委办公室
镇江市委
由陕西煤业化工集团有限责任公司党委推荐省委组织部下派到宝鸡市渭滨区人民政府挂职
由陕西煤业化工集团有限责任公司党委推荐省委组织部下派到宝鸡市渭滨区人民政府挂职
长期从事党务
2017年6月至2018年8月任中国化学工程股份有限公司党委办公室
中国化学工程股份有限公司党委办公室
张家港市委办公室
1991年7月至2008年1月历任湖南省新闻出版局机关党委
中共四川省委党校
中共四川省委党校
中共四川省委党校
重庆市纪委监察局
2002年7月至2010年2月历任重庆市南岸区纪委(监察局)执法监察室
1996年9月至2017年7月历任重庆市纪委信访室
在江苏省委党校
在江苏省委党校
2019年2月被中共江阴市委
2019年2月被中共江阴市委
同时任华电科工监督部(纪委办公室
于2001年获得由中共安徽省委组织部
于2001年获得由中共安徽省委组织部
中共安徽省委宣传部
中共安徽省委宣传部
于2008年获得由中共安徽省委组织部
于2008年获得由中共安徽省委组织部
中共河南省委
中共河南省委
宁乡县委办
历任山东滨化集团有限责任公司党委办公室宣传
2000年8月至2004年6月在扬中市委组织部
