match,sentence
"[{""keyword"":""党委"",""positionStart"":26,""positionEnd"":28},{""keyword"":""纪委"",""positionStart"":21,""positionEnd"":23}]",现任山东新能泰山发电股份有限公司副总经理、纪委书记、党委委员
"[{""keyword"":""中共"",""positionStart"":18,""positionEnd"":20},{""keyword"":""党组"",""positionStart"":121,""positionEnd"":123},{""keyword"":""省委"",""positionStart"":158,""positionEnd"":160},{""keyword"":""市委"",""positionStart"":116,""positionEnd"":118},{""keyword"":""区委"",""positionStart"":134,""positionEnd"":136},{""keyword"":""区委"",""positionStart"":147,""positionEnd"":149}]","王庆,男,汉族,1969年4月出生,中共党员,河南新野人,研究生学历,工学学士,1990年9月参加工作,历任河南省南阳地区人事局考务中心干部科科员、干部科副主任科员、办公室副主任、监察室主任,河南省唐河县县长助理、副县长,共青团南阳市委书记、党组书记,河南省南阳市宛城区委副书记(正处级)、宛城区委副书记、区长,河南省委宣传部副部长,中原大地传媒股份有限公司第七届董事会副董事长"
"[{""keyword"":""中共"",""positionStart"":2,""positionEnd"":4},{""keyword"":""区委"",""positionStart"":9,""positionEnd"":11},{""keyword"":""区委"",""positionStart"":14,""positionEnd"":16}]",曾任中共株洲市石峰区委常委、区委办公室主任
"[{""keyword"":""中共"",""positionStart"":0,""positionEnd"":2},{""keyword"":""党组"",""positionStart"":15,""positionEnd"":17},{""keyword"":""区委"",""positionStart"":7,""positionEnd"":9}]",中共株洲市荷塘区委常委、区政府党组副书记、副区长
"[{""keyword"":""中共"",""positionStart"":0,""positionEnd"":2},{""keyword"":""党组"",""positionStart"":16,""positionEnd"":18},{""keyword"":""区委"",""positionStart"":7,""positionEnd"":9}]",中共株洲市荷塘区委副书记、区政府党组副书记、副区长
"[{""keyword"":""党委"",""positionStart"":17,""positionEnd"":19},{""keyword"":""党委"",""positionStart"":80,""positionEnd"":82},{""keyword"":""党委"",""positionStart"":124,""positionEnd"":126},{""keyword"":""党委"",""positionStart"":176,""positionEnd"":178},{""keyword"":""党委"",""positionStart"":203,""positionEnd"":205},{""keyword"":""党组"",""positionStart"":143,""positionEnd"":145}]","曾任南京市生产资料总公司副总经理、党委委员,南京市金属材料总公司总经理兼钢材市场总经理,南京黑色金属材料有限公司董事长、总经理,南京金属物流集团有限公司董事长、党委书记,南京物资实业集团总公司董事、副总经理,南京华能南方实业开发股份有限公司总经理、党委书记,华能能源交通产业控股有限公司党组书记、副总经理,华能能源交通产业控股有限公司执行董事、总经理、党委副书记,现任华能能源交通产业控股有限公司执行董事、党委书记,山东新能泰山发电股份有限公司董事长"
"[{""keyword"":""党组"",""positionStart"":14,""positionEnd"":16},{""keyword"":""市委"",""positionStart"":2,""positionEnd"":4}]",益阳市委宣传部副部长、社科联党组书记
"[{""keyword"":""党委"",""positionStart"":97,""positionEnd"":99},{""keyword"":""党委"",""positionStart"":162,""positionEnd"":164}]","曾任北京北广电子集团有限责任公司职员,北京北广数字广播电视股份有限公司技术中心副主任、总工办主任、副总经理,北京北广科技股份有限公司总裁助理兼电视部部长、执行总裁兼战略总监、副总经理兼执行总裁,党委副书记、董事、总经理,北京电子控股有限责任公司科技产业部副部长、市场部部长、智能装备及系统事业部总监,北京北广科技股份有限公司党委副书记、董事、总经理,北京兆维电子(集团)有限责任公司副总经理"
"[{""keyword"":""党委"",""positionStart"":107,""positionEnd"":109},{""keyword"":""党委"",""positionStart"":130,""positionEnd"":132}]","曾任南京夏普电子有限公司媒体事业部副事业部长、液晶实装事业部副事业部长,江苏昊泰气体设备科技有限公司总经理,中电熊猫信息产业集团有限公司液晶项目办公室副主任,南京中电熊猫液晶显示科技有限公司副总经理、常务副总经理、党委书记,南京中电熊猫平板显示科技有限公司临时党委书记、副总经理、常务副总经理"
"[{""keyword"":""党委"",""positionStart"":12,""positionEnd"":14},{""keyword"":""纪委"",""positionStart"":17,""positionEnd"":19}]",现任国元证券股份有限公司党委委员、纪委书记、监事
"[{""keyword"":""党委"",""positionStart"":23,""positionEnd"":25},{""keyword"":""党委"",""positionStart"":59,""positionEnd"":61},{""keyword"":""党委"",""positionStart"":69,""positionEnd"":71},{""keyword"":""党委"",""positionStart"":101,""positionEnd"":103},{""keyword"":""党委"",""positionStart"":137,""positionEnd"":139},{""keyword"":""纪委"",""positionStart"":111,""positionEnd"":113},{""keyword"":""纪委"",""positionStart"":142,""positionEnd"":144}]","曾任南京长江电子信息产业集团公司设计所设计员,党委工作部干事,办公室秘书、办公室副主任/主任、总经理助理兼办公室主任、党委委员、副总经理、党委委员兼长江电器设备公司总经理,南京科瑞达电子装备有限责任公司党委书记、副总经理、纪委书记、工会主席,南京华东电子信息科技股份有限公司党委书记、纪委书记"
"[{""keyword"":""党委"",""positionStart"":14,""positionEnd"":16},{""keyword"":""党委"",""positionStart"":37,""positionEnd"":39}]","现任安徽皖维集团有限责任公司党委书记、董事长,安徽皖维高新材料股份有限公司党委书记、董事长"
"[{""keyword"":""团委"",""positionStart"":13,""positionEnd"":15},{""keyword"":""党群工作部"",""positionStart"":29,""positionEnd"":34}]","京东方科技集团股份有限公司团委书记、企业文化中心企业文化/党群工作部部长兼企业文化科科长、群工科科长,企划统括本部副本部长(助理总监职级)兼重大项目推进办公室主任、市场与新事业企划部部长,企划统括中心负责人(副总监职级)兼市场洞察部部长、战略企划部部长、业绩管理部部长、重大项目推进办部长、知识管理与培训部部长"
"[{""keyword"":""纪委"",""positionStart"":44,""positionEnd"":46},{""keyword"":""党群工作部"",""positionStart"":49,""positionEnd"":54}]","现任京东方科技集团股份有限公司第八届监事会职工监事,北京京东方显示技术有限公司工会主席、纪委书记、党群工作部、企业文化中心副总监"
"[{""keyword"":""党委"",""positionStart"":22,""positionEnd"":24},{""keyword"":""党委"",""positionStart"":43,""positionEnd"":45},{""keyword"":""党委"",""positionStart"":84,""positionEnd"":86}]","曾任安徽恒源煤电股份有限公司董事长、总经理、党委委员,安徽恒源煤电股份有限公司董事长、党委书记,皖北煤电集团有限责任公司副总经理,安徽省能源集团有限公司副总经理、董事、党委副书记"
"[{""keyword"":""党支部"",""positionStart"":20,""positionEnd"":23},{""keyword"":""党总支"",""positionStart"":26,""positionEnd"":29}]","历任燕京啤酒厂发酵车间副主任、车间主任、党支部书记,党总支委员、副厂长,北京燕京啤酒股份有限公司副总经理,北京燕京啤酒投资有限公司(公司控股股东)董事"
"[{""keyword"":""党委"",""positionStart"":14,""positionEnd"":16},{""keyword"":""纪委"",""positionStart"":19,""positionEnd"":21}]",现任北京燕京啤酒股份有限公司党委委员、纪委书记、副总经理
"[{""keyword"":""党委"",""positionStart"":71,""positionEnd"":73},{""keyword"":""纪委"",""positionStart"":77,""positionEnd"":79}]","京东方科技集团股份有限公司第二届董事会证券事务代表、证券部经理,第三届、第四届、第五届董事会董事会秘书,公司第六届、第七届监事会职工监事,公司党委副书记、纪委书记、工会负责人,北京东方冠捷电子股份有限公司监事,曾任中国国防邮电工会第三届全国委员会委员"
"[{""keyword"":""党委"",""positionStart"":26,""positionEnd"":28},{""keyword"":""党委"",""positionStart"":71,""positionEnd"":73}]","曾任北京无线电厂普泰技术公司市场部经理,北京无线电厂党委工作部部长、副书记,北京益泰电子集团有限责任公司常务副总经理,北京电子控股有限责任公司党委工作部部长、企业文化部部长,公司第七届监事会职工监事"
"[{""keyword"":""党委"",""positionStart"":26,""positionEnd"":28},{""keyword"":""纪委"",""positionStart"":32,""positionEnd"":34}]",现任京东方科技集团股份有限公司第八届监事会职工监事、党委副书记、纪委书记、工会负责人、首席文化官
"[{""keyword"":""团委"",""positionStart"":31,""positionEnd"":33},{""keyword"":""党办"",""positionStart"":25,""positionEnd"":27},{""keyword"":""党群工作部"",""positionStart"":36,""positionEnd"":41},{""keyword"":""党群工作部"",""positionStart"":76,""positionEnd"":81}]","曾任南京华东电子集团有限公司信息中心、总经办职员,党办副主任、团委书记,党群工作部副部长、部长,南京中电熊猫液晶显示科技有限公司行政法务部副部长、部长,党群工作部(纪检监察部)部长,工会副主席、主席,现任南京华东电子信息科技股份有限公司总经理助理、工会主席、行政法务部部长"
"[{""keyword"":""党委"",""positionStart"":32,""positionEnd"":34},{""keyword"":""党委"",""positionStart"":49,""positionEnd"":51},{""keyword"":""党委"",""positionStart"":70,""positionEnd"":72}]","曾任熊猫电子集团电子基板厂第一副厂长、厂长,家电产业集团总经理、党委书记,电子制造产业集团总经理、党委书记,南京熊猫电子制造有限公司总经理、党委书记,南京熊猫电子股份有限公司副总经理,熊猫电子集团有限公司总经理助理"
"[{""keyword"":""党委"",""positionStart"":91,""positionEnd"":93},{""keyword"":""纪委"",""positionStart"":109,""positionEnd"":111}]","曾担任河南冶金工业学校会计教研组长,安徽省建材局副主任科员,安徽省信托投资公司财务部副经理、资金计划部经理、证券管理总部总经理、人事处处长,国元证券有限责任公司行政总监、董事会秘书、党委副书记、副总裁,公司副总裁,公司纪委书记"
"[{""keyword"":""党委"",""positionStart"":6,""positionEnd"":8},{""keyword"":""党委"",""positionStart"":21,""positionEnd"":23},{""keyword"":""党委"",""positionStart"":36,""positionEnd"":38},{""keyword"":""党委"",""positionStart"":62,""positionEnd"":64}]","挂职华龙证券党委委员、副总裁,甘肃股交中心党委书记、总经理,甘肃金控集团党委委员、副总裁,先后主持中国证监会稽查总队办公室(党委办公室)和调查处工作"
"[{""keyword"":""区委"",""positionStart"":29,""positionEnd"":31},{""keyword"":""区委"",""positionStart"":44,""positionEnd"":46},{""keyword"":""县委"",""positionStart"":82,""positionEnd"":84}]",历任北京飞行电子总公司(国营798厂)人力资源部部长、顺义区委组织部综合干部科科长、顺义区委组织部副处级干部(其间:2010.12-2013.12援建新疆和田任墨玉县委组织部副部长)、北京燕京啤酒集团公司副总经理、北京燕京啤酒股份有限公司副总经理
"[{""keyword"":""党委"",""positionStart"":412,""positionEnd"":414},{""keyword"":""党委"",""positionStart"":502,""positionEnd"":504},{""keyword"":""党委"",""positionStart"":581,""positionEnd"":583},{""keyword"":""党委"",""positionStart"":642,""positionEnd"":644},{""keyword"":""党委"",""positionStart"":690,""positionEnd"":692},{""keyword"":""党委"",""positionStart"":727,""positionEnd"":729}]","付贤民,男,出生年月1967.10,汉族,籍贯贵州遵义,全日制教育本科(学士),毕业院校系及专业电子科技大学微电子技术与电子材料系电子材料与元器件专业,在职教育研究生(硕士),毕业院校系及专业南京工业大学企业管理硕士,现任职务中国振华电子集团有限公司总经理,1985.09-1989.07电子科技大学微电子技术与电子材料系电子材料与元器件专业本科学习(工学学士)1989.07-1997.114326厂五车间技术员、助工、工程师、车间副主任1997.12-1998.044326厂技术开发处处长1998.05-2000.024326厂副总工程师、高级工程师2000.03-2003.044326厂副厂长、新云电子元器件有限公司副总经理2003.05-2005.04中国振华(集团)科技股份有限公司副总经理(2003.09-2007.06期间,南京工业大学企业管理硕士在职学习)2005.05-2008.05083基地副主任、党委委员,中国振华电子集团有限公司董事局董事,中国振华(集团)科技股份有限公司常务副总经理2008.06-2011.03贵州振华电子国有资产经营有限公司(中国振华电子集团有限公司)党委委员、董事、083基地副主任,中国振华(集团)科技股份有限公司总经理2011.03-2013.06贵州中电振华信息产业有限公司(中国振华电子集团有限公司)党委委员、副总经理、083基地副主任2013.06-2014.08贵州中电振华信息产业有限公司(中国振华电子集团有限公司)党委委员、总经理、083基地副主任2014.08-2017.10中国振华电子集团有限公司总经理、党委委员、083基地副主任2017.10-中国振华电子集团有限公司总经理、党委副书记、083基地副主任"
"[{""keyword"":""党委"",""positionStart"":26,""positionEnd"":28},{""keyword"":""党委"",""positionStart"":44,""positionEnd"":46}]",2014.08至今任山西焦煤运城盐化集团有限责任公司党委副书记、南风化工集团股份有限公司党委副书记
"[{""keyword"":""党委"",""positionStart"":29,""positionEnd"":31},{""keyword"":""党委"",""positionStart"":47,""positionEnd"":49},{""keyword"":""纪委"",""positionStart"":24,""positionEnd"":26},{""keyword"":""纪委"",""positionStart"":42,""positionEnd"":44}]","现任山西焦煤运城盐化集团有限责任公司监事会主席、纪委书记、党委常委,公司监事会主席、纪委书记、党委委员"
"[{""keyword"":""党委"",""positionStart"":18,""positionEnd"":20},{""keyword"":""纪委"",""positionStart"":27,""positionEnd"":29}]",中石化西南石油局贵州石油基地服务中心党委书记、副主任、纪委书记、工会主席
"[{""keyword"":""党委"",""positionStart"":21,""positionEnd"":23},{""keyword"":""纪委"",""positionStart"":27,""positionEnd"":29}]","现任四川美丰化工科技有限责任公司副总经理、党委副书记、纪委书记,四川美丰梅塞尔气体产品有限公司董事长"
"[{""keyword"":""党支部"",""positionStart"":39,""positionEnd"":42},{""keyword"":""党政办"",""positionStart"":55,""positionEnd"":58}]","1995年参加工作,历任中石化西南石油局井下工程处综合办公室副主任、主任、机关党支部书记,中石化西南油气分公司党政办公室接待科科长、西南油气分公司经理秘书,四川华星天然气有限责任公司总经理助理兼德阳分公司经理"
"[{""keyword"":""党委"",""positionStart"":6,""positionEnd"":8},{""keyword"":""党委"",""positionStart"":25,""positionEnd"":27},{""keyword"":""纪委"",""positionStart"":12,""positionEnd"":14},{""keyword"":""纪委"",""positionStart"":31,""positionEnd"":33}]","中国航发西控党委副书记、纪委书记,中国航发西控科技党委副书记、纪委书记"
"[{""keyword"":""党委"",""positionStart"":677,""positionEnd"":679},{""keyword"":""纪委"",""positionStart"":683,""positionEnd"":685},{""keyword"":""纪委"",""positionStart"":707,""positionEnd"":709}]",1988.09-1992.07西南财经大学学生1992.07-1994.05中国电子器材总公司新产品开发部业务员1994.05-2000.01中国电子器材总公司总经理办公室秘书2000.01-2001.10中国电子器材总公司总经理办公室副主任2001.10-2002.10中国电子器材总公司移动通信分公司副总经理2002.10-2003.01中国电子器材总公司移动通信公司常务副总经理兼广州公司总经理简2003.01-2003.05中国电子器材总公司移动通信公司常务副总经理兼浙江分公司经理2003.05-2003.09中国电子器材总公司移动通信公司常务副总经理兼广州深圳、中山、宁波分公司经理2003.09-2004.02中国电子器材总公司移动通信事业部副总经理兼河南分公司负责人2004.02-2006.02中国电子器材总公司移动通信事业部总经理2006.02-2006.08中国电子器材总公司市场营销部总经理历2006.08-2007.02中国电子器材总公司终端事业部总经理2007.02-2007.11中国电子器材总公司总经理办公室主任2007.11-2008.11中国电子器材总公司总经理助理2008.11-2011.08中国电子器材总公司总经理助理兼人力资源部总经理、总经理办公室主任、置业中心总经理2011.08-2015.02中国电子信息产业集团有限公司专项经理(其间:2011.08-2014.07挂职任乌鲁木齐市高新技术产业开发区副区长、乌鲁木齐市高新技术开发区管理委员会副主任)2015.02-2017.04华北计算机系统工程研究所党委副书记兼纪委书记2017.04-中国振华电子集团有限公司纪委书记
"[{""keyword"":""党委"",""positionStart"":21,""positionEnd"":23},{""keyword"":""党委"",""positionStart"":37,""positionEnd"":39}]","现任山西焦煤运城盐化集团有限责任公司董事、党委常委,公司董事长、总会计师、党委副书记"
"[{""keyword"":""党委"",""positionStart"":42,""positionEnd"":44},{""keyword"":""党委"",""positionStart"":90,""positionEnd"":92}]","贵州红林机械有限公司副总经理,总经理,董事、总经理,董事长、总经理,董事长、总经理、党委副书记.现任中国航发动力控制股份有限公司董事、副总经理兼贵州红林机械有限公司董事长、总经理、党委副书记."
"[{""keyword"":""党委"",""positionStart"":29,""positionEnd"":31},{""keyword"":""党委"",""positionStart"":67,""positionEnd"":69}]",2011.04-2012.06中国振华集团永光电子有限公司党委书记、总经理、2012.06-2014.01中国振华集团永光电子有限公司党委书记、副董事长、总经理
"[{""keyword"":""党委"",""positionStart"":4,""positionEnd"":6},{""keyword"":""纪委"",""positionStart"":10,""positionEnd"":12}]",西控科技党委副书记、纪委书记
"[{""keyword"":""党委"",""positionStart"":4,""positionEnd"":6},{""keyword"":""纪委"",""positionStart"":10,""positionEnd"":12}]",西控公司党委副书记、纪委书记
"[{""keyword"":""党委"",""positionStart"":6,""positionEnd"":8},{""keyword"":""纪委"",""positionStart"":12,""positionEnd"":14}]",中国航发西控党委副书记、纪委书记
"[{""keyword"":""党委"",""positionStart"":11,""positionEnd"":13},{""keyword"":""纪委"",""positionStart"":17,""positionEnd"":19}]",中国航发西控科技监事、党委副书记、纪委书记
"[{""keyword"":""党委"",""positionStart"":9,""positionEnd"":11},{""keyword"":""纪委"",""positionStart"":15,""positionEnd"":17}]",中国航发西控监事、党委副书记、纪委书记、工会主席
"[{""keyword"":""党委"",""positionStart"":11,""positionEnd"":13},{""keyword"":""纪委"",""positionStart"":17,""positionEnd"":19}]",中国航发西控科技监事、党委副书记、纪委书记、工会主席
"[{""keyword"":""党委"",""positionStart"":21,""positionEnd"":23},{""keyword"":""党委"",""positionStart"":35,""positionEnd"":37}]","现任山西焦煤运城盐化集团有限责任公司董事、党委常委,公司董事、总经理、党委委员"
"[{""keyword"":""中共"",""positionStart"":417,""positionEnd"":419},{""keyword"":""党支部"",""positionStart"":183,""positionEnd"":186},{""keyword"":""党支部"",""positionStart"":293,""positionEnd"":296},{""keyword"":""党支部"",""positionStart"":338,""positionEnd"":341}]","主要简历,1979.10--1982.07山西省忻州地区卫生学校医学专业学习,1982.08--1983-09山西省代县峨口中心医学外科临床医生,1983.09--1995.07山西省代县公安局干警、技术员、技术科长(其中1987.09--1989.07在山西警官学院公安管理专业脱产带薪学习),1995.07--2001.06山西省煤炭运销总公司代县公司副总经理、党支部书记,2001.07--2003.07深圳振华富电子有限公司经理部经理,2003.07--2005.04深圳振华富电子有限公司总经理助理兼军工部经理,2007.06--2010.01深圳振华富电子有限公司副总经理、党支部书记,2010.01--2014.01深圳振华富电子有限公司常务副总经理、副董事长、党支部书记,2014.01--2014.07深圳振华富电子有限公司代理总经理,2014.08--2018.04深圳振华富电子有限公司总经理,2018.05--中共中国振华(集团)新云电子元器件有限责任公司委员会书记"
"[{""keyword"":""共产党"",""positionStart"":150,""positionEnd"":153},{""keyword"":""党代会"",""positionStart"":177,""positionEnd"":180}]",曾获第二届中国食品工业协会科学技术进步二等奖、中国啤酒行业科技进步优秀论文二等奖、北京科技协会科学技术进步二等奖、全国五一劳动奖章、北京市工业和信息化高级能技术能手称号、“十一五”轻工业科技创新先进个人、第二十一届北京市优秀青年工程师标兵、中国酒业协会科技进步优秀论文二等奖、首都精神文明建设奖、中国共产党第十八次全国代表大会代表、北京市第十一、第十二届党代会代表
"[{""keyword"":""中共"",""positionStart"":18,""positionEnd"":20},{""keyword"":""党委"",""positionStart"":106,""positionEnd"":108},{""keyword"":""纪委"",""positionStart"":77,""positionEnd"":79},{""keyword"":""党群工作部"",""positionStart"":69,""positionEnd"":74}]","杨德奎,男,汉族,1970年8月生,中共党员,历任四川美丰射洪分公司办公室主任、总经理助理、副总经理,四川美丰化工股份有限公司人事部经理、党群工作部主任、纪委副书记,现任四川美丰化工股份有限公司射洪分公司总经理、党委副书记"
"[{""keyword"":""党委"",""positionStart"":27,""positionEnd"":29},{""keyword"":""党委"",""positionStart"":44,""positionEnd"":46},{""keyword"":""党委"",""positionStart"":51,""positionEnd"":53}]","2019年7月至今,任中交房地产集团有限公司董事、临时党委委员,中交地产股份有限公司临时党委委员、临时党委书记"
"[{""keyword"":""党委"",""positionStart"":35,""positionEnd"":37},{""keyword"":""纪委"",""positionStart"":43,""positionEnd"":45}]",最近五年工作经历:2011年2月至2015年4月任中交地产有限公司临时党委副书记、临时纪委书记、监事会主席、工会主席
"[{""keyword"":""党委"",""positionStart"":29,""positionEnd"":31},{""keyword"":""党委"",""positionStart"":44,""positionEnd"":46}]","2015年4月至2017年2月任中交房地产集团有限公司临时党委委员,中交地产有限公司临时党委书记、董事、副总经理"
"[{""keyword"":""党委"",""positionStart"":23,""positionEnd"":25},{""keyword"":""纪委"",""positionStart"":31,""positionEnd"":33}]",2017年2月至今任中交房地产集团有限公司临时党委副书记、临时纪委书记、监事会主席、工会主席
"[{""keyword"":""党委"",""positionStart"":20,""positionEnd"":22},{""keyword"":""党委"",""positionStart"":44,""positionEnd"":46}]","现任四川美丰化工股份有限公司董事会秘书、党委副书记、工会主席,四川美丰天然气投资有限公司党委书记"
"[{""keyword"":""党委"",""positionStart"":512,""positionEnd"":514},{""keyword"":""党支部"",""positionStart"":157,""positionEnd"":160},{""keyword"":""党支部"",""positionStart"":242,""positionEnd"":245}]",1985.09-1989.07贵州大学物理系半导体物理与器件专业学习1989.07-1992.10振华集团永光电工厂三车间技术员1992.10-1993.12振华集团永光电工厂后部工段工段长1993.12-1994.12振华集团永光电工厂电镀车间副主任1994.12-1997.12振华集团永光电工厂电镀车间主任兼党支部书记(1995.04评为工程师)1997.12-2002.01振华集团永光电工厂生产部部长2002.01-2003.01振华集团永光电工厂厂长助理兼生产部部长(机关党支部书记)2003.01-2003.05振华集团永光电工厂副厂长2003.05-2004.03振华集团永光电工厂副厂长兼中国振华(集团)科技股份有限公司思美特分公司副总经理2004.03-2006.04中国振华(集团)科技股份有限公司片式器件分公司常务副总经理2006.03-2008.10贵州振华云科电子有限公司总经理(其间:2005.01-2007.06在贵州大学工商管理专业攻读硕士学位)2008.10-2011.03中国振华集团永光电子有限公司总经理2011.03-中国振华(集团)科技股份有限公司总经理、中国振华电子集团有限公司党委委员
"[{""keyword"":""党委"",""positionStart"":23,""positionEnd"":25},{""keyword"":""党委"",""positionStart"":45,""positionEnd"":47}]","中航工业南方公司执行董事(法人代表)、总经理、党委副书记,湖南南方航空科技有限公司董事长、党委副书记"
"[{""keyword"":""党总支"",""positionStart"":76,""positionEnd"":79},{""keyword"":""支部"",""positionStart"":33,""positionEnd"":35}]","张显东,男,汉族,1966年11月出生,大学学历,历任冶金研究所团支部书记,葫芦岛锌业股份有限公司热电厂工会主席、现任葫芦岛锌业股份有限公司监事、水汽厂党总支书记"
"[{""keyword"":""党委"",""positionStart"":45,""positionEnd"":47},{""keyword"":""党委"",""positionStart"":91,""positionEnd"":93},{""keyword"":""党委"",""positionStart"":110,""positionEnd"":112}]","历任葫芦岛锌业股份有限公司第二冶炼厂副厂长、第三冶炼厂厂长、中冶葫芦岛有色金属集团有限公司党委委员、副总经理、葫芦岛锌业股份有限公司董事、副总经理,现任中冶葫芦岛有色金属集团有限公司党委委员、葫芦岛锌业股份有限公司董事、党委书记、常务副总经理"
"[{""keyword"":""党委"",""positionStart"":94,""positionEnd"":96},{""keyword"":""党委"",""positionStart"":116,""positionEnd"":118}]","历任葫芦岛有色金属集团有限公司原料一处处长、葫芦岛有色金属集团有限公司办公室主任、燃化部部长、葫芦岛有色金属集团有限公司总经理助理兼综合营销部主任、中冶葫芦岛有色金属集团有限公司副总经理、党委委员,现任中冶葫芦岛有色金属集团有限公司党委委员、葫芦岛锌业股份有限公司副总经理"
"[{""keyword"":""党委"",""positionStart"":34,""positionEnd"":36},{""keyword"":""党委"",""positionStart"":48,""positionEnd"":50}]","白金珠,男,汉族,1960年9月出生,大专学历,历任锌业股份一冶炼厂党委书记,锌业股份精锌冶炼厂党委书记、葫芦岛锌业股份有限公司职工监事,现任葫芦岛锌业股份有限公司监事、人力资源部主任"
"[{""keyword"":""党委"",""positionStart"":84,""positionEnd"":86},{""keyword"":""团委"",""positionStart"":7,""positionEnd"":9},{""keyword"":""纪委"",""positionStart"":89,""positionEnd"":91}]","历任葫芦岛锌厂团委书记、资金处处长、经营办副主任、葫芦岛锌业股份有限公司证券部主任、葫芦岛锌业股份有限公司副总经理兼董事会秘书,现任中冶葫芦岛有色金属集团有限公司董事、党委书记、纪委书记、工会主席"
"[{""keyword"":""机关党委"",""positionStart"":41,""positionEnd"":45},{""keyword"":""党组"",""positionStart"":36,""positionEnd"":38}]",2010年12月至2014年9月，任广西壮族自治区金融工作办公室副主任、党组成员、机关党委书记
"[{""keyword"":""党委"",""positionStart"":6,""positionEnd"":8},{""keyword"":""党委"",""positionStart"":30,""positionEnd"":32},{""keyword"":""党委"",""positionStart"":48,""positionEnd"":50}]",现任桂东电力党委书记、董事长、总裁，广西广投能源集团有限公司党委副书记，广西正润发展集团有限公司党委书记、董事长，广西永盛石油化工有限公司董事长，广西闽商石业发展有限公司、广西超超新材股份有限公司、广西七色珠光材料股份有限公司、国海证券股份有限公司董事
"[{""keyword"":""中共"",""positionStart"":19,""positionEnd"":21},{""keyword"":""党组"",""positionStart"":106,""positionEnd"":108},{""keyword"":""党组"",""positionStart"":117,""positionEnd"":119}]","袁清茂,男,1969年11月生,汉族,中共党员,山西应县人,研究生学历,高级会计师,曾任太原高新技术产业开发总公司总经理,山西省供销社财务处处长,山西兴合资产经营管理有限公司总经理,山西省供销合作社联合社副主任、党组成员,山西省交通厅党组成员、副厅长兼总会计师"
"[{""keyword"":""党委"",""positionStart"":146,""positionEnd"":148},{""keyword"":""党委"",""positionStart"":164,""positionEnd"":166},{""keyword"":""支部"",""positionStart"":97,""positionEnd"":99},{""keyword"":""支部"",""positionStart"":109,""positionEnd"":111}]",魏长生先生，49岁，高级经济师，毕业于江西工业大学食品机械专业，天津财经大学管理学硕士，1992年加入山东新华制药股份有限公司，历任山东新华制药股份有限公司车间见习生，人事处办事员、副科长，车间支部书记兼副主任，研究院支部书记兼副院长，现任山东新华制药股份有限公司总经理助理兼行政人事部经理、党委干部管理部部长、人力资源部经理、党委办公室主任、公司办公室主任
"[{""keyword"":""中共"",""positionStart"":18,""positionEnd"":20},{""keyword"":""党委"",""positionStart"":76,""positionEnd"":78},{""keyword"":""党委"",""positionStart"":98,""positionEnd"":100},{""keyword"":""纪委"",""positionStart"":81,""positionEnd"":83}]","穆霄峰,男,1979年7月生,汉族,中共党员,山西霍州人,大学学历,曾任山西路桥集团榆和高速公路有限公司综合办公室主任,山西路桥集团榆和高速公路有限公司党委委员、纪委书记,山西路桥建设集团有限公司党委办公室主任"
"[{""keyword"":""中共"",""positionStart"":18,""positionEnd"":20},{""keyword"":""党委"",""positionStart"":115,""positionEnd"":117}]","李武军,男,1972年3月生,汉族,中共党员,山西万荣人,大学学历,持有律师资格证书,曾任山西省交通厅人事处主任科员,山西省交通运输厅政策法规处副处长,太原路桥公司副总经理,临汾高速公路公司总经理,山西交控集团临汾北高速公路分公司党委副书记、总经理"
"[{""keyword"":""党委"",""positionStart"":33,""positionEnd"":35},{""keyword"":""党委"",""positionStart"":38,""positionEnd"":40}]","2002年-2019年1月任中国有色金属建设股份有限公司副总经理、党委委员、党委书记,期间曾任哈萨克斯坦代表处总代表,哈萨克斯坦电解铝项目经理,中色哈萨克斯坦有限公司总经理"
"[{""keyword"":""中共"",""positionStart"":25,""positionEnd"":27},{""keyword"":""中央党校"",""positionStart"":48,""positionEnd"":52}]","常春,男,汉族,1964年3月出生,河南省许昌人,中共党员,大学本科学历,1996年12月毕业于中央党校函授学院经济管理专业,政工师职称"
