match,sentence
"[{""keyword"":""党委"",""positionStart"":165,""positionEnd"":167},{""keyword"":""党委"",""positionStart"":188,""positionEnd"":190},{""keyword"":""党支部"",""positionStart"":159,""positionEnd"":162}]","秦士孝,男,1963年出生,硕士研究生,高级工程师,曾任河南省电力局中调所技术员,武汉电力学院讲师,深圳妈湾电力有限公司建设部工程师及生技部高工、深圳市能源集团有限公司电业部高工、生技部高工及主任工程师、生产运营部部长,河源电厂联合执行办公室副主任(主持工作),河源电厂项目指导委员会主席,深能合和电力(河源)有限公司党支部书记、党委书记、董事长,深圳妈湾电力有限公司董事长、党委书记"
"[{""keyword"":""党委"",""positionStart"":60,""positionEnd"":62},{""keyword"":""党委"",""positionStart"":195,""positionEnd"":197}]","1999年7月起先后任中国医药集团上海公司市场部副总经理,上海国大药房连锁有限公司副总经理,国药控股沈阳有限公司总经理、党委书记、董事长,国药控股山东有限公司董事长,国药控股河南有限公司董事长,上海沪甬医药有限公司执行董事,国药集团医药物流有限公司执行董事,国药集团化学试剂股份有限公司董事长,国药集团上海立康医药股份有限公司董事长,国药控股安徽有限公司董事长,国药控股北京有限公司总经理、党委书记、董事长,国药控股吉林有限公司董事长,国药控股北京康辰生物医药有限公司董事长,国药集团山西有限公司董事,国药集团药业股份有限公司董事、董事长,国药控股重庆有限公司董事长,国药控股湖南有限公司董事长,国药控股重庆泰民医药有限公司董事长,国药控股西南有限公司董事长,北京国药天元物业管理有限公司总经理,四川省医药股份有限公司董事"
"[{""keyword"":""党委"",""positionStart"":25,""positionEnd"":27},{""keyword"":""纪委"",""positionStart"":30,""positionEnd"":32}]",2017年1月起兼任深圳市振业(集团)股份有限公司党委委员、纪委书记
"[{""keyword"":""省委"",""positionStart"":4,""positionEnd"":6},{""keyword"":""市委"",""positionStart"":13,""positionEnd"":15}]",民建广东省委常委、民建深圳市委副主委、深圳市人大常委、深圳市中级人民法院特约监督员
"[{""keyword"":""党委"",""positionStart"":75,""positionEnd"":77},{""keyword"":""党总支"",""positionStart"":98,""positionEnd"":101}]","曾任华能汕头电厂人力资源部副主任,华能海门电厂人力资源部主任,华能广东分公司人力资源部副经理(主持工作),华能海门发电公司(电厂)副总经理(副厂长)、党委委员,华能广东海门港务有限责任公司总经理、党总支书记"
"[{""keyword"":""党委"",""positionStart"":13,""positionEnd"":15},{""keyword"":""纪委"",""positionStart"":19,""positionEnd"":21}]",吉林省亚东投资管理有限公司党委副书记、纪委委员、工会主席
"[{""keyword"":""党支部"",""positionStart"":47,""positionEnd"":50},{""keyword"":""党支部"",""positionStart"":143,""positionEnd"":146}]","曾任深圳市宝安区永安房地产开发公司副经理,深圳市宝安区物业管理公司副经理,深圳市宝安区电影公司党支部书记、董事长、经理,深圳市宝安区投资管理有限公司董事局董事、综合管理部部长、企业改革重组办公室负责人,深圳市宝安区投资管理集团有限公司企业改革重组办公室主任(兼深圳市全安建设监理有限公司党支部书记、董事长)、资产法务部部长、审计部部长"
"[{""keyword"":""中共"",""positionStart"":34,""positionEnd"":36},{""keyword"":""党代会"",""positionStart"":26,""positionEnd"":29}]",欧永良先生曾先后担任广东省人大常委会立法顾问、广东省党代会专家顾问、中共广州市第九次代表大会代表、广东省工会法律服务律师团团长、第16届亚运会律师志愿服务团团长等
"[{""keyword"":""中共"",""positionStart"":18,""positionEnd"":20},{""keyword"":""中共"",""positionStart"":37,""positionEnd"":39},{""keyword"":""共产党"",""positionStart"":31,""positionEnd"":34},{""keyword"":""党务"",""positionStart"":51,""positionEnd"":53}]","曾获“广州市十佳律师”称号,多次获得中共广东省律协委员会“优秀共产党员”、中共广州市司法局委员会“优秀党务工作者”等称号"
"[{""keyword"":""党委"",""positionStart"":30,""positionEnd"":32},{""keyword"":""纪委"",""positionStart"":36,""positionEnd"":38}]",2016年3月至2018年2月任国药集团一致药业股份有限公司党委副书记、纪委书记
"[{""keyword"":""党委"",""positionStart"":23,""positionEnd"":25},{""keyword"":""纪委"",""positionStart"":29,""positionEnd"":31}]",2018年3月起任国药集团一致药业股份有限公司党委副书记、纪委书记、工会主席
"[{""keyword"":""党委"",""positionStart"":32,""positionEnd"":34},{""keyword"":""纪委"",""positionStart"":38,""positionEnd"":40}]",2004年10月至2007年5月任贵州振业董酒股份有限公司董事、党委副书记、纪委书记、副总经理
"[{""keyword"":""党委"",""positionStart"":84,""positionEnd"":86},{""keyword"":""党委"",""positionStart"":113,""positionEnd"":115},{""keyword"":""纪委"",""positionStart"":90,""positionEnd"":92},{""keyword"":""纪委"",""positionStart"":119,""positionEnd"":121}]","曾任深圳市投资管理公司副主任科员、主任科员,深圳市国有资产管理办公室主任科员,深圳市国资办秘书处助理调研员、副处长、处长,深圳市国资委监督稽查处处长,深圳市长城地产集团党委副书记、纪委书记、董事,深圳市长城投资控股股份有限公司党委副书记、纪委书记、董事,深圳能源集团股份有限公司第六届监事会主席"
"[{""keyword"":""党委"",""positionStart"":8,""positionEnd"":10},{""keyword"":""党委"",""positionStart"":31,""positionEnd"":33}]","历任平安银行总行党委委员、副行长,平安信托有限责任公司董事长、党委书记,长安国际信托股份有限公司总经理"
"[{""keyword"":""纪委"",""positionStart"":57,""positionEnd"":59},{""keyword"":""党群"",""positionStart"":28,""positionEnd"":30},{""keyword"":""党群"",""positionStart"":44,""positionEnd"":46}]",2012年4月至今在沙河实业股份有限公司历任人力资源部(党群办公室)副经理、女工委主任、党群办(监察室)主任、公司纪委委员
"[{""keyword"":""党委"",""positionStart"":61,""positionEnd"":63},{""keyword"":""党办"",""positionStart"":7,""positionEnd"":9}]","曾任电子部四所党办副主任、电子部干部司办公室负责人、五处副处长,机电部人事劳动司办公室主任,深圳桑达电子总公司人事部经理、党委副书记、总经理助理、副总经理,深圳桑达电子集团有限公司副总经理、常务副总经理,深圳市桑达无线通讯技术有限公司副董事长"
"[{""keyword"":""中共"",""positionStart"":24,""positionEnd"":26},{""keyword"":""中共"",""positionStart"":43,""positionEnd"":45},{""keyword"":""纪委"",""positionStart"":62,""positionEnd"":64}]","主要社会职务有:广东省高级会计师评审委员会评委,中共深圳市社会组织纪律检查委员会委员,中共深圳市注册会计师行业委员会副书记兼纪委书记,深圳市注册税务师协会理事等"
"[{""keyword"":""党委"",""positionStart"":19,""positionEnd"":21},{""keyword"":""党委"",""positionStart"":24,""positionEnd"":26}]",深圳市赛格集团有限公司副总经理、董事、党委委员、党委副书记、总经理
"[{""keyword"":""纪委"",""positionStart"":29,""positionEnd"":31},{""keyword"":""党群工作部"",""positionStart"":21,""positionEnd"":26}]",谢畅先生曾任深圳市建安(集团)股份有限公司党群工作部部长、纪委委员、资产管理部部长
"[{""keyword"":""党委"",""positionStart"":14,""positionEnd"":16},{""keyword"":""纪委"",""positionStart"":20,""positionEnd"":22}]",深圳市粮食集团有限公司董事、党委副书记、纪委书记
