tinySentence,matches
2013年4月-2014年8月任深圳市特区建设发展集团有限公司人力资源部副部长(期间:2013年7月-2014年8月兼任深圳市特区建设发展集团有限公司党群工作部副部长),"[""部长"",""部长"",""工作""]"
总经理兼支部书记,"[""书记"",""经理""]"
2014年3月至2015年7月任深圳市机场股份有限公司地面服务公司党总支书记兼副总经理,"[""书记"",""经理""]"
党群工作部副总经理,"[""经理"",""工作""]"
经济师(期间1986年由湖南省委组织部委派带职参加湖南怀化通道侗族自治县整党工作),"[""经济师"",""工作""]"
山西省建六公司总经理兼党委副书记,"[""书记"",""经理""]"
党委副书记兼团委书记,"[""书记"",""书记""]"
党委副书记兼团委书记,"[""书记"",""书记""]"
2003年至2009年历任中国航天时代电子公司人力资源部部长/党委工作部部长,"[""部长"",""部长"",""工作""]"
福田区委社会工作委员会,"[""委员"",""工作""]"
任深圳市委政策研究室(市委全面深化改革领导小组办公室)主任,"[""主任"",""领导""]"
任深圳市委政策研究室(市委全面深化改革领导小组办公室)主任,"[""主任"",""领导""]"
深圳市盐田港集团有限公司党群工作部部长兼纪检监察室主任,"[""部长"",""主任"",""工作""]"
深圳市特区建设发展集团有限公司党群工作部部长,"[""部长"",""工作""]"
党群工作部副主任,"[""主任"",""工作""]"
党群工作部主任等职,"[""主任"",""工作""]"
2000年6月至2002年1月任衡阳师范学院党委组织部副部长(主持工作),"[""部长"",""工作""]"
自2008年至2014年受聘为广东省审计厅特约审计员兼任台盟广东省委副主委,"[""员"",""主委""]"
2018年至今任政协第十二届安徽省委员会委员,"[""委员"",""委员""]"
TCL集团股份有限公司党群工作部副部长,"[""部长"",""工作""]"
党委副书记兼纪委书记,"[""书记"",""书记""]"
党委副书记兼纪委书记,"[""书记"",""书记""]"
党委书记兼副总经理,"[""书记"",""经理""]"
党委工作部副部长,"[""部长"",""工作""]"
第一党支部副书记和团委副书记,"[""书记"",""书记""]"
第一党支部副书记和团委副书记,"[""书记"",""书记""]"
现任川化股份有限公司党委工作部(党委组织部)副部长,"[""部长"",""工作""]"
现任川化股份有限公司党委工作部(党委组织部)副部长,"[""部长"",""工作""]"
兼任四川化工控股(集团)有限责任公司党委工作部副部长,"[""部长"",""工作""]"
第一党支部副书记和团委副书记,"[""书记"",""书记""]"
第一党支部副书记和团委副书记,"[""书记"",""书记""]"
党委工作部部长,"[""部长"",""工作""]"
吉林化纤股份有限公司长丝二车间主任兼党支部书记,"[""主任"",""书记""]"
吉林化纤股份有限公司长丝七车间主任兼党支部书记,"[""主任"",""书记""]"
2012年当选中国共产党十八大代表,"[""代表"",""当选""]"
