tinySentence,matches
技术开发与管理中心党支部书记2008.10-2009.03唐山盾石机械制造有限责任公司质量总监兼生产技术党支部书记2009.03-2014.04唐山盾石机械制造有限责任公司总工程师兼企业ISO9001质量保证体系管理者代表2014.04-2016.02唐山冀东装备工程股份有限公司生产技术管理部副部长,"[""部长"",""书记"",""书记"",""代表""]"
任宜宾市农机局政工科科长(其间:2006年4月至2006年6月宜宾市委党校第16期中青班学习,"[""科长"",""学习""]"
任宜宾市农机局政工科科长(其间:2006年4月至2006年6月宜宾市委党校第16期中青班学习,"[""科长"",""学习""]"
曾任江苏风电分公司总经理兼党支部书记,"[""书记"",""经理""]"
安徽华鹏纺织有限公司常务副总经理兼直属支部书记,"[""书记"",""经理""]"
中石化石油机械股份有限公司沙市钢管分公司经理兼党委副书记,"[""书记"",""经理""]"
历任山东海化集团热力电力分公司党政办主任兼机关党支部书记,"[""主任"",""书记""]"
历任山东海化集团热力电力分公司党政办主任兼机关党支部书记,"[""主任"",""书记""]"
党委副书记兼纪委书记,"[""书记"",""书记""]"
党委副书记兼纪委书记,"[""书记"",""书记""]"
山东海化集团党政办主任兼党总支书记,"[""主任"",""书记""]"
山东海化集团党政办主任兼党总支书记,"[""主任"",""书记""]"
副主任(1995.09-1997.12中央党校函授学院经济管理专业学习,"[""主任"",""专业"",""学习""]"
津保铁路项目经理部党工委书记,"[""书记"",""经理""]"
研究生学历(省委党校经济学),"[""学历"",""研究生""]"
研究生学历(省委党校经济学),"[""学历"",""研究生""]"
中国冶金科工集团公司党群工作部副部长,"[""部长"",""工作""]"
中冶集团暨中国中冶党群工作部(企业文化部)副部长等职务,"[""部长"",""工作""]"
1993年9月至1996年7月在广东省委党校经济管理专业在职学习,"[""专业"",""学习""]"
1993年9月至1996年7月在广东省委党校经济管理专业在职学习,"[""专业"",""学习""]"
四川省委党校经济学专业研究生学习),"[""专业"",""学习"",""研究生""]"
四川省委党校经济学专业研究生学习),"[""专业"",""学习"",""研究生""]"
宜宾市发展和改革委员会党组书记,"[""书记"",""委员""]"
安防公司经理兼党支部书记,"[""书记"",""经理""]"
职工代表监事兼山东海化魁星化工有限公司党委书记,"[""书记"",""代表""]"
东北电力检修工程有限公司总经理工作部(党群工作部)副经理,"[""经理"",""经理"",""工作"",""工作""]"
总经理兼党委书记,"[""书记"",""经理""]"
党校在职研究生毕业,"[""研究生"",""毕业""]"
党委副书记(主持工作),"[""书记"",""工作""]"
团委书记兼政治部副主任,"[""主任"",""书记""]"
党委组织部干部科副科长,"[""科长"",""干部""]"
任河南省委宣传部网络管理处主任科员,"[""员"",""主任""]"
矿山副主任兼党支部副书记,"[""主任"",""书记""]"
2000年6月至2001年6月任新疆和静天山水泥有限责任公司党委书记兼常务副总经理,"[""书记"",""经理""]"
曾担任中国广核集团有限公司党组工作部主任,"[""主任"",""工作""]"
2004年至2007年任新疆屯河水泥有限责任公司总经理兼党委书记,"[""书记"",""经理""]"
政治面貌:中共党员学历:硕士,"[""党员"",""学历""]"
党群工作部主任,"[""主任"",""工作""]"
湖北省国有资产监督管理委员会党委书记,"[""书记"",""委员""]"
1998年至2001年就读中央党校经济管理在职研究生毕业.2003年8月-2009年12月,"[""研究生"",""毕业""]"
其主要经历如下:1985.09--1989.07西南财经大学本科学习1989.07--1991.08峨眉山大酒店工作1991.08--1992.09中美合资四川峨眉矿泉水有限公司工作1992.09--1993.04峨眉山旅行社工作1993.04--1998.06峨眉山管委会办公室工作1998.06--2000.01万年管理处副处长2000.01--2001.04龙洞管理处副处长(主持工作)2001.04--2002.11峨眉山旅游股份有限公司董事会秘书室副主任2002.12--2005.03金顶管理处处长2005.03--2005.03万年管理处处长2005.03-峨眉山旅游股份有限公司金顶索道分公司总经理兼党支部书记(其间:2016.03任峨眉山旅游股份有限公司总经理助理),"[""主任"",""书记"",""处长"",""处长"",""处长"",""处长"",""秘书"",""学习"",""经理"",""经理"",""工作"",""工作"",""工作"",""工作"",""工作""]"
1993年5月-1995年3月任犍为县罗城镇党委副书记(期间:1993年9月任副主任干事),"[""主任"",""书记"",""干事""]"
1996年6月-1998年1月任犍为县玉津镇党委书记(期间:1995年9月-1997年12月在四川省委党校法律专业本科学习),"[""书记"",""专业"",""学习""]"
1996年6月-1998年1月任犍为县玉津镇党委书记(期间:1995年9月-1997年12月在四川省委党校法律专业本科学习),"[""书记"",""专业"",""学习""]"
1996年6月-1998年1月任犍为县玉津镇党委书记(期间:1995年9月-1997年12月在四川省委党校法律专业本科学习),"[""书记"",""专业"",""学习""]"
县长兼行政学校校长(期间:2001年9月-2004年6月在四川省委党校政治学专业研究生班学习),"[""专业"",""学习"",""研究生"",""校长""]"
县长兼行政学校校长(期间:2001年9月-2004年6月在四川省委党校政治学专业研究生班学习),"[""专业"",""学习"",""研究生"",""校长""]"
办公室工作(其间1996.09-1999-07参加省委党校经济管理专科函授学习),"[""学习"",""工作""]"
办公室工作(其间1996.09-1999-07参加省委党校经济管理专科函授学习),"[""学习"",""工作""]"
2001.10任秘书股副股长(其间:1999.09-2001.12参加省委党校经济管理本科函授学习),"[""秘书"",""学习""]"
2001.10任秘书股副股长(其间:1999.09-2001.12参加省委党校经济管理本科函授学习),"[""秘书"",""学习""]"
服务业发展科科长职务(其间:2012.09-2012.12在市委党校参加第34期中青班学习),"[""科长"",""学习""]"
服务业发展科科长职务(其间:2012.09-2012.12在市委党校参加第34期中青班学习),"[""科长"",""学习""]"
毕业于中央党校经济法学专业,"[""专业"",""毕业""]"
先后担任鞍山钢铁集团有限公司团委生产科技部副部长(主持工作),"[""部长"",""工作""]"
团委办公室副主任(主持工作),"[""主任"",""工作""]"
2017年11月至2019年2月任江西省天然气投资有限公司总经理办公室(党群工作部)主任,"[""主任"",""经理"",""工作""]"
湖北新洋丰肥业股份有限公司纪委书记兼审计监察部部长,"[""部长"",""书记""]"
中国三江航天集团险峰厂五车间主任兼支部书记,"[""主任"",""书记""]"
干部信息管理处副处长(期间挂任怀化辰溪县委常委,"[""常委"",""处长"",""干部""]"
并任省委组织部驻马王塘村建整扶贫工作组组长,"[""组长"",""工作""]"
中共昆明市第十次代表大会代表,"[""代表"",""代表""]"
公司副总经理兼公司抱子石水电厂党支部书记,"[""书记"",""经理""]"
党政办文秘兼接待协调员,"[""员"",""文秘""]"
党委工作办公室副主任,"[""主任"",""工作""]"
党群工作部副部长,"[""部长"",""工作""]"
党群工作部部长,"[""部长"",""工作""]"
党群工作部主任,"[""主任"",""工作""]"
国投电力控股股份有限公司党群工作部(监察部)纪检监察业务经理,"[""经理"",""工作""]"
现任国投电力控股股份有限公司党群工作部(监察部)高级业务经理,"[""经理"",""工作""]"
2007年6月至2012年3月鞍钢总经理助理兼朝阳鞍凌钢铁有限公司党委筹建组组长,"[""组长"",""经理""]"
党群工作部宣传处主任,"[""主任"",""工作""]"
党群工作部党委办公室主任,"[""主任"",""工作""]"
党群工作部党委办公室主任,"[""主任"",""工作""]"
现任江西赣能股份有限公司丰城二期发电厂党群工作部经理助理,"[""经理"",""工作""]"
炼钢车间主任(兼党支部书记),"[""主任"",""书记""]"
部长(兼党委书记),"[""部长"",""书记""]"
1995年5月至2001年9月任中英合资广西博庆食品有限公司行政部经理(2000年起至2007年7月任宜州市糖业集团党委书记),"[""书记"",""经理""]"
二零零八年一月至二零零九年八月任厦门港务物流有限公司党总支副书记及总经理,"[""书记"",""经理""]"
二零零九年八月至二零一一年二月任厦门港务发展股份有限公司东渡分公司党委书记及常务副总经理,"[""书记"",""经理""]"
二零一一年二月至二零一三年八月任厦门港务发展股份有限公司东渡分公司党委副书记及总经理,"[""书记"",""经理""]"
嘉凯城集团股份有限公司党群工作中心主任助理,"[""主任"",""工作""]"
2012年5月至2017年10月担任金陵药业股份有限公司党委副书记兼纪委书记,"[""书记"",""书记""]"
2012年5月至2017年10月担任金陵药业股份有限公司党委副书记兼纪委书记,"[""书记"",""书记""]"
哈尔滨电机厂有限责任公司副总经理兼哈尔滨电机厂(镇江)有限责任公司党委书记,"[""书记"",""经理""]"
历任浙江省交通投资集团有限公司党群工作部主管,"[""主管"",""工作""]"
浙江省交通投资集团有限公司党委工作部副主任,"[""主任"",""工作""]"
曾任四川省泸州市合江县委党建办副主任兼组织科长,"[""主任"",""科长""]"
张家口宣龙高速线材有限责任公司经理兼党委书记,"[""书记"",""经理""]"
生产部部长兼党支部书记,"[""部长"",""书记""]"
党委工作办公室主任,"[""主任"",""工作""]"
长城资产管理公司贵阳办事处副总经理兼党委副书记,"[""书记"",""经理""]"
总经理兼党委书记,"[""书记"",""经理""]"
曾任佳木斯电机股份有限公司党群工作部副部长,"[""部长"",""工作""]"
党群工作部部长,"[""部长"",""工作""]"
行政部部长兼党支部书记,"[""部长"",""书记""]"
多经处副处长兼支部副书记,"[""书记"",""处长""]"
多经处部长兼支部书记,"[""部长"",""书记""]"
新产业管理部部长兼支部书记,"[""部长"",""书记""]"
机关党支部书记兼行政保障处处长兼安技环保处处长,"[""书记"",""处长"",""处长""]"
2018年9月至今任南方汇通股份有限公司党群工作部部长,"[""部长"",""工作""]"
浙江大学纪委副书记兼监察处处长,"[""书记"",""处长""]"
现任浙江大学产业与后勤党工委书记兼圆正控股集团党委书记,"[""书记"",""书记""]"
现任浙江大学产业与后勤党工委书记兼圆正控股集团党委书记,"[""书记"",""书记""]"
中央党校经济管理专业研究生,"[""专业"",""研究生""]"
中央党校法律专业毕业,"[""专业"",""毕业""]"
岳阳市委组织部干部科科长,"[""科长"",""干部""]"
中粮生化专业化公司党委书记,"[""书记"",""专业""]"
炼钢分厂党委副书记兼纪委书记,"[""书记"",""书记""]"
炼钢分厂党委副书记兼纪委书记,"[""书记"",""书记""]"
华菱钢管炼钢分厂党委书记兼纪委书记,"[""书记"",""书记""]"
华菱钢管炼钢分厂党委书记兼纪委书记,"[""书记"",""书记""]"
现任天津一汽夏利汽车股份有限公司党群工作部部长,"[""部长"",""工作""]"
后方车间主任兼车间党支部书记,"[""主任"",""书记""]"
团委书记兼行政干事,"[""书记"",""干事""]"
劳资科科长兼机关党支部书记,"[""书记"",""科长""]"
党委副书记(主持工作)兼第一副厂长,"[""书记"",""工作""]"
第二炼钢厂连铸车间支部书记兼第一副主任,"[""主任"",""书记""]"
第二炼钢厂党委书记兼纪委书记,"[""书记"",""书记""]"
第二炼钢厂党委书记兼纪委书记,"[""书记"",""书记""]"
渣钢回收加工厂党委书记兼纪委书记,"[""书记"",""书记""]"
渣钢回收加工厂党委书记兼纪委书记,"[""书记"",""书记""]"
宽厚板厂党委书记兼纪委书记,"[""书记"",""书记""]"
宽厚板厂党委书记兼纪委书记,"[""书记"",""书记""]"
党委工作部部长,"[""部长"",""工作""]"
2012-2015中国联通浙江分公司总经理兼党委书记,"[""书记"",""经理""]"
现任中国重汽集团济南卡车股份有限公司卡车制造部党群工作部经理,"[""经理"",""工作""]"
曾任中国重汽(中国香港)有限公司济南动力部副总经理兼党委副书记,"[""书记"",""经理""]"
中国湖北省委政法委员会专家,"[""委员"",""专家""]"
中国重汽集团济南商用车公司执行总经理兼党委副书记,"[""书记"",""经理""]"
历任山东省国有资产投资控股有限公司综合部(党委办公室)文秘主管,"[""文秘"",""主管""]"
副总经理2016.02-2016.04中电投国际矿业投资有限公司党组副书记,"[""书记"",""经理""]"
党组副书记(其间:2014.10-2015.11兼中电投西北分公司党组副书记,"[""书记"",""书记""]"
党组副书记(其间:2014.10-2015.11兼中电投西北分公司党组副书记,"[""书记"",""书记""]"
1992年9月毕业于中央党校函授学院政治专业,"[""专业"",""毕业""]"
最近5年工作简历:2006.07-2010.06中电投华北分公司党组成员,"[""员"",""工作""]"
中电投河北分公司党组书记2010.09-2010.11中电投华北分公司党组成员,"[""员"",""书记""]"
中电投河北分公司党组书记2010.09-2010.11中电投华北分公司党组成员,"[""员"",""书记""]"
副总经理2010.11-2011.12中电投华北分公司党组成员,"[""员"",""经理""]"
副总经理72011.12-2012.08中电投华北分公司党组成员,"[""员"",""经理""]"
副总经理2012.08-2014.04中电投河北电力有限公司党组书记,"[""书记"",""经理""]"
副总经理2014.04-今中电投河北电力有限公司党组书记,"[""书记"",""经理""]"
党委副书记兼新钢公司副总经理,"[""书记"",""经理""]"
首钢迁钢公司热轧作业部党委书记助理兼综合办公室主任,"[""主任"",""书记""]"
党群工作部副部长,"[""部长"",""工作""]"
党群工作部副部长,"[""部长"",""工作""]"
首钢总公司(新钢公司)机动部部长兼党委书记,"[""部长"",""书记""]"
首钢总公司(新钢公司)设备部部长兼党委书记,"[""部长"",""书记""]"
党委书记兼首钢京唐公司设备部部长,"[""部长"",""书记""]"
总经理兼任首钢京唐钢铁联合有限责任公司党委书记,"[""书记"",""经理""]"
北京首钢股份有限公司总经理助理兼硅钢事业部党委书记,"[""书记"",""经理""]"
历任中共红河州委办公室秘书科科长,"[""科长"",""秘书""]"
云南锡业集团(控股)有限责任公司党委工作部主任,"[""主任"",""工作""]"
中央党校在职研究生学历,"[""学历"",""研究生""]"
科长兼党支部书记,"[""书记"",""科长""]"
北京首钢股份有限公司第二炼钢厂机动科科长兼党支部书记,"[""书记"",""科长""]"
副总经理兼首钢股份公司迁安钢铁公司党委书记,"[""书记"",""经理""]"
副总经理兼任首钢股份公司迁安钢铁公司党委书记,"[""书记"",""经理""]"
个旧银冠供销公司经理兼党支部书记,"[""书记"",""经理""]"
北京首钢股份有限公司副总经理兼营销管理部党委副书记,"[""书记"",""经理""]"
副总经理兼任营销中心党委副书记,"[""书记"",""经理""]"
*****银川市委员会直属总支副主任委员等职务等社会职务,"[""主任"",""委员"",""委员""]"
党委副书记(兼湖北能源集团葛店发电有限公司总经理,"[""书记"",""经理""]"
总经理工作部(党委办公室,"[""经理"",""工作""]"
曾任佛山塑料二厂有限公司副总经理兼党委副书记,"[""书记"",""经理""]"
双龙分公司总经理兼党总支部副书记,"[""书记"",""经理""]"
双龙分公司总经理兼党总支部副书记,"[""书记"",""经理""]"
2011年11月至2016年7月任桂林市发展和改革委员会党组书记,"[""书记"",""委员""]"
中国北车大连机车车辆公司董事长兼总经理董事长兼党委书记,"[""书记"",""经理""]"
华工科技产业股份有限公司党委副书记兼纪检委员,"[""书记"",""委员""]"
湖南省药材公司党委书记兼副总经理,"[""书记"",""经理""]"
毕业于省委党校行政管理专业,"[""专业"",""毕业""]"
毕业于省委党校行政管理专业,"[""专业"",""毕业""]"
1993年9月至1995年7月在中共甘肃省委党校学习企业管理专业,"[""专业"",""学习""]"
1993年9月至1995年7月在中共甘肃省委党校学习企业管理专业,"[""专业"",""学习""]"
1993年9月至1995年7月在中共甘肃省委党校学习企业管理专业,"[""专业"",""学习""]"
民盟湖南省委员会副主委,"[""委员"",""主委""]"
副总经理兼纪委书记,"[""书记"",""经理""]"
漳州招商局经济技术开发区党委书记兼管委会常务副主任,"[""主任"",""书记""]"
招商局漳州开发区有限公司党委书记兼总经理等职务,"[""书记"",""经理""]"
河南投资集团有限公司党群工作部副主任,"[""主任"",""工作""]"
濮阳龙丰纸业有限公司党委书记兼副总经理,"[""书记"",""经理""]"
河南投资集团有限公司党群工作部主任,"[""主任"",""工作""]"
总经理兼党委副书记,"[""书记"",""经理""]"
毕业于中央党校经济管理专业,"[""专业"",""毕业""]"
党委委员兼风险管理部总经理,"[""委员"",""经理""]"
任总经理兼党委副书记(期间2016年1月至10月,"[""书记"",""经理""]"
中远集装箱运输有限公司党委书记兼副总经理,"[""书记"",""经理""]"
曾任浙江省委政法委员会研究室科员,"[""员"",""委员""]"
政协徐州市委员会常务委员,"[""委员"",""委员""]"
政协苏州市委员会委员和中国香港苏州商会第一届董事会会长,"[""委员"",""委员""]"
现任南京港股份有限公司党委副书记兼纪委书记,"[""书记"",""书记""]"
现任南京港股份有限公司党委副书记兼纪委书记,"[""书记"",""书记""]"
中共深圳宝鹰建设集团委员会党委书记,"[""书记"",""委员""]"
中共深圳宝鹰建设集团委员会党委书记,"[""书记"",""委员""]"
中共深圳宝鹰建设集团委员会党委书记,"[""书记"",""委员""]"
中共深圳装饰行业委员会党委副书记,"[""书记"",""委员""]"
中共深圳装饰行业委员会党委副书记,"[""书记"",""委员""]"
南京港(集团)有限公司监察审计部副部长兼集团纪委办公室主任,"[""部长"",""主任""]"
党委书记(法定代表人),"[""书记"",""代表""]"
党委工作部部长,"[""部长"",""工作""]"
南京港股份有限公司总经理兼党委副书记,"[""书记"",""经理""]"
化工材料开发部副部长兼党支部书记,"[""部长"",""书记""]"
产品开发部部长兼党支部书记,"[""部长"",""书记""]"
2011年中共中央组织部授予“全国优秀共产党员”荣誉称号,"[""党员"",""授予""]"
2011年中共中央组织部授予“全国优秀共产党员”荣誉称号,"[""党员"",""授予""]"
党委书记(兼任)电厂筹建处副主任,"[""主任"",""书记""]"
先后被烟台市团委和山东省团委授予“烟台市新长征突击手”荣誉称号和“山东省优秀团员”荣誉称号,"[""员"",""授予""]"
先后被烟台市团委和山东省团委授予“烟台市新长征突击手”荣誉称号和“山东省优秀团员”荣誉称号,"[""员"",""授予""]"
曾任德清县发展改革和经济委员会党委委员,"[""委员"",""委员""]"
贵州黔源电力股份有限公司党群工作部副主任,"[""主任"",""工作""]"
党群工作部主任,"[""主任"",""工作""]"
国务院信息化工作办公室综合组副组长兼机关党委副书记,"[""书记"",""组长"",""工作""]"
上海港引航管理站引航科科长助理兼引航站团委书记,"[""书记"",""科长""]"
上海港引航管理站航行保障科副科长兼引航站团委书记,"[""书记"",""科长""]"
调度科副科长兼引航站团委书记,"[""书记"",""科长""]"
云南省能源投资集团有限公司党委工作与人力资源部副主任,"[""主任"",""工作""]"
2016年8月至2019年8月担任中钢集团人力资源部(党委组织部)干部管理处经理,"[""干部"",""经理""]"
2019年8月至2020年2月担任中钢集团人力资源部(党委组织部)副总经理(副部长),"[""部长"",""经理""]"
云南省委第三批农村基层组织建设文山州丘北县官寨乡工作队任联络员,"[""员"",""工作""]"
在中央党校马克思主义哲学专业在职研究生班学习,"[""专业"",""学习"",""研究生""]"
在云南省委党校第三十期厅级领导干部进修班学习),"[""领导"",""学习"",""干部""]"
在云南省委党校第三十期厅级领导干部进修班学习),"[""领导"",""学习"",""干部""]"
在中央党校函授学院经济管理专业大专班学习),"[""专业"",""学习""]"
参加省委党校云南行政学院会计与审计专业大学本科学习),"[""专业"",""学习""]"
参加省委党校云南行政学院会计与审计专业大学本科学习),"[""专业"",""学习""]"
中国冶金矿业总公司党委书记兼常务副总经理,"[""书记"",""经理""]"
云南省委办公厅常委办副主任,"[""主任"",""常委""]"
党群工作部部长,"[""部长"",""工作""]"
团委副书记(主持工作),"[""书记"",""工作""]"
党群工作部(合署)部长助理,"[""部长"",""工作""]"
党群工作部(合署)部长,"[""部长"",""工作""]"
云南旅游产业开发(集团)有限公司任党委工作部副部长,"[""部长"",""工作""]"
党群工作部副部长,"[""部长"",""工作""]"
党群工作部部长,"[""部长"",""工作""]"
云南世博旅游控股集团有限公司党委工作部部长,"[""部长"",""工作""]"
浙江省石油化学公司总经理兼党委书记,"[""书记"",""经理""]"
党群工作部(人力资源部)部门经理,"[""经理"",""工作""]"
北京市党委书记联谊会理事,"[""书记"",""理事""]"
历任广东省水电集团有限公司党群工作部部长助理,"[""部长"",""工作""]"
历任合肥市质量技术监督局计量测试研究所热化研究室主任和局团支部书记,"[""主任"",""书记""]"
2002年毕业于中共安徽省委党校经管专业,"[""专业"",""毕业""]"
2002年毕业于中共安徽省委党校经管专业,"[""专业"",""毕业""]"
2002年毕业于中共安徽省委党校经管专业,"[""专业"",""毕业""]"
总经办副主任兼党委办副主任,"[""主任"",""主任""]"
毕业于中共中央党校函授学院经济管理专业,"[""专业"",""毕业""]"
人力资源部长(党委组织部长),"[""部长"",""部长""]"
湖南新天地投资控股集团有限公司人力资源部(党委干部部)部长,"[""部长"",""干部""]"
2013年4月至2018年7月任公司党群工作部部长,"[""部长"",""工作""]"
2018年7月至今任湖南南岭民用爆破器材股份有限公司党群工作部部长,"[""部长"",""工作""]"
贵州轮胎股份公司载重子午胎分公司副总经理/党支部书记,"[""书记"",""经理""]"
贵州大力士轮胎有限责任公司董事/总经理/党支部书记广州市华南橡胶轮胎有限公司副总经理,"[""书记"",""经理"",""经理""]"
历任广州万力集团有限公司纪委委员/审计部主管,"[""委员"",""主管""]"
曾任高要市国有资产经营有限公司(现肇庆市高要区国有资产经营有限公司)办公室主任兼党支部委员,"[""主任"",""委员""]"
中共广东省委组织部主任科员,"[""员"",""主任""]"
中共广东省委组织部主任科员,"[""员"",""主任""]"
党政办副主任兼纪委干事,"[""主任"",""干事""]"
党政办副主任兼纪委干事,"[""主任"",""干事""]"
任选矿厂党支部书记兼副厂长(主持工作),"[""书记"",""工作""]"
中国共产党上海市第十一次代表大会代表,"[""代表"",""代表""]"
曾兼任深圳市委常委秘书,"[""常委"",""秘书""]"
湘潭经济技术开发区创新创业服务中心党委书记兼湘潭九华经济建设投资有限公司副总经理,"[""书记"",""经理""]"
党委工作部副部长,"[""部长"",""工作""]"
董事会秘书及公司党组织书记,"[""书记"",""秘书""]"
现任天津普林电路股份有限公司人力资源部部长兼党群工作部部长,"[""部长"",""部长"",""工作""]"
党群工作部部长,"[""部长"",""工作""]"
省委党校研究生学历,"[""学历"",""研究生""]"
省委党校研究生学历,"[""学历"",""研究生""]"
广东省委办公厅接待办副主任科员,"[""员"",""主任""]"
接待二处副处长(其间:2012.11--2014.03借调到省委办公厅会务处工作,"[""处长"",""工作""]"
主要工作经历:2008.11~2009.07马鞍山市金星化工(集团)有限公司总经理助理2009.08~2012.07安徽金星钛白(集团)有限公司硫酸分厂厂长2012.08~2014.12安徽金星钛白(集团)有限公司副总经理2015.01~至今安徽金星钛白(集团)有限公司党委书记,"[""书记"",""经理"",""经理"",""工作""]"
分别于1994年7月及2003年6月毕业于嘉兴市中等专业学校电子电工专业及中共浙江省委党校经济管理专业,"[""专业"",""专业"",""专业"",""毕业""]"
分别于1994年7月及2003年6月毕业于嘉兴市中等专业学校电子电工专业及中共浙江省委党校经济管理专业,"[""专业"",""专业"",""专业"",""毕业""]"
分别于1994年7月及2003年6月毕业于嘉兴市中等专业学校电子电工专业及中共浙江省委党校经济管理专业,"[""专业"",""专业"",""专业"",""毕业""]"
十一所党委副书记兼纪委书记,"[""书记"",""书记""]"
十一所党委副书记兼纪委书记,"[""书记"",""书记""]"
任“中国产学研促进委员会”党委委员,"[""委员"",""委员""]"
校长(党委)办公室副主任,"[""主任"",""校长""]"
湖南金鑫黄金集团公司总经理兼党委副书记,"[""书记"",""经理""]"
中国共产党广州市黄埔区第一届代表大会代表,"[""代表"",""代表""]"
中共中央党校法学硕士学位及西北大学经济学文学士学位,"[""学位"",""学位""]"
任政协第九届广州市花都区委员会教科文卫体委员会主任,"[""主任"",""委员"",""委员""]"
任中共广东广州日报传媒股份有限公司第一届委员会委员,"[""委员"",""委员""]"
中航工业航电系统公司经理/党群部主管业务经理,"[""主管"",""经理"",""经理""]"
现任中国全聚德(集团)股份有限公司内控审计部部长兼全聚德仿膳食品公司党总支书记,"[""部长"",""书记""]"
2012年5月至2017年1月任公司党委书记兼副总经理,"[""书记"",""经理""]"
任中共广东广州日报传媒股份有限公司第一届委员会委员,"[""委员"",""委员""]"
任中共广东广州日报传媒股份有限公司第一届委员会委员,"[""委员"",""委员""]"
中共广东广州日报传媒股份有限公司第一届纪律委员会书记,"[""书记"",""委员""]"
2019年4月至今任中航光电科技股份有限公司党委干部部/人力资源部人力资源管理员,"[""员"",""干部""]"
任中共广东广州日报传媒股份有限公司第一届委员会委员,"[""委员"",""委员""]"
党委组织部部长兼党办主任,"[""部长"",""主任""]"
党委组织部部长兼党办主任,"[""部长"",""主任""]"
成飞公司团委工作部干事,"[""干事"",""工作""]"
中国民主同盟上海市委金融委员会委员,"[""委员"",""委员""]"
成飞集成副总经理兼任成飞集成分党委副书记,"[""书记"",""经理""]"
中国航空汽车系统控股有限公司经理(党群)部高级业务经理,"[""经理"",""经理""]"
纪委副书记兼监察处长,"[""书记"",""处长""]"
呼和浩特分厂总经理及支部书记,"[""书记"",""经理""]"
2012年当选政协第十二届广州市委员会委员,"[""委员"",""委员"",""当选""]"
现任中国有色金属工业协会党委副书记兼纪委书记,"[""书记"",""书记""]"
现任中国有色金属工业协会党委副书记兼纪委书记,"[""书记"",""书记""]"
中共中央党校经济管理专业学士学位,"[""学位"",""专业""]"
合肥市委办公厅离退休工作处副处长,"[""处长"",""工作""]"
调研员兼福建青年杂志社有限公司党支部书记,"[""员"",""书记""]"
上海市委党校行政管理专业本科毕业,"[""专业"",""毕业""]"
上海市委党校行政管理专业本科毕业,"[""专业"",""毕业""]"
被评为优秀共产党员,"[""党员"",""评为""]"
总支部副书记兼第一支部书记,"[""书记"",""书记""]"
总支部副书记兼第一支部书记,"[""书记"",""书记""]"
总经理及云南华云实业总公司党委书记,"[""书记"",""经理""]"
湖南省委财经委员会专家组成员,"[""员"",""委员"",""专家""]"
2007年7月至2010年8月任一汽轿车公司党委工作部部长,"[""部长"",""工作""]"
曾任中共深圳市龙岗区南湾街道工作委员会宣传部副部长,"[""部长"",""委员"",""工作""]"
中共深圳市龙岗区南湾街道工作委员会(街道办公处)办公室主任,"[""主任"",""委员"",""工作""]"
中共深圳市龙岗区坪地街道工作委员会党工委委员及组织部长,"[""部长"",""委员"",""委员"",""工作""]"
中共深圳市龙岗区坪地街道工作委员会党工委委员及组织部长,"[""部长"",""委员"",""委员"",""工作""]"
现任深圳市天威视讯股份有限公司党委副书记兼纪委书记,"[""书记"",""书记""]"
现任深圳市天威视讯股份有限公司党委副书记兼纪委书记,"[""书记"",""书记""]"
生产一部部长兼党支部书记,"[""部长"",""书记""]"
民盟湖南省委员会副主委,"[""委员"",""主委""]"
担任四川省委省政府决策咨询委员会委员,"[""委员"",""委员""]"
2012年荣获中共深圳市委两新工委“优秀共产党员”荣誉称号,"[""党员"",""荣获""]"
2012年荣获中共深圳市委两新工委“优秀共产党员”荣誉称号,"[""党员"",""荣获""]"
2012年荣获中共深圳市委两新工委“优秀共产党员”荣誉称号,"[""党员"",""荣获""]"
机械制造厂党支部副书记(主持工作)等职务,"[""书记"",""工作""]"
现任云南西仪工业股份有限公司党委工作部部长,"[""部长"",""工作""]"
总经理兼党委书记,"[""书记"",""经理""]"
设计处副处长兼党支部副书记,"[""书记"",""处长""]"
湖南长沙友谊(集团)公司纪委副书记兼组织科科长,"[""书记"",""科长""]"
中国人民政治协商会议广东省委员会委员,"[""委员"",""委员""]"
曾任武汉邮电科学研究院系统部副主任兼党总支副书记,"[""主任"",""书记""]"
武汉电信器件有限公司总经理兼党支部书记等职务,"[""书记"",""经理""]"
山东省委讲师团成员,"[""员"",""讲师""]"
山东省委组织部“名师送教”专家组成员,"[""员"",""专家""]"
团常委纪委书记,"[""书记"",""常委""]"
湖南兴湘投资控股集团有限公司总经理助理兼湘江宾馆党委书记,"[""书记"",""经理""]"
2016年参加了省委组织部组织的省属国有企业领导人员培训班学习,"[""员"",""领导"",""学习""]"
中共海淀区委海淀园工作委员会优秀党务工作者等荣誉称号,"[""委员"",""工作"",""工作""]"
中共海淀区委海淀园工作委员会优秀党务工作者等荣誉称号,"[""委员"",""工作"",""工作""]"
中共海淀区委海淀园工作委员会优秀党务工作者等荣誉称号,"[""委员"",""工作"",""工作""]"
钨钼事业部总经理兼党委书记,"[""书记"",""经理""]"
曾任中国人民政治协商会议第八届福建省委员会委员,"[""委员"",""委员""]"
宿迁市委党的建设领导小组办公室副主任,"[""主任"",""领导""]"
华东区域总部总经理兼党工委副书记,"[""书记"",""经理""]"
新疆北新路桥集团股份有限公司西南基础设施建设事业部副总经理兼福建顺邵高速公路发展有限公司党支部书记,"[""书记"",""经理""]"
