keyword,description
加入中国共产党,"李昊,男,汉族,江苏徐州人,1969年10月出生,1991年5月加入中国共产党,大学本科学历,学士学位。教育背景:1996.09-2000.06就读于徐州经济管理干部学院金融专业,大专学历;2008.09-2012.06就读于江苏大学继续教育学院工商管理专业;本科学历;任职经历:2013.04-2013.10任徐州工程机械集团有限公司、徐工集团工程机械有限公司、徐工集团工程机械股份有限公司工会副主席;2013.10-2015.04任徐州徐工液压件有限公司党委副书记、纪委书记、工会主席;2015.04-2015.06任徐工道路机械事业部党委副书记、纪委书记、工会主席。2015.06-至今任徐工集团工程机械股份有限公司监事,任徐工道路机械事业部党委副书记、纪委书记、工会主席,任徐工机械道路机械分公司党委副书记、纪委书记、工会主席。"
加入中国共产党,"王庆祝,男,汉族,江苏铜山县人,1965年10月出生,1989年8月参加工作,1998年4月加入中国共产党,大学学历,硕士研究生学位,高级经济师、研究员级高级工程师职称。工作经历:1989.08-1992.12徐州装载机厂装配车间检验员,1993.01-1994.09徐州装载机厂生产处调度员,1994.10-1999.07徐州装载机厂物资处处长,1999.08-2000.07徐州装载机厂工程部副部长兼生产处处长,2000.07-2000.12徐州液压件厂厂长助理,2000.12-2003.04徐州工程机械集团有限公司经济运行部部长,2003.04-2007.05徐州工程机械集团有限公司经济运行部部长,徐州工程机械科技股份有限公司监事,2007.05-2007.09徐州工程机械科技股份有限公司监事,徐州徐工液压件有限公司总经理、党委副书记,2007.09-2010.02徐州徐工液压件有限公司总经理、党委副书记,2010.02-2012.12徐工集团工程机械股份有限公司科技分公司副总经理,2012.12-2013.05徐工道路机械事业部总经理、党委书记,2013.05-2017.08徐工集团工程机械股份有限公司总裁助理,徐工道路机械事业部总经理、党委书记2017.08-2018.05徐州工程机械集团有限公司副总经理,徐工集团工程机械有限公司副总经理。"
加入中国共产党,"任前进,男,汉族,1967年11月出生,籍贯河南永城,1992年7月参加工作,1998年6月加入中国共产党,1992年7月毕业于合肥工业大学工业会计专业,兰州大学在职研究生学历,工商管理硕士,注册会计师、高级会计师。现任唐山冀东水泥股份有限公司董事、财务总监。工作简历:1992.07-2002.05金川集团公司主管会计、审计科长;2002.05-2004.09唐山冀东水泥股份有限公司财务部副部长;2004.09-2008.05唐山冀东水泥股份有限公司财务部部长;2008.05-2009.10唐山冀东水泥股份有限公司副总会计师、财务部部长;2009.11-2016.10唐山冀东水泥股份有限公司财务总监;2016.10至今唐山冀东水泥股份有限公司董事、财务总监。"
加入中国共产党,"王民,男,汉族,山东昌邑人,1954年3月出生,1975年6月加入中国共产党,硕士研究生学历,工学硕士学位,教授级高级工程师。1970.07-1972.10任徐州矿务局垞城煤矿工人;1972.10-1975.09任徐州重型机械厂工人、团支部书记;1978.09-1984.06任徐州重型机械厂技术员、助理工程师、工程师;1984.06-1985.06任徐州重型机械厂车间副主任、主任、厂工会主要负责人;1985.06-1992.08任徐州重型机械厂党委副书记兼纪委书记;1992.08-1992.09任徐州工程机械集团有限公司营销公司副总经理、党总支书记;1993.07-1997.05任徐州装载机厂常务副厂长、厂长、党委副书记,徐州工程机械股份有限公司副总经理,徐州工程机械股份有限公司铲运机械分公司总经理、党委副书记;1997.05-1999.02任徐州工程机械集团有限公司党委常委、董事、副总经理,徐州工程机械股份有限公司总经理、党委副书记;1999.02-2000.03任徐州工程机械集团有限公司党委书记、副董事长,徐州工程机械股份有限公司董事长、党委书记、总经理;2000.03-2002.06任徐州工程机械集团有限公司董事长、党委书记,徐州工程机械科技股份有限公司董事长、党委书记;2002.06-2006.01任徐州工程机械集团有限公司董事长、党委书记,徐工集团工程机械有限公司董事长、党委书记,徐州工程机械科技股份有限公司董事长、党委书记2006.01-2009.11任徐州工程机械集团有限公司董事长、党委书记,徐工集团工程机械有限公司董事长、党委书记,徐州工程机械科技股份有限公司董事长;2009.11-2009.12任徐州工程机械集团有限公司董事长、党委书记,徐工集团工程机械有限公司董事长、党委书记,徐工集团工程机械股份有限公司董事长、党委书记;2009.12至今任徐州工程机械集团有限公司董事长、党委书记,徐工集团工程机械有限公司董事长、党委书记,徐工集团工程机械股份有限公司董事长、总裁、党委书记。2004.09至今任徐州重型机械有限公司董事长;2012.04至今任力士(徐州)回转支承有限公司副董事长;2012.04至今任徐州罗特艾德回转支承有限公司副董事长;2004.09至今任徐州徐工专用车辆有限公司董事长;2008.06至今任徐州徐工挖掘机械有限公司董事长;2011.11-2012.04,任徐州工程机械集团有限公司、徐工集团工程机械有限公司董事长、党委书记,徐工集团工程机械股份有限公司董事长、总裁、党委书记,徐州重型机械有限公司董事长,徐州徐工专用车辆有限公司董事长,徐州徐工挖掘机械有限公司董事长,力士(徐州)回转支承有限公司董事长,徐州罗特艾德回转支承有限公司董事长,徐州徐工投资有限公司董事长;2012.04-至今,任徐州工程机械集团有限公司、徐工集团工程机械有限公司董事长、党委书记,徐工集团工程机械股份有限公司董事长、总裁、党委书记,徐州重型机械有限公司董事长,徐州徐工专用车辆有限公司董事长,徐州徐工挖掘机械有限公司董事长,徐州徐工投资有限公司董事长。2017.04-至今任徐州工程机械集团有限公司董事长、党委书记;任徐工集团工程机械有限公司董事长、党委书记;任徐工集团工程机械股份有限公司董事长、党委书记。"
加入中国共产党,"杨东升,男,汉族,江苏徐州人,1968年3月出生,1997年11月加入中国共产党,本科学历,硕士学位,高级工程师。1989.09-1994.09任徐州工程机械股份有限公司铲运机械分公司技术员、助工;1994.09-1996.12任徐州工程机械股份有限公司铲运机械分公司研究所传动室主任、主任工程师;1996.12-1997.09任徐州工程机械股份有限公司铲运机械分公司工程部副部长;1997.09-1998.10任徐州工程机械股份有限公司铲运机械分公司总经理助理;1998.11-2000.09任徐州工程机械股份有限公司铲运机械分公司副总经理;2000.09-2002.03任徐州工程机械股份有限公司筑路机械分公司副总经理;2002.03-2006.01任徐州工程机械科技股份有限公司副总经理。徐州工程机械股份有限公司筑路机械分公司总经理、党委副书记;2006.01-2009.01任徐州工程机械科技股份有限公司副总经理、党委副书记;2009.01-2009.11任徐州工程机械科技股份有限公司副总经理、党委副书记,徐州工程机械股份有限公司营销公司总经理;2009.11-2009.12任徐工集团工程机械股份有限公司科技分公司副总经理、党委副书记,徐工集团工程机械股份有限公司科技分公司营销公司总经理;2009.12-2010.02任徐工集团工程机械股份有限公司副总裁,徐工集团工程机械股份有限公司科技分公司副总经理、党委副书记,徐工集团工程机械股份有限公司科技分公司营销公司总经理,徐工集团工程机械股份有限公司副总裁;2010.02-2010.08任徐工集团工程机械股份有限公司科技分公司总经理、党委书记,徐工集团工程机械股份有限公司科技分公司营销公司总经理;2010.08至今任徐工集团工程机械股份有限公司副总裁,徐工集团工程机械股份有限公司科技分公司总经理、党委书记;2010.07至今任徐工重庆工程机械有限公司董事长;2008.08至今任徐州工程机械集团进出口有限公司董事;2010.04至今任徐州徐工铁路装备有限公司董事长;2010.05至今任徐州徐工筑路机械有限公司董事长。2017.03-至今任徐州工程机械集团有限公司总经理、党委副书记、董事;任徐工集团工程机械有限公司总经理、党委副书记、董事;任徐工集团工程机械股份有限公司党委副书记。"
加入中国共产党,"刘建森,男,汉族,河北盐山人,1968年3月出生,1990年7月参加工作,1995年11月加入中国共产党,研究生学历,经济学博士学位,翻译、高级经济师职称。教育背景:1986.09-1990.07天津大学科技英语本科/学士,1996.09-1998.07清华大学工商管理硕士研究生/硕士,2003.09-2010.12南京大学产业经济学博士研究生/博士。1990.07-1992.03中核华兴大亚湾项目部翻译员翻译兼调度1992.03-1994.03中核华兴巴基斯坦恰希玛核电站项目部翻译员翻译1994.04-1999.03中国核工业华兴建设集团核电部(秦山核电站)首席翻译翻译1999.03-2000.12江苏智通电脑有限公司总经理企业管理2000.12-2002.07南京中达制膜(集团)股份有限公司总裁企业管理2002.08-2008.06南京明泽科技有限公司总裁企业管理2008.06-2009.09徐州工程机械集团有限公司信息化管理部部长企业管理2009.09-2010.02徐工集团工程机械股份有限公司信息化管理部部长企业管理2010.02-2011.08徐工集团工程机械股份有限公司市场部部长企业管理2011.08至今徐工集团工程机械股份有限公司总裁助理企业管理徐州工程机械集团进出口有限公司总经理、党委副书记企业管理。2015.12-至今徐州徐工施维英机械有限公司董事企业管理2013.05-至今徐州工程机械集团进出口有限公司董事企业管理2017.08-至今徐州徐工挖掘机械有限公司董事企业管理2012.11-至今徐工营销有限公司董事企业管理2016.01-至今徐工消防安全装备有限公司董事企业管理2017.12-至今江苏徐工电子商务股份有限公司董事长企业管理。"
加入中国共产党,"林海,男,汉族,浙江奉化人,1971年1月出生,2000年12月加入中国共产党,大学本科学历,助理工程师。1985.09-1989.07就读于徐州机械中专学校机械制造专业,中专学历:2002.09-2005.07就读于中国矿�"
加入中国共产党,"王岩松,男,汉族,江苏涟水人。1962年3月出生,1991年12月加入中国共产党,本科学历,硕士学位,教授级高级工程师,高级经济师。1983.07-1988.02任徐州装载机厂设计科设计员;1988.02-1992.12任徐州装载机厂研究所液压传动室主任;1992.12-1994.08任徐州装载机厂检验科科长助理、质检处副处长、处长;1994.08-1996.02任徐州工程机械股份有限公司铲运机械分公司总经理助理兼工程部部长;1996.02-1998.03任徐州工程机械股份有限公司铲运机械分公司副总经理;1998.10-1999.02任徐州工程机械集团实业有限公司总经理;1999.02-2000.04任徐州工程机械集团实业有限公司总经理、党委书记;2000.04-2002.06任徐州工程机械实业公司、桥箱公司总经理、党委书记;2002.06-2007.03任徐州工程机械集团有限公司副总经理、监事,徐工集团工程机械有限公司副总经理;2007.03-2009.11任徐州工程机械集团有限公司党委常委、副总经理、监事,徐工集团工程机械有限公司党委常委、副总经理;2009.11-2009.12任徐州工程机械集团有限公司党委常委,徐工集团工程机械有限公司党委常委,徐工集团工程机械股份有限公司党委常委;2009.12至今任徐州工程机械集团有限公司党委常委,徐工集团工程机械有限公司党委常委,徐工集团工程机械股份有限公司党委常委、副总裁;2007.05至今任徐州工程机械集团进出口有限公司董事长;2010.06至今任徐州徐工物资供应有限公司董事长。2014.12-至今任徐州工程机械集团有限公司,徐工集团工程机械有限公司党委委员;任徐工集团工程机械股份有限公司副总裁、党委委员;2015.03-至今任徐州徐工施维英机械有限公司董事长。"
加入中国共产党,"江爱国,男,汉族,1972年9月出生,1995年7月参加工作,2000年5月加入中国共产党。大学本科学历,学士学位。历任沈阳恒信国有资产经营有限公司办公室副主任,现任沈阳产业投资发展集团有限公司综合部部长。"
加入中国共产党,"薛桂虎,男,汉族,1976年5月出生,山东曲阜人,本科学历,1997年11月参加工作,2000年6月加入中国共产党,高级工程师。历任宁夏西部聚氯乙烯有限公司土建主管工程师,宁夏英力特化工股份有公司氯碱分公司公用工程车间主任、生产技术部副主任、氰胺分公司经理、氰胺分公司经理兼党总支书记,现任宁夏英力特化工股份有公司总经理助理兼电石分公司党支部书记、经理。"
