报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),1.58,0.5,0.67,0.69,0.76,0.67,0.62,0.5,--,
每股净资产(元),--,--,--,--,4.78,4.02,3.35,2.73,1.78,
每股经营活动产生的现金流量净额(元),--,--,--,--,0.13,0.4,-0.07,0.01,-0.29,
主营业务收入(万元),292411,126036,81291,56560,55557,55832,50823,39366,31841,
主营业务利润(万元),78188,22716,15072,11520,10513,10107,9395,7214,6211,
营业利润(万元),37247,9005,7995,5959,6007,5915,5083,4249,4001,
投资收益(万元),536,--,--,--,--,--,--,--,--,
营业外收支净额(万元),266,-51,562,-12,489,-10,5,--,1,
利润总额(万元),37513,8954,8556,5946,6496,5904,5088,4249,4002,
净利润(万元),33139,7218,6639,5535,5596,4953,4521,3594,3364,
净利润(扣除非经常性损益后)(万元),32243,7205,5580,5546,--,--,--,--,--,
经营活动产生的现金流量净额(万元),14420,-19330,-13552,-4796,943,2937,-546,57,-2158,
现金及现金等价物净增加额(万元),29240,-12575,-2635,17920,-625,2190,-3693,2652,386,
总资产(万元),634621,168385,123066,102469,69155,61357,52789,38682,29321,
流动资产(万元),395683,152691,109080,90464,59616,52272,46291,35924,27525,
总负债(万元),302928,82343,47658,34178,34013,31811,28197,18610,16249,
流动负债(万元),274270,80427,46780,32625,32585,30347,27312,18060,16025,
股东权益不含少数股东权益(万元),331355,86042,75408,68291,35142,29546,24593,20072,13072,
净资产收益率加权(%),18.32,8.96,9.3,12.35,17.3,18.3,20.24,20.89,36.92,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
