报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),-0.37,-0.38,0.05,0.21,0.46,0.6,0.71,0.64,0.6,
每股净资产(元),--,--,--,--,--,4.39,3.91,3.31,2.68,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.12,0.49,-0.12,0.24,
主营业务收入(万元),50047,42983,45677,33141,23324,24211,25325,21380,19472,
主营业务利润(万元),18877,17543,19012,14525,9024,9511,9826,8710,7833,
营业利润(万元),-20711,-22197,2613,4163,2496,3005,3565,3235,2921,
投资收益(万元),192,-79,-81,--,--,--,--,--,160,
营业外收支净额(万元),88,-64,16,1883,1323,1178,1384,1213,1178,
利润总额(万元),-20623,-22261,2629,6046,3819,4183,4949,4448,4099,
净利润(万元),-20343,-21272,2555,5646,3314,3621,4281,3826,3582,
净利润(扣除非经常性损益后)(万元),-27230,-28974,2113,5290,3042,3567,3949,3832,2844,
经营活动产生的现金流量净额(万元),4840,-3251,1541,-2808,-538,735,2958,-736,1450,
现金及现金等价物净增加额(万元),3325,-4334,3524,-8942,11718,153,1118,-2244,2531,
总资产(万元),126634,162103,178935,138451,62347,41919,36071,30755,25147,
流动资产(万元),74274,83419,74126,62492,51534,32571,27831,23270,20471,
总负债(万元),41380,44087,38763,26829,15310,15587,12602,10869,9088,
流动负债(万元),38661,41226,32254,23690,14840,15587,12602,10869,9088,
股东权益不含少数股东权益(万元),85972,118092,139859,111622,47037,26333,23469,19886,16060,
净资产收益率加权(%),-19.67,-16.51,2.15,7.61,8.72,14.55,19.85,21.29,26.3,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
