报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,
基本每股收益(元),0.32,0.32,0.38,0.34,0.14,0.16,0.13,0.22,0.27,0.78,0.1,0.08,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.9,4.89,2.18,2.05,2.02,1.76,1.71,1.65,1.56,1.81,1.98,2.39,2.34,2.81,2.82,2.44,2.31,0,1.75,1.01,1.01,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.17,0.49,-0.53,1.32,0.23,0.04,0.41,0.05,0.11,0.14,0.07,0.13,0.22,0,--,--,--,--,--,--,--,
主营业务收入(万元),1455355,1264805,1113216,1109277,1185317,986497,778038,746968,686621,501505,98433,86558,69341,48161,40425,40593,5018,3496,5044,5097,3728,3465,4369,4794,4545,4291,2686,1381,905,
主营业务利润(万元),308826,293172,271807,267215,235926,204617,141816,167764,164733,146214,24232,16045,15233,10676,9330,11374,4129,2502,3978,4040,2821,2524,331,2367,2558,1201,651,70,75,
营业利润(万元),117400,121519,143051,106643,42497,43459,33334,69629,74231,83625,2583,1884,2098,2324,2061,2184,-2473,-2069,-1544,147,-2251,-182,331,2367,2558,1201,651,71,90,
投资收益(万元),6995,5217,8069,10907,3574,501,5211,-305,97,64,13,283,--,-191,-194,-25,-148,233,-1983,317,-328,265,-12,612,342,1,0,0,0,
营业外收支净额(万元),-642,-59,-762,9867,14529,10790,16630,9566,14207,13318,-176,-62,183,-8,-0,-10,-239,-12,-21,27,-2005,0,0,0,0,0,--,--,--,
利润总额(万元),116758,121460,142288,116510,57027,54249,49965,79195,88438,96943,2406,1822,2281,2125,1866,2148,-2860,-1848,-3547,490,-4584,144,345,2925,2906,1186,614,163,106,
净利润(万元),98864,100155,117361,104169,42546,50027,40370,60783,71950,79000,1099,820,1156,791,664,829,-2860,-1848,-3547,490,-4584,118,287,2555,2459,1000,522,0,0,
净利润(扣除非经常性损益后)(万元),85610,89208,83305,84278,25959,40029,21705,56002,59636,67695,1134,806,1061,787,658,663,-2835,-2167,-1544,463,-2382,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),279794,244965,154411,305857,344404,40658,98327,130952,46579,49403,-5776,14241,2441,484,4465,587,1190,1467,749,1356,2329,50,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),60707,-75636,-15178,215724,-31391,244,-2306,-107252,64716,10425,2003,-259,-163,691,3970,-2155,-2077,1433,-951,3968,-284,576,--,--,--,--,--,--,--,
总资产(万元),1931770,1906503,1710192,1698301,1816950,2060167,1871359,1709831,1384084,940226,103252,82337,83649,71294,67103,58462,55098,43350,41501,43885,40068,44027,38447,34413,28879,14273,9695,6761,5476,
流动资产(万元),542242,509495,479188,460918,502641,596124,479610,330796,527859,335717,77700,55871,55744,45969,35791,27204,24074,--,0,10560,5948,10161,12060,11734,8926,3032,2839,2688,1754,
总负债(万元),1010117,969239,774152,768618,960999,1221966,1068648,1161703,869656,447337,75088,56068,58196,49123,45869,38781,36755,23748,20051,18053,14727,13571,7917,11257,6949,2935,2151,4626,4109,
流动负债(万元),545724,799598,429257,458679,644326,1127798,872965,827744,534805,315337,68298,53363,54126,46123,45725,35781,30727,--,0,10456,15352,9170,4533,10897,6623,2714,1528,2045,1108,
股东权益不含少数股东权益(万元),897923,911029,910516,906402,833315,821655,802711,548129,514428,492889,23605,22230,21880,19055,18469,17850,16914,19602,21450,25832,25342,30466,30535,23156,21930,11338,7544,2134,1367,
净资产收益率加权(%),10.68,11.06,13.14,11.98,5.17,6.2,5.5,11.3,14.53,17.3,4.82,3.72,5.45,4.22,3.66,4.77,-15.74,-9,-15.29,1.92,0,0.39,--,0,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
