报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),-0.28,0.37,0.3,0.26,0.23,0.34,0.2,0.37,0.37,0.33,0.24,0.22,0.3,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,3.49,4.16,3.91,3.73,3.62,3.37,4.82,4.5,3.46,2.74,1.83,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.03,0.26,0.6,0.66,0.12,0.07,0.18,0.14,0.73,0,0,
主营业务收入(万元),157511,166200,146945,118058,82828,80630,71822,64460,63989,48172,38506,38490,36324,28788,28054,29445,29068,20955,12645,
主营业务利润(万元),37224,37418,35160,28544,18433,17741,15062,14326,13780,10137,7699,7335,7713,6355,7390,8396,8272,6790,3724,
营业利润(万元),-7998,17830,13682,11182,7974,6489,5039,7220,7209,5084,3616,3368,4519,3922,5069,4746,4587,3891,2168,
投资收益(万元),2791,401,1945,1597,2979,1381,737,775,643,574,160,156,1,0,0,-17,66,66,0,
营业外收支净额(万元),-80,1387,1424,1565,1143,4938,440,160,80,62,53,138,72,0,-7,-7,-54,0,0,
利润总额(万元),-8078,19217,15106,12747,9118,11428,5478,7379,7289,5146,3669,3507,4591,3922,5061,4774,4599,3868,2167,
净利润(万元),-11789,15531,12555,10398,8003,9901,4588,6555,6411,4518,3200,2926,4004,3097,3527,3183,2863,2415,1622,
净利润(扣除非经常性损益后)(万元),-14913,13211,10221,8303,5260,5615,4219,6419,6343,4466,3155,2809,3293,2697,3532,3153,0,0,0,
经营活动产生的现金流量净额(万元),22042,3853,9895,2378,10836,-364,-224,5236,614,3508,8058,8965,1637,922,1583,1251,4378,0,0,
现金及现金等价物净增加额(万元),20580,-33660,14933,-12104,40191,13862,-12146,-1227,-1829,-1313,5474,4962,-4867,-3372,-5167,20373,1659,0,0,
总资产(万元),288144,307451,294787,277064,202008,198481,104007,88063,79991,75336,68060,60354,61555,56055,58210,55087,28892,22367,11879,
流动资产(万元),200665,196486,181234,162885,130826,131511,62482,63521,56182,53502,47403,39574,40249,39139,45682,44794,20569,15012,9044,
总负债(万元),54944,58347,59841,52197,38579,41331,33339,21106,18711,19117,15279,9963,12608,10494,14851,13115,13798,10219,4567,
流动负债(万元),50570,54387,55691,48139,34185,40834,32720,20414,17944,18697,15279,9963,12608,10494,14831,12805,11391,7819,3555,
股东权益不含少数股东权益(万元),232845,248125,234434,224410,163429,157151,70668,66957,61280,56220,52782,50391,48919,45534,43336,40529,13822,10979,7313,
净资产收益率加权(%),-4.9,6.44,5.47,5.25,4.97,8.65,6.67,10.25,10.95,8.32,6.2,5.91,8.39,6.97,8.43,12.83,21.69,22.97,24.94,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
