报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),1.32,1.01,1.47,--,0.43,0.5,0.92,0.53,0.17,0.44,0.15,-0.23,0.25,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,0.59,0.4,-0.86,-1,-0.78,-1.06,-1.1,2.83,2.83,2.6,2.42,4.17,4.85,3.79,3.42,2.35,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.27,0.48,0.72,-0.45,-0,0.89,-1.27,0.9,1.02,0.5,0.15,1.1,-0.66,1.18,0.23,0.59,
主营业务收入(万元),3745304,3601960,3348759,--,2347160,2653442,2436002,1895892,1848866,1769032,936180,863548,882235,656524,697837,843640,616811,487826,472047,441088,562164,381319,340983,276082,
主营业务利润(万元),770152,653644,619246,--,493370,565138,522054,381966,322262,287365,175863,132115,145201,89847,16343,182397,168454,102545,76583,61897,177407,136879,131415,82429,
营业利润(万元),205470,150873,201018,--,31399,65226,122544,68560,10140,12895,7915,-30930,-14817,-9310,-304679,1018,26526,11513,-141848,-99792,55325,56113,62416,44934,
投资收益(万元),112235,82869,156240,--,53017,37550,34703,33525,13856,39488,-164,-1973,676,698,-4608,-8311,-5018,-1707,-9906,-183,0,7872,-1498,0,
营业外收支净额(万元),9755,5618,22212,--,30966,11897,9730,5726,14530,49876,7384,8106,37438,1940,-66786,-166,491,584,-5175,-758,-503,--,0,--,
利润总额(万元),215225,156491,223229,--,62365,77124,132275,74285,24670,62771,15299,-22824,22621,380,-375842,-6833,22000,10392,-156923,-100715,69204,68860,66180,45446,
净利润(万元),179367,137746,199753,--,58034,67248,123901,71776,22702,58528,15020,-22670,25040,2412,-369362,-6416,20218,10128,-155557,-67842,64358,59070,57625,41460,
净利润(扣除非经常性损益后)(万元),122640,116108,101281,--,23246,58293,107790,59718,19637,18498,10893,-25000,-8822,-9067,-358887,-8148,19310,9282,-149603,-66268,64951,--,0,--,
经营活动产生的现金流量净额(万元),200534,104937,45505,--,48426,96599,21880,109819,36627,63757,71596,-44234,-440,88245,-125981,89371,101022,49978,14809,109024,-65954,103670,20314,47143,
现金及现金等价物净增加额(万元),100374,10905,15733,--,14212,39705,-4067,11685,-2311,21869,930,3382,-6585,-4204,-83325,29063,4027,3544,-14858,8557,-63839,1775,70950,58206,
总资产(万元),3399066,2182791,2147367,1905506,1429282,1326679,1196471,920033,763544,801897,434822,377909,442133,448794,542034,1136139,943279,765654,652696,691137,748534,666414,494978,283956,
流动资产(万元),2452046,1429685,1484761,1300198,853254,804112,774738,593017,443520,484872,237269,178497,239899,232084,291085,771483,603387,--,0,0,7749464,416990,332959,165025,
总负债(万元),2150980,1393850,1452030,1373160,981901,932621,878137,732713,647462,710802,504933,462124,503981,529491,625249,822360,638669,485932,389822,267212,223091,292422,171196,86741,
流动负债(万元),2083841,1350649,1410906,1336157,944595,886137,836420,695839,616216,682618,493576,450702,484002,523433,617857,813691,577956,--,0,0,6415584,263219,150767,69293,
股东权益不含少数股东权益(万元),872159,735182,644530,486747,404402,345836,274873,151204,80512,54124,-84821,-99144,-77348,-104693,-108985,280316,280873,257500,240262,413426,481521,333913,301221,189634,
净资产收益率加权(%),22.21,19.79,35.12,--,15.49,21.65,58.16,61.95,33.72,293.26,--,--,0,0,0,-2.31,7.48,4.02,-48.9,-15.2,0,--,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
