报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),0.19,0.17,0.13,0.22,0.18,0.16,0.15,0.11,0.2,0.27,0.26,0.32,0.35,--,0.42,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,5.57,4.4,4.19,4.79,4.15,3.87,2.9,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.26,0.51,0.94,-0.38,0.3,0.17,0.42,0.34,0.64,
主营业务收入(万元),1114349,830839,663046,632275,668578,600245,539765,451206,402394,393016,323287,236359,220201,200004,173382,147358,130449,
主营业务利润(万元),117423,95008,83286,67450,64003,49095,46192,32099,25844,30098,24172,20155,16636,16328,14621,13823,12873,
营业利润(万元),30940,25115,20694,16227,14928,11854,9571,7250,7333,11132,10093,10026,8624,8259,6965,6868,6015,
投资收益(万元),506,-350,961,1619,502,7069,1064,765,841,1,502,1497,0,0,0,0,0,
营业外收支净额(万元),-345,56,-411,1948,580,515,431,-24,382,50,117,-55,-178,-94,0,0,0,
利润总额(万元),30595,25172,20284,18175,15508,12369,10002,7226,7715,11182,10211,9971,8446,8165,6874,6527,5839,
净利润(万元),23401,20075,15810,13465,10842,9823,8924,5712,7096,9077,8545,7742,7723,6773,5735,5374,5839,
净利润(扣除非经常性损益后)(万元),22405,19734,15738,12158,10884,9800,8999,5739,6912,9077,7909,5432,7798,6777,5709,5500,5857,
经营活动产生的现金流量净额(万元),312451,82226,15226,53416,156272,58069,19922,-10548,10997,16921,31219,-10393,6559,3765,5755,4719,8836,
现金及现金等价物净增加额(万元),119280,1023,-44506,-26652,83686,28585,-26523,-4589,11857,42044,15410,8641,79,11467,-4348,2773,8728,
总资产(万元),2604776,2025055,1751534,1571636,1459444,1260761,1109598,985293,820749,612681,442277,352327,285141,193253,131256,118668,91963,
流动资产(万元),1216380,846387,708113,672707,672376,554267,464704,496647,453683,378504,280272,224982,180348,152351,108250,94230,76994,
总负债(万元),2264263,1705663,1459407,1294996,1196200,1007860,861061,744963,585207,465013,301559,217730,191928,108198,91242,81629,60298,
流动负债(万元),1353294,1019521,755012,710482,636025,519713,492926,483014,373274,335007,218486,179203,144790,106947,91242,73629,60298,
股东权益不含少数股东权益(万元),323493,304483,286831,273664,260453,249583,246205,237908,233155,146144,139252,132691,91300,85056,40014,37039,31666,
净资产收益率加权(%),7.48,6.79,5.65,5.05,4.23,3.91,3.68,2.42,4.18,6.36,6.26,7.22,8.71,12.11,15.16,15.64,22.27,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
