报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,
基本每股收益(元),-0.36,0.02,-0.99,0.3,1.49,0.02,0.08,0.05,0.05,0.34,0.27,0.01,0.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,2.93,2.82,3.02,2.75,3.28,3.43,3.32,3.12,3.52,3.08,2.87,2.82,3.42,2.74,2.46,2.6,1.9,0.99,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,3.08,0.84,-5.83,0.34,0.79,0.5,0.59,0.75,-0.02,0.45,0.38,-0.04,1.27,0.57,--,--,--,--,--,
主营业务收入(万元),65771,99054,160709,166483,151847,177178,205223,151921,150126,100414,74738,47676,83225,56554,55940,59147,68686,39553,33328,29152,124773,190399,212865,27076,37274,26366,19889,
主营业务利润(万元),1004,7304,16696,21999,19729,27032,37737,24276,17962,10605,10545,164,17544,8880,9435,11437,14272,7285,5167,6802,19313,5311,8061,633,2681,2456,0,
营业利润(万元),-16298,-1995,-28776,10816,52563,6339,14290,5998,5512,4652,163,-11681,5104,2613,2988,6099,8624,4063,4018,4264,6294,5130,8006,655,2729,2456,0,
投资收益(万元),3273,11300,4467,2449,50081,-3472,-3505,-2539,2757,6468,1284,94,-93,0,-12,-367,-62,-7,104,319,242,9,476,607,0,0,0,
营业外收支净额(万元),631,5432,-50,-475,-813,641,-321,127,265,5754,6778,--,--,-76,-50,74,-508,-117,-19,-57,-517,0,0,0,0,--,--,
利润总额(万元),-15666,3437,-28826,10341,51750,6980,13969,6124,5777,10406,6941,211,5036,2537,2926,5990,8118,3950,4103,4525,6628,5083,7760,2782,2717,2352,1825,
净利润(万元),-13139,621,-30295,9083,45751,547,2454,1411,1534,10394,6911,209,3431,2187,1904,4109,6534,3302,3020,3976,3676,3036,3180,2555,2300,1494,1223,
净利润(扣除非经常性损益后)(万元),-16880,-9573,4885,9321,1743,-232,2766,1223,1269,4640,134,-11683,3496,2260,1965,4218,6889,3476,2851,3808,3768,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-8435,-9648,-16399,35950,6728,15880,39633,6095,94602,25730,-149253,8643,16781,9754,11372,14585,-251,7290,6098,-647,15816,6243,--,--,--,--,--,
现金及现金等价物净增加额(万元),-73735,59041,-20509,36689,182,-22556,22500,3813,-4866,4738,-7122,8975,1731,833,9067,-1785,-579,-5922,2664,-3267,-2954,2062,--,--,--,--,--,
总资产(万元),192942,210090,184537,222842,217104,292616,351005,355167,354900,357775,317549,192359,178871,158718,131402,95559,92505,77729,67841,61832,52077,141455,126160,40650,26664,17457,14361,
流动资产(万元),112351,124061,70843,72866,64561,127468,180619,179516,184205,198252,173482,54697,36110,56787,46148,16550,37763,--,0,--,0,65743,49020,20055,12269,9314,6766,
总负债(万元),53190,57370,69582,73866,76399,186965,240371,248662,255471,266775,235889,122109,108889,92171,67041,28977,29617,24721,18840,13814,7263,88212,77253,16901,14082,8460,0,
流动负债(万元),40605,42060,51113,55190,57559,167769,211642,243632,244451,231755,235889,107109,83301,71671,60541,26977,27617,--,0,--,0,84838,74629,15395,11094,7404,6859,
股东权益不含少数股东权益(万元),138648,151698,113908,147896,139679,93479,93854,91418,89977,86532,77161,70250,69982,66547,64360,60413,56788,49786,46376,45610,42442,29965,26929,23749,12582,8997,7503,
净资产收益率加权(%),-9.06,0.44,-22.95,6.32,39.45,0.58,2.65,1.56,1.74,12.7,9.38,0.3,5.03,3.36,3.12,7.01,12.2,6.87,6.66,8.95,0,10.67,--,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
