报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.86,0.64,0.46,0.42,0.13,--,--,--,--,
每股净资产(元),3.82,3.06,2.38,1.85,1.7,--,--,--,--,
每股经营活动产生的现金流量净额(元),0.7,1.16,0.41,-0.09,0.18,--,--,--,--,
主营业务收入(万元),175817,183801,163852,98351,82803,59348,38395,55235,71856,
主营业务利润(万元),31747,25706,26986,17896,12411,7357,4818,6188,10982,
营业利润(万元),16887,12415,9784,7559,2466,2461,1305,2780,7473,
投资收益(万元),52,45,--,-2,-15,8,25,34,124,
营业外收支净额(万元),51,71,-90,587,47,161,228,-68,121,
利润总额(万元),16937,12485,9695,8146,2513,2622,1533,2712,7594,
净利润(万元),15112,11213,8043,7331,2334,2000,1185,2283,6686,
净利润(扣除非经常性损益后)(万元),13835,10312,11188,6514,1990,--,--,--,--,
经营活动产生的现金流量净额(万元),12311,20434,7121,-1575,3167,7562,4410,4294,3976,
现金及现金等价物净增加额(万元),-1031,-1484,3386,-574,2114,5464,-1312,649,685,
总资产(万元),162598,135261,111268,82964,74886,69296,38866,36604,45332,
流动资产(万元),108309,96887,80953,58224,55797,42896,25991,25001,37666,
总负债(万元),95495,81546,69381,50397,44950,45663,18632,16573,26609,
流动负债(万元),87388,74745,64618,46113,42362,38493,18632,16573,25409,
股东权益不含少数股东权益(万元),67103,53715,41886,32568,29936,23633,20233,20030,18724,
净资产收益率加权(%),24.66,23.37,22,21.82,8.11,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
