报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),0.02,-1.09,-0.51,0.14,0.09,-0.23,0.01,0.35,0.04,0.04,0.04,0.07,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.71,1.72,1.65,1.85,2.32,2.14,2.11,2.01,1.91,2.12,2.02,1.97,1.01,1.82,2.06,1.75,2.41,2.77,4.88,6.78,4.9,1.7,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.5,0.96,-0.05,0.5,0.89,0.99,0.79,0.63,1,0.82,0.17,-0.1,0.35,-0.42,--,--,--,--,--,--,--,--,
主营业务收入(万元),16682,8464,17655,30809,142048,167524,185781,212960,211525,191553,187115,214508,155199,151013,147734,163747,151909,47936,28229,31736,27593,15340,17343,5147,5034,6071,1789,365,296,191,
主营业务利润(万元),10224,2106,10361,23226,45256,38985,56485,74509,78811,78569,65426,97436,52518,47259,52433,51964,47663,14410,9502,7440,5198,4408,-843,-59,244,344,152,1,38,29,
营业利润(万元),1733,-90980,-43070,11817,-3873,-24332,-1587,20485,8378,10571,9258,21476,9020,11185,16800,23456,18826,4336,3069,3113,-535,646,-73,-4,434,0,182,3,21,15,
投资收益(万元),2540,2430,2979,1934,13328,1705,3734,24023,302,1075,626,-471,3715,-523,-992,-1287,-264,304,-397,4502,2908,2389,2843,2001,1112,978,373,145,0,0,
营业外收支净额(万元),-15,711,566,245,1604,2223,2687,3640,3186,-26,73,668,--,-5,-711,116,-224,-23,11,34,-175,0,0,0,0,0,0,0,--,--,
利润总额(万元),1718,-90269,-42504,12062,-2268,-22110,1100,24125,11564,10545,9331,22145,9351,10668,15261,22512,18827,4712,3237,7678,2200,3067,2762,1984,1567,1365,536,150,11,6,
净利润(万元),1718,-90522,-42231,11732,7462,-13729,447,19758,2259,2235,2476,3390,2556,1221,3861,5845,7055,3864,2567,6722,2541,2315,2087,1780,1399,1183,421,128,1,4,
净利润(扣除非经常性损益后)(万元),-9631,-93452,-44225,2256,-6476,-15439,-3345,-6220,-270,1598,1315,3051,518,672,4314,5674,6978,4193,2994,5680,1324,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-4041,-6410,-730,8984,35694,10923,-24497,10286,27852,53504,-3003,25241,34712,38493,30650,24533,39062,24659,5016,-3026,6740,-5151,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),8360,-4171,-5683,-21190,19800,4697,5854,-31047,-7871,1280,-1371,-50744,-27704,32229,8938,-816,25627,-16124,56607,7141,6267,1792,--,--,--,--,--,--,--,--,
总资产(万元),184713,98485,202215,248375,244620,447528,322022,316770,344307,394644,407419,393045,436863,285118,263812,281157,242210,159811,163368,101506,52049,57631,37710,25385,18453,18076,6148,2116,1164,98,
流动资产(万元),58258,38504,57110,44317,69959,95466,71547,84144,104587,93627,116945,103301,154011,159193,126362,133992,114237,--,--,0,0,36348,25122,14683,9866,8068,1603,1172,1093,87,
总负债(万元),14250,17000,30234,31334,37164,180436,150127,137523,156513,196938,223417,202478,284554,157632,141993,162406,131197,89923,98559,35493,29059,32500,16132,7677,2188,1527,606,285,-159,30,
流动负债(万元),13250,16283,29493,30915,36724,176528,143579,129308,131135,116641,120361,164849,152340,136307,109031,119010,80938,--,--,0,0,32283,15931,7677,2173,1284,581,285,-159,30,
股东权益不含少数股东权益(万元),170463,81485,171982,217041,207456,198607,95925,101443,94980,95704,92150,93437,90186,83224,82003,78142,74224,63394,60555,58961,19524,22018,20806,17708,16265,15540,5270,1830,1323,68,
净资产收益率加权(%),1.01,-71.43,-21.71,5.52,3.68,-12.79,0.46,20.36,2.33,2.38,2.77,3.69,2.97,1.48,4.82,7.64,10.54,6.18,4.3,13.62,13.58,11.1,--,0,0,0,0,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
