报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.06,0.14,0.81,0.57,0.38,0.33,0.23,0.21,
每股净资产(元),--,--,--,--,2.53,1.96,1.63,1.54,
每股经营活动产生的现金流量净额(元),--,--,--,--,0.31,-0.03,0.05,0.02,
主营业务收入(万元),28106,65094,79826,53969,40356,28845,22459,18500,
主营业务利润(万元),9097,14452,21613,11682,8783,7889,5605,5470,
营业利润(万元),667,2263,9300,4537,2709,2558,1205,1365,
投资收益(万元),3688,--,--,--,--,--,--,-63,
营业外收支净额(万元),-39,-10,-11,330,515,231,683,410,
利润总额(万元),628,2253,9288,4867,3224,2790,1889,1775,
净利润(万元),896,2245,8067,4260,2842,2454,1693,1580,
净利润(扣除非经常性损益后)(万元),-2856,1503,7627,3243,2150,1984,888,1051,
经营活动产生的现金流量净额(万元),4993,-4855,-7937,3142,2294,-197,412,164,
现金及现金等价物净增加额(万元),-5329,3372,-8934,12204,2535,-1864,-226,1586,
总资产(万元),93524,108315,102070,68773,49663,41634,28109,22583,
流动资产(万元),77574,89946,85072,64156,45693,39459,26487,20884,
总负债(万元),51729,68877,64045,38304,32442,26965,15894,11061,
流动负债(万元),51309,67742,62582,37110,31713,25981,14980,10153,
股东权益不含少数股东权益(万元),41795,39447,38025,30338,17132,14669,12215,11522,
净资产收益率加权(%),2.23,5.88,23.65,22.11,17.85,18.25,13.78,14.73,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
