报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),1.34,1.07,0.86,0.76,0.71,--,--,--,
每股净资产(元),--,--,--,3.8,2.99,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,0.82,0.76,--,--,--,
主营业务收入(万元),27981,21554,18278,15062,12813,10530,7738,5930,
主营业务利润(万元),25858,19851,16987,13873,11997,9827,7052,5510,
营业利润(万元),12350,9938,7060,4464,4003,3167,1391,857,
投资收益(万元),1338,1448,620,--,--,--,--,--,
营业外收支净额(万元),62,7,138,901,1014,770,465,129,
利润总额(万元),12412,9945,7199,5364,5017,3937,1856,986,
净利润(万元),10739,8582,6167,4547,4249,3366,1577,852,
净利润(扣除非经常性损益后)(万元),10420,8339,5646,4108,3711,2874,1182,743,
经营活动产生的现金流量净额(万元),10348,7747,6547,4925,4574,3079,3438,2262,
现金及现金等价物净增加额(万元),-5454,3357,-505,-2628,11004,35,-1104,2650,
总资产(万元),72045,58398,53082,25914,20035,8231,7779,9178,
流动资产(万元),52546,50499,45645,18831,16582,4971,4320,5849,
总负债(万元),13206,5499,4763,3098,2095,1869,4846,9821,
流动负债(万元),11429,4096,3089,1983,1334,825,3582,7913,
股东权益不含少数股东权益(万元),58838,52900,48318,22816,17940,6362,2934,-643,
净资产收益率加权(%),19.22,17.09,16.63,22.49,33.8,74.55,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
