报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
基本每股收益(元),0.32,0.46,0.72,0.63,0.48,0.38,0.57,0.46,
每股净资产(元),--,--,--,3.17,2.54,2.06,2.45,1.88,
每股经营活动产生的现金流量净额(元),--,--,--,0.49,0.04,0.12,-0.03,0.09,
主营业务收入(万元),36525,21039,17327,13117,9409,7433,6589,4887,
主营业务利润(万元),11001,10383,9354,6693,5307,4516,4225,3158,
营业利润(万元),2921,5220,4675,3624,2529,2065,1713,1769,
投资收益(万元),143,247,--,--,25,79,94,103,
营业外收支净额(万元),157,150,179,71,283,155,580,185,
利润总额(万元),3078,5370,4854,3695,2812,2220,2293,1954,
净利润(万元),3333,4733,4287,3226,2425,1915,2013,1621,
净利润(扣除非经常性损益后)(万元),2463,4244,3956,3182,2198,1746,1439,1381,
经营活动产生的现金流量净额(万元),5818,920,987,2486,222,588,-120,303,
现金及现金等价物净增加额(万元),14087,4963,1797,2898,-3,1850,-678,575,
总资产(万元),142805,50675,45922,22964,17394,13721,10529,8290,
流动资产(万元),75771,40579,39926,18919,13725,11002,8806,7358,
总负债(万元),57138,10628,9995,6802,4458,3210,1934,1708,
流动负债(万元),52180,10628,9995,6802,4458,3210,1934,1708,
股东权益不含少数股东权益(万元),84634,40047,35927,16162,12936,10511,8595,6582,
净资产收益率加权(%),7.74,12.35,16.46,22.17,20.69,20.05,26.53,28.09,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
