报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.29,0.4,0.37,0.39,0.39,0.56,0.52,0.5,0.67,0.46,0.18,
每股净资产(元),--,--,--,--,3.64,3.53,3.26,2.9,2.6,1.93,1.67,
每股经营活动产生的现金流量净额(元),--,--,--,--,0.86,0.92,0.61,0.66,0.28,0.26,0.2,
主营业务收入(万元),39812,35312,30026,24915,24479,30010,27722,24956,25856,19253,17146,
主营业务利润(万元),14547,14501,11960,9536,9575,13395,12435,10443,11908,8749,4477,
营业利润(万元),7442,6667,5952,4431,4322,6535,6034,5190,6927,5280,1805,
投资收益(万元),131,718,520,--,--,--,--,--,--,--,--,
营业外收支净额(万元),-272,135,3,326,458,175,205,696,907,153,246,
利润总额(万元),7170,6802,5955,4757,4780,6710,6238,5886,7835,5433,2051,
净利润(万元),6174,5572,5067,4115,4098,5839,5381,4989,6684,4600,1821,
净利润(扣除非经常性损益后)(万元),5534,4383,4282,3812,3707,5663,5241,4397,5913,4470,1600,
经营活动产生的现金流量净额(万元),3019,7157,9088,8532,9002,9665,6429,6588,2812,2633,1991,
现金及现金等价物净增加额(万元),-1985,337,1953,1005,31,-97,-767,1046,732,369,302,
总资产(万元),78752,80837,69366,45851,49202,55087,51181,49861,44975,29131,26991,
流动资产(万元),37469,43550,42155,21491,23083,27759,25490,23681,22179,16416,15422,
总负债(万元),19865,14197,8326,5573,10939,17982,16975,20880,18983,9847,10307,
流动负债(万元),18517,10686,7941,5042,10414,17208,16407,17014,14984,9483,9807,
股东权益不含少数股东权益(万元),58887,66640,61040,40278,38263,37105,34206,28981,25992,19284,16685,
净资产收益率加权(%),10.03,8.75,8.8,10.53,11.02,16.6,17.21,17.83,29.51,25.58,11.55,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
