报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),2.25,2.37,2.55,1.66,1.49,1.51,1.09,1.34,2.12,2.36,0.79,0.34,0.41,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,12.73,8.93,7.24,5.05,4.42,4.23,3.89,4.13,5.04,4.68,4.14,3.86,3.72,3.01,3.63,2.61,2.33,2.11,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.58,0.95,0.38,1.43,0.33,0.72,-0.5,0.49,0.18,0.34,0.38,0.06,0.68,0.15,--,--,--,
主营业务收入(万元),878436,872167,901728,642270,574164,635448,558931,501528,589811,537121,308062,303329,312134,248116,279095,209013,150774,138266,98322,85121,77252,56816,51162,42533,39342,
主营业务利润(万元),204737,196443,218314,149052,131686,158086,138704,120997,155048,146004,58661,55257,67123,61550,61931,47690,39503,38094,24781,18560,14635,11754,9475,6404,9139,
营业利润(万元),245426,261090,282422,177826,160281,171750,123237,102538,136077,148629,46449,24519,28605,16757,24194,15625,12258,13013,11331,11075,9069,9175,9463,6612,6460,
投资收益(万元),161454,195567,185364,137795,133307,104245,64249,39622,49794,69047,37202,36503,13627,-2847,658,11605,15875,11132,5761,3752,3237,-96,-978,176,0,
营业外收支净额(万元),-371,-871,619,4029,6070,-498,2494,1263,3604,1357,1827,-2950,-295,-1083,-982,-1250,-1406,-1852,-191,26,15,0,0,0,0,
利润总额(万元),245054,260218,283042,181855,166352,171252,125731,103802,139681,149985,48276,21569,28311,13077,23870,25980,26726,22293,16902,14853,12322,9715,9033,6739,6458,
净利润(万元),226803,239608,257134,167222,151539,153944,110822,88933,120462,134029,44822,19342,23043,8828,18191,23507,23810,20403,15072,13257,10652,8218,7504,6739,6298,
净利润(扣除非经常性损益后)(万元),194741,201480,232222,143596,123237,140488,101309,85268,116687,132461,42019,20453,21558,7401,16899,23109,23720,21273,14544,13404,10810,--,--,--,--,
经营活动产生的现金流量净额(万元),104867,87438,95770,52734,54205,88990,80396,116576,32627,53617,21589,80849,18477,40603,-28209,21256,7676,14664,16514,2768,27021,4576,--,--,--,
现金及现金等价物净增加额(万元),-158418,-54377,-84678,75491,101209,-26051,-14406,168702,28056,13769,-16776,-18273,-6583,3219,-4077,32771,13909,-18338,-14816,12292,23705,32467,--,--,--,
总资产(万元),2395835,2089204,2023101,1726377,1570409,1448859,1307423,1105597,792922,676162,503587,459790,512386,486513,447262,419223,288675,250683,217027,199276,169962,155365,71703,63699,53398,
流动资产(万元),1329823,1193412,1205055,992032,853853,760189,749778,609433,433840,347100,238322,204309,282402,267627,242562,231014,134178,--,0,0,0,101899,39198,33765,34214,
总负债(万元),647369,444007,487964,386534,349082,322548,307658,209499,258883,241581,194362,187100,249797,244091,194564,184767,76666,64364,43983,32924,49307,43075,23753,20905,14675,
流动负债(万元),599251,387229,429974,314954,289541,280675,275629,193177,249497,238098,191221,185321,248380,243320,184786,158276,55912,--,0,0,0,35025,19153,17475,12975,
股东权益不含少数股东权益(万元),1699041,1591383,1483567,1292734,1178323,1085903,960077,865598,506406,410621,286267,250634,239858,220435,234198,220131,204278,180468,168534,162189,118780,110086,47950,42794,38723,
净资产收益率加权(%),13.77,15.48,18.52,13.53,13.32,15.05,12.12,11.36,26.27,38.32,16.74,7.88,10.02,3.85,8.01,11.04,12.06,11.41,8.88,10.43,9.39,11.07,16.54,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
