报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0.78,0.38,0.44,0.27,-0.11,0.09,0.23,0.38,0.44,0.38,0.28,0.2,0.23,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,4.52,4.19,3.89,3.62,3.24,3.09,2.98,2.86,2.75,2.52,2.35,2.22,0.27,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.47,0.4,0.24,0.25,0.58,-0.01,0.28,0.32,0.33,0.41,0.31,0.11,0.32,--,--,
主营业务收入(万元),214744,181935,179218,128978,208569,328978,617555,538889,230172,35840,24051,20889,20732,14752,14952,16961,17442,18840,13718,13503,13318,11679,76,
主营业务利润(万元),85064,90712,98843,90269,91349,88995,82444,85465,70652,18938,16485,14548,14826,10070,10122,10643,11110,12643,9136,9627,9519,8241,72,
营业利润(万元),97457,48428,44756,22463,-17719,8588,20599,38148,32191,20890,14459,10670,11863,9145,10441,11263,12406,13706,12169,12300,12118,10894,5163,
投资收益(万元),9529,--,682,-453,12380,5072,1277,--,--,14662,6626,1634,--,-194,0,-4,-47,158,26,-7,--,--,--,
营业外收支净额(万元),-444,-589,-122,744,1986,-717,1900,978,647,128,75,-426,-1,-7,-23,-0,-315,-69,-2,223,-4,-8,-1,
利润总额(万元),97013,47839,44633,23207,-15733,7871,22498,39125,32838,21017,14533,10244,11863,8944,10418,11260,12044,13795,12193,12515,12114,10885,5162,
净利润(万元),87770,42413,36771,22216,-9565,7343,19181,31693,24334,21383,14268,8850,9948,7496,8707,9454,10100,11630,13124,8296,9754,9233,5162,
净利润(扣除非经常性损益后)(万元),44529,34180,30652,16692,-23762,6403,16811,30451,24098,12835,14220,9242,9941,7697,6989,7739,8086,11699,10304,8074,--,--,--,
经营活动产生的现金流量净额(万元),93339,150108,137381,107276,96685,26742,-34846,-66535,26189,22276,13179,11738,25612,-630,12430,14267,14405,17902,13580,4854,12520,--,--,
现金及现金等价物净增加额(万元),-22831,28772,966,-13044,28881,-55020,31141,-5715,-6658,20105,4326,31629,-36264,-14894,1798,15067,9758,15408,-48230,47717,11450,--,--,
总资产(万元),1094212,1060264,1069315,1141864,1233503,1395389,1393489,1144072,999339,983736,399793,287001,188664,166124,164789,155854,150519,144618,134798,140844,93648,84885,50163,
流动资产(万元),289177,354116,328595,394242,469540,408763,549656,365926,216932,200880,146428,116093,42547,79032,71956,69395,59474,0,75984,79521,29827,18707,21088,
总负债(万元),668656,706964,744045,836404,931952,1081391,1058168,825093,709850,717110,159638,107990,41595,27040,30490,29426,29125,33324,31041,42715,47036,33953,5568,
流动负债(万元),143992,242118,171220,169284,517579,348531,300322,256109,175140,252352,74180,37028,15773,1418,5368,4304,4003,0,5919,15393,19690,6615,5556,
股东权益不含少数股东权益(万元),432116,357179,327272,299346,286188,295753,299220,282540,251301,233081,216146,170403,143328,136443,131600,126428,121394,111294,103757,98129,46612,50932,44595,
净资产收益率加权(%),22.3,12.43,11.57,7.47,-3.29,2.43,6.6,11.8,10.11,9.52,6.99,5.72,6.94,5.59,6.75,7.63,8.68,10.62,13.09,16.34,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
