报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),0.18,0.3,0.09,0.08,0.08,0.05,0.04,0.03,0.45,0.33,0.36,0.54,0.2,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,6.16,5.73,5.26,5.11,3.18,3.15,3.56,3.59,3.58,3.5,3.41,3.31,3.26,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.64,-0.58,0,0.49,0.1,0.02,0.4,0.47,0.94,-1.2,1.12,0.35,0.22,--,--,--,
主营业务收入(万元),330337,277980,231581,215781,213801,182873,215619,182657,265685,222754,181170,191779,166572,142473,126503,125762,62758,73659,89358,67242,67739,79686,61274,64267,
主营业务利润(万元),75525,63070,54499,51050,51155,41540,41096,39496,44882,44900,36640,34247,27534,20398,18098,16656,13374,17539,18158,14469,15705,14593,14150,12190,
营业利润(万元),9249,13971,2826,1293,781,-1952,-1025,-1643,9904,7490,8785,6452,3623,1875,430,358,449,3506,4446,5072,6889,6353,3981,2733,
投资收益(万元),607,8678,619,-354,1482,2164,2146,2211,7660,2165,4242,1318,779,258,593,428,-614,327,590,552,18,0,--,0,
营业外收支净额(万元),-32,20,-1,1370,1013,3499,2379,2353,3115,2442,986,5465,984,-37,-25,230,60,638,186,416,262,9,371,155,
利润总额(万元),9217,13991,2825,2663,1795,1547,1355,710,13019,9932,9772,11917,4608,2808,1632,1465,223,4515,5233,6094,7169,6406,4352,2889,
净利润(万元),5918,7477,2198,2069,1856,1185,948,639,9431,6894,7590,10197,3276,2012,1400,1131,366,4079,3945,4399,4743,4168,2913,1916,
净利润(扣除非经常性损益后)(万元),5796,1413,624,844,-3783,-1658,-4746,-932,5072,6373,5855,5956,3099,2386,1143,1129,119,3634,3644,3701,4552,--,--,--,
经营活动产生的现金流量净额(万元),-13841,5302,-5614,6928,7312,-2824,13375,-2097,13419,-12309,102,10230,1604,255,5666,6629,13175,-16762,15640,4951,3022,--,--,--,
现金及现金等价物净增加额(万元),10129,41994,-9969,-10753,6468,4432,28628,-9222,5248,-14316,-16130,44952,11126,-6029,2630,10175,-1938,-18593,8879,-5485,20853,--,--,--,
总资产(万元),403630,309693,277510,262434,260762,260624,256727,219172,218666,238900,209301,209930,150730,118874,120335,118503,70738,85810,84952,82233,85628,69109,51210,54112,
流动资产(万元),332994,240413,192873,181739,179389,178059,171393,136694,142788,162498,142605,160463,111631,83187,90684,85591,48378,0,0,0,0,57080,39231,44799,
总负债(万元),218726,132292,131597,117195,117539,118961,116010,88943,87789,108473,89736,95371,92533,62619,65130,63201,19062,34605,34532,32276,36098,51152,39461,43511,
流动负债(万元),214485,128287,127524,112280,97538,112164,107270,83919,81497,95800,85828,93555,89007,61105,63662,61681,13853,0,0,0,0,49689,36031,42776,
股东权益不含少数股东权益(万元),155830,151504,145649,144649,142806,141688,140526,129247,129755,120741,110713,107535,51031,50588,49909,50247,50173,48968,47689,46346,45594,13700,8871,8415,
净资产收益率加权(%),3.85,5.03,1.51,1.44,1.3,0.84,0.72,0.49,7.52,5.91,6.96,12.29,6.48,3.99,2.76,2.26,0.73,8.2,8.62,9.54,26.26,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
