报告日期,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,1989-12-31,
基本每股收益(元),1.4,1.54,1.39,1.3,1.32,1.56,1.73,1.86,2.62,2.47,1.91,1.62,0.2,1.27,0.67,0.18,0.15,0.16,0.2,0.21,--,--,--,--,0.76,--,--,--,--,--,--,--,
每股净资产(元),15.16,14.07,12.82,11.77,10.61,11.29,11.46,11.77,16.55,14.31,9.62,6.59,5.28,5.67,3.33,2.59,2.41,2.04,1.94,1.86,2.44,1.87,2.37,2.19,2.45,3.78,3.84,4.47,4.05,6.41,2.63,3.27,
每股经营活动产生的现金流量净额(元),-0.83,-2.06,-3.34,-6.92,0.64,-0.13,2.22,9.63,36.27,-2.82,6.24,10.37,7.84,7.44,3.81,-2.2,3.62,-0.86,4.39,7.52,0.82,3.01,--,--,--,0,0,--,0,0,--,0,
主营业务收入(万元),15354200,13795800,11671600,10578600,10771500,9616300,7340700,5218900,3974865,2964306,1802228,1511444,1451312,1080750,713522,851562,832301,599281,551912,432894,278916,234927,280353,279526,261026,210529,139028,61885,47551,33469,0,0,
主营业务利润(万元),3690900,3628900,3230500,3022300,2977900,2889500,2624600,1995500,1754166,3591613,2235415,1807437,1224965,1455724,925994,686260,726946,497263,456628,245027,183536,150377,66576,153025,250141,49190,35303,29515,22090,14646,0,0,
营业利润(万元),3690900,3628900,3230500,3022300,2977900,2889500,2624600,1995500,1754166,1313270,784956,615913,80343,372194,190517,289446,279050,168748,190490,56175,55363,37324,66576,67826,81139,49190,35303,29515,22090,14646,0,0,
投资收益(万元),992100,971000,918600,63200,236800,392400,316800,34700,62319,28475,22853,58029,42156,20098,11056,82454,70206,63926,63121,44249,35670,23313,18483,31129,11721,1930,6312,712,485,372,0,0,
营业外收支净额(万元),-15500,-4900,-7400,-6600,15600,-4900,-5200,8500,926,12479,14847,3141,-1082,4983,8935,-3614,-732,-1459,-1272,-279,-686,-119,645,-150,293,0,0,0,0,0,0,0,
利润总额(万元),3675400,3624000,3223100,3015700,2993500,2884600,2619400,2004000,1755092,1325749,799802,619054,79261,377178,199452,63862,49119,35395,63655,55896,54677,60518,85704,100243,91970,50688,41442,30227,22574,15018,10129,6748,
净利润(万元),2892800,2819500,2481800,2318900,2259900,2186500,1980200,1523100,1340270,1027863,628382,503073,61404,264990,130291,35173,28977,31655,43222,40236,50655,55519,76434,86232,78748,43513,35633,27331,17211,11265,7088,4302,
净利润(扣除非经常性损益后)(万元),2884000,2808600,2470000,2316200,2260600,2190200,1984100,1516600,1338522,1017927,614374,493957,62394,260755,122696,33470,--,--,44494,--,--,--,--,--,--,0,0,0,0,0,--,0,
经营活动产生的现金流量净额(万元),-1616100,-4002500,-5732300,-11878000,1098900,-182600,2532100,9167400,18583846,-1443937,2174630,3219361,2434261,1705158,741039,-428558,704562,-166881,854404,1464214,159107,467159,229110,--,--,0,0,--,0,0,--,0,
现金及现金等价物净增加额(万元),9989200,1725700,2477700,-9639000,-2792700,7788500,235200,903700,10416056,-24144,1344433,1757903,656904,842219,-144038,381879,-347675,-429349,144824,878707,131782,259677,11583,--,--,0,0,--,0,0,--,0,
总资产(万元),446851400,393907000,341859200,324847400,295343400,250714900,218645900,189174100,160653676,125817694,72761007,58781103,47444017,35253936,26057626,22921642,20428642,19285100,16616638,12012698,6722750,4586897,3939986,3179863,3002203,2031248,1548841,932322,752285,435446,291919,168166,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16117293,13796375,13485487,12217116,8353324,4429182,3061533,2739522,2467721,2607664,1722514,1310612,784535,6320,3310,80420,38276,
总负债(万元),410438300,362608700,317855000,302642000,275126300,234564900,205551000,177966000,152173799,118279636,69409719,56734143,45803938,33953330,25410180,22417337,19960176,18888592,16239836,11649931,6248862,4296814,3572350,2839795,2748234,1835194,1382858,811441,19589,7723,5628,3983,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20725002,18484706,14838554,13122053,8216941,4419549,3291517,2587884,2070524,2057496,1408718,1162349,725120,19589,7723,5628,3983,
股东权益不含少数股东权益(万元),36413100,31298300,24004200,22205400,20217100,16150000,13094900,11208100,8479878,7331084,3351288,2046961,1640079,1300606,647446,504304,468466,396508,376802,362767,473888,290083,367665,339587,253479,195546,165561,120458,54566,57796,23651,14406,
净资产收益率加权(%),9.58,11.3,11.49,11.62,13.18,14.94,16.35,16.57,16.78,20.32,23.22,26.59,4.32,33.41,22.83,7.16,6.38,7.86,11.24,10.82,30.65,--,--,--,--,0,0,0,0,0,--,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
