报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2010-12-31,2009-12-31,
基本每股收益(元),2.16,1.3,0.56,1.49,0.15,0.37,0.4,0.73,0.91,--,
每股净资产(元),--,--,--,--,--,6.72,6.35,5.9,3.58,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.82,0.86,1.99,0.13,--,
主营业务收入(万元),353339,257780,216400,209502,175579,173469,177307,200712,159366,124486,
主营业务利润(万元),104984,43160,12705,31705,8437,13222,9551,15610,16780,12479,
营业利润(万元),107454,42973,9451,24659,1099,4096,921,7852,11188,7989,
投资收益(万元),5755,3887,2587,421,495,506,82,60,20,10,
营业外收支净额(万元),-231,-739,679,-79,1156,383,3841,842,94,183,
利润总额(万元),107224,42235,10130,24580,2255,4480,4762,8694,11283,8172,
净利润(万元),100067,40196,10197,24552,2256,4434,4762,8678,10824,7501,
净利润(扣除非经常性损益后)(万元),93642,35517,6658,24214,604,3671,904,7836,10729,7321,
经营活动产生的现金流量净额(万元),117156,54943,24010,43012,15413,9811,10265,23836,1506,9123,
现金及现金等价物净增加额(万元),46694,-6408,-18383,30856,-5207,-5397,544,2729,4004,249,
总资产(万元),431766,309838,258002,248526,145111,149832,137633,118164,77817,61062,
流动资产(万元),315484,211043,155154,147388,51720,63132,55593,53751,41569,29945,
总负债(万元),87005,61175,46119,43037,45277,69558,61793,47616,35005,39605,
流动负债(万元),85587,60745,45672,42845,44974,65581,54490,46696,33858,39605,
股东权益不含少数股东权益(万元),329583,244805,211883,205361,99754,80274,75840,70548,42812,20908,
净资产收益率加权(%),35.01,17.65,4.85,18.63,2.36,5.68,6.51,13.07,34.99,43.72,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
