报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,
基本每股收益(元),0.22,0.32,0.56,0.43,0.17,0.11,0.1,-0.25,0.15,0.24,0.31,0.29,0.15,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.86,2.09,2.25,2.58,2.35,2.2,2.15,3.27,5.65,2.03,1.23,0.94,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.66,0.16,0.57,0.64,1.69,-0.06,0.27,0.17,0.03,0,0,0,
主营业务收入(万元),663307,618437,462817,433852,378643,393291,397377,304284,358127,346422,284578,363224,283487,187840,151626,157329,128028,63638,30959,12450,
主营业务利润(万元),113958,130139,150023,120782,81560,59934,48754,34168,32909,38685,38604,33272,28843,24733,23376,23978,18236,11543,6653,3341,
营业利润(万元),54997,67502,92212,50559,16467,6977,7009,-15682,8586,13528,15279,8582,5407,4046,7280,10024,8456,5369,2726,1057,
投资收益(万元),-1572,-3407,-4054,-391,-34,--,--,--,2717,--,68,5,-2,0,0,346,41,43,43,4,
营业外收支净额(万元),-320,170,-585,2598,1663,2356,1343,1616,1053,2309,5,722,--,-566,-303,-205,-246,0,0,0,
利润总额(万元),54677,67672,91627,53158,18131,9333,8352,-14066,9639,15837,15284,9304,5858,3868,7005,10205,8293,5259,2380,1046,
净利润(万元),46892,56799,76802,44876,12051,5926,4457,-11548,7064,9418,10038,7162,3629,2113,4078,7937,6541,4397,1671,1143,
净利润(扣除非经常性损益后)(万元),32476,54278,75858,42851,11186,4248,3607,-11059,4865,7823,9995,6519,3130,1802,3680,7573,6640,0,0,0,
经营活动产生的现金流量净额(万元),32658,65192,91948,125577,9438,-23005,8906,-9349,-30679,5994,18451,15727,41815,-1475,6636,2622,198,4576,0,0,
现金及现金等价物净增加额(万元),-3760,22526,-8102,15163,21123,3568,-5125,-3399,-14103,17409,7020,-6495,-2323,3674,3763,-11046,27957,-1598,0,0,
总资产(万元),878270,790574,694758,627514,642299,653531,620086,571691,550370,385024,315754,317880,315258,275285,227266,182365,129087,61235,29021,24884,
流动资产(万元),623836,554080,513527,511592,539122,553130,514037,460802,437069,269296,192560,190106,185028,146349,107186,92214,80145,28987,15907,15692,
总负债(万元),511231,451323,392712,399466,442826,495074,500584,457145,423473,270787,233377,247254,251229,212579,165602,120457,82349,49063,21776,19879,
流动负债(万元),506326,449477,390826,385489,432546,486267,499127,451172,422733,262385,232239,235269,221335,179331,140954,120389,72227,42995,18707,19811,
股东权益不含少数股东权益(万元),349492,323800,289582,216872,165602,117326,78865,74411,86230,80518,72325,63936,58083,54499,53243,50608,43738,10653,6456,4915,
净资产收益率加权(%),14.31,24.49,30.53,24.08,9.85,5.57,5.82,-14.28,8.43,12.19,14.75,11.7,6.4,3.93,7.9,16.91,35.67,50.8,29.05,36.03,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
