报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),-0.28,0.02,0.02,0.03,-0.24,0.02,0.03,-0.25,0.56,1.25,1.03,0.81,0.71,
每股净资产(元),--,--,--,--,--,--,--,--,7.09,13.34,4.26,4.97,3.71,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.11,-4.82,-0.43,1.74,-0.6,
主营业务收入(万元),199677,196021,166023,151956,105390,127509,124724,76176,191060,139616,102281,70942,48234,
主营业务利润(万元),33146,40831,31253,27571,20320,31076,26917,15266,52284,48119,32485,25661,16102,
营业利润(万元),-19919,1854,3266,-9431,-21113,-6512,-12205,-16599,15331,14107,11333,9748,6511,
投资收益(万元),2456,13294,-226,6736,633,633,106,-10,--,0,--,9,0,
营业外收支净额(万元),751,761,632,14068,878,6887,12521,9912,3572,2755,1604,695,397,
利润总额(万元),-19168,2614,3898,4637,-20236,375,316,-6687,18903,16863,12937,10443,6908,
净利润(万元),-18325,1317,1246,1870,-15802,1159,978,-6867,15813,14254,10861,8512,6401,
净利润(扣除非经常性损益后)(万元),-21468,-13934,-15117,-15210,-16255,-4683,-9632,-15110,12792,11915,9508,8937,5049,
经营活动产生的现金流量净额(万元),2197,11653,-15481,19388,-4306,22753,19154,32273,3044,-67481,-4493,12212,-4084,
现金及现金等价物净增加额(万元),-46513,45009,22731,2712,2419,23524,-52648,-41168,27891,73946,3009,-83,10791,
总资产(万元),760782,707066,558662,480102,511891,450546,380896,370470,386246,345280,125122,92420,67363,
流动资产(万元),410901,423721,315168,241469,256392,248085,201977,250365,313642,286144,87405,64406,50619,
总负债(万元),529823,459087,313578,235874,268964,201785,191772,184569,187566,158475,80369,57652,41552,
流动负债(万元),435045,352702,203199,153730,220709,133110,141062,128722,132798,155632,76369,57630,41468,
股东权益不含少数股东权益(万元),215986,234321,232849,232612,231128,246927,187087,185902,198418,186805,44754,34768,25230,
净资产收益率加权(%),-8.14,0.56,0.54,0.81,-6.61,0.55,0.52,-3.59,8.22,17,27.62,28.87,63.29,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
