报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),1.5,1.63,1.92,2.06,2.04,1.88,1.54,1.27,1.02,0.83,0.7,0.67,0.49,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,6.23,5.54,5.01,4.58,4.25,3.99,4.36,4.21,4.13,3.49,3.44,3.56,3.4,2.82,2.57,2.26,2.03,2.12,2.07,1.04,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,8.15,2.41,4.14,3.17,1.54,1.35,1.58,0.68,0.62,0.65,0.63,0.38,0.27,0.4,--,--,--,--,--,--,
主营业务收入(万元),1672731,1559992,1398142,1302360,1290499,1154212,1031518,859074,695845,522795,391380,342061,263148,163629,122872,86787,69541,65592,61389,60478,49913,32682,46793,36975,22178,16774,10117,6812,
主营业务利润(万元),370590,341135,295827,255999,240495,209267,163333,130920,105870,74446,60720,53995,42449,25440,20314,15238,6478,5777,5330,5950,5213,5096,2287,1205,1172,1088,852,0,
营业利润(万元),81145,83286,82540,72493,69313,56354,41326,33598,28046,22099,18787,17662,12921,9119,6674,5736,5224,4915,4785,4554,3554,3136,2905,2028,1991,1577,1356,0,
投资收益(万元),-550,1810,-1796,-871,-113,-218,-191,-204,-252,-13,0,0,0,0,0,0,0,2,11,-15,-0,2,4,436,393,759,19,3,
营业外收支净额(万元),-799,-1269,1905,4308,3262,3462,2209,685,-379,362,217,16,158,128,34,91,-71,-16,-44,313,389,0,0,0,0,4,107,--,
利润总额(万元),80346,82017,84445,76800,72575,59816,43535,34283,27667,22461,19004,17678,13079,9247,6708,5827,5153,4901,4753,4851,4660,4104,2652,2391,2384,2340,1481,318,
净利润(万元),23841,25978,30518,32729,32436,29875,24526,20185,16166,13191,11128,10638,7788,5939,4937,4029,3712,3183,3966,4415,3345,2956,2652,2032,2026,1989,1481,270,
净利润(扣除非经常性损益后)(万元),22519,21817,27533,31252,30828,28190,23297,19645,15259,12726,10976,10382,7590,5853,4903,3968,3741,3006,3981,3497,3017,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),122378,157496,166065,101714,36430,8676,51661,57336,129688,38405,65839,50407,24502,21514,22512,9610,8875,7986,7761,4612,3267,4056,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-35041,-26082,23380,45982,10154,18796,7424,4088,54987,-14048,7397,12121,-11088,4129,4020,2917,5259,390,-2014,1205,7323,-366,--,--,--,--,--,--,
总资产(万元),2275961,2242261,2176406,1815759,1569768,1326223,947719,750416,616088,394516,336031,277481,238548,191856,151699,126403,95816,72886,71954,67564,55106,39786,36132,31988,28456,23554,18504,8087,
流动资产(万元),562374,551373,620406,583617,495247,410333,302208,237857,202832,90447,81904,65916,45998,64895,34179,36811,24454,0,0,0,0,9474,9289,9525,9257,8257,7767,2093,
总负债(万元),1690789,1687663,1661798,1369252,1231192,1044838,756095,595141,483301,275704,229747,182978,150636,109611,77853,54683,35439,28555,28259,23898,13361,10982,9947,12506,11006,5306,2278,2026,
流动负债(万元),1451762,1473709,1428727,1158868,1083085,922198,680688,511372,463496,252536,226620,179691,144087,97686,63420,45832,28072,0,0,0,0,10982,9947,12404,10096,4106,1278,1026,
股东权益不含少数股东权益(万元),322655,309989,293795,272804,186872,159019,134326,114412,99149,88172,79632,72843,67634,63520,61984,59928,58780,42792,42230,43638,41715,28804,26186,19483,17450,18248,16226,6061,
净资产收益率加权(%),9.28,10.72,10.68,16.32,18.71,20.31,19.66,18.83,17.16,15.76,14.56,15.61,11.83,9.41,8.06,6.96,6.84,7.28,9.28,10.05,0,10.75,--,0,0,0,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
