报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
基本每股收益(元),0.04,0.09,0.28,0.25,0.48,0.32,0.21,0.15,0.16,0.24,0.21,0.61,0.87,1.48,1.18,0.97,
每股净资产(元),--,--,--,--,--,--,--,--,1.61,2.61,3.58,4.9,8.97,2.67,2.14,1.77,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.21,-1.33,-0.03,-0.35,-0.33,-2.22,1.87,-2.75,
主营业务收入(万元),7183367,6969172,6805931,5791367,3964107,2194986,1151420,748380,697478,604071,264901,287317,179695,28443,18484,14730,
主营业务利润(万元),397298,470955,465077,398914,273318,170482,105182,86952,68624,44913,27161,23677,25141,19453,13400,11315,
营业利润(万元),1680,20014,74827,63057,55025,39209,26807,14865,13562,16573,7671,17669,10803,12046,9524,8417,
投资收益(万元),47254,14172,15717,11601,7946,6155,4155,32,-16214,462,11088,-5789,-519,1283,-100,--,
营业外收支净额(万元),535,355,1575,3268,422,2725,-531,981,1179,--,938,243,409,343,-31,-1,
利润总额(万元),2215,20369,76402,66325,55446,41934,26276,15846,14741,16740,8609,17912,11212,12389,9492,8416,
净利润(万元),9014,20009,59524,51875,49243,31228,20029,12548,13501,13119,7690,15040,8160,10511,8355,6848,
净利润(扣除非经常性损益后)(万元),-15949,16779,55265,49629,38537,26247,17611,7990,12988,13022,1156,14833,7754,10219,8381,6849,
经营活动产生的现金流量净额(万元),261396,163676,4064,-414683,-180546,-328044,-271876,26802,-17787,-73940,-1113,-8547,-4068,-15702,13258,-19450,
现金及现金等价物净增加额(万元),4189,-126980,-7898,-55240,208584,41738,18090,35185,926,-20630,26690,-23313,59248,12937,954,2176,
总资产(万元),4190128,4339223,4726238,4238183,3281347,2185265,1452053,1046479,1285951,1286083,918410,512322,651862,331008,353695,188301,
流动资产(万元),3322080,3425379,3769419,3400226,2603364,1785386,1153176,867912,1154250,1190372,857949,489312,639121,325764,349022,185465,
总负债(万元),3347593,3475727,3861025,3460027,2619455,1794841,1155438,893726,1150389,1137372,782373,390844,540990,312080,338526,175766,
流动负债(万元),2975961,3207488,3527631,3164966,2412232,1643128,1053118,803557,1085627,1135785,780752,390455,540961,312018,338492,175766,
股东权益不含少数股东权益(万元),593142,591180,595416,548922,504435,316798,267365,148285,134535,145185,132678,121189,110846,18928,15169,12536,
净资产收益率加权(%),1.53,3.37,10.38,9.99,11.44,10.8,10.23,9.16,9.88,9.41,6.35,12.98,20.69,51.46,49.99,53.19,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
