报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,
基本每股收益(元),-0.14,-0.16,0,-0.1,0.01,-0.04,0.01,0.02,0.03,0.01,-0.17,0.01,0.08,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.35,1.33,1.32,1.49,1.48,2.79,4.22,5.45,5.25,4.97,4.78,1.81,1.66,1.54,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.08,0.17,-0,-0.05,0.05,0,0.14,-0.8,1.22,-0.46,0.64,0.46,0.03,--,
主营业务收入(万元),21515,8224,16635,8244,7876,21531,21033,30558,31507,33877,17652,30657,12728,16392,31144,43286,44094,45085,47961,42513,39158,26144,
主营业务利润(万元),-5035,-3748,-26,-55,568,1444,4815,7041,11662,13196,-387,2754,1236,1790,5878,8630,8414,9933,9502,9368,7031,5423,
营业利润(万元),-8590,-9875,225,-6513,-7151,-3966,551,1402,2913,2789,-12611,-2717,1780,-6644,823,4081,6005,6178,6867,6574,4582,2512,
投资收益(万元),--,1536,1551,131,--,--,--,--,--,--,--,--,0,0,-8,-12,-12,0,0,0,0,0,
营业外收支净额(万元),-297,-38,106,17,7768,492,-12,-109,10,62,586,3445,--,-10695,0,-8,0,0,-6,0,0,0,
利润总额(万元),-8887,-9912,331,-6496,617,-3474,539,1293,2924,2851,-12025,727,5245,-17339,815,4061,5993,6178,6860,6574,4582,2525,
净利润(万元),-9268,-10870,257,-6496,430,-2506,487,1099,1719,584,-11604,731,5245,-17339,863,3815,5659,5847,6478,4404,3877,2397,
净利润(扣除非经常性损益后)(万元),-9058,-10953,114,-6513,-7262,-2998,501,1222,1713,525,-12191,-2713,1780,-6756,863,3823,4910,3646,4532,0,0,--,
经营活动产生的现金流量净额(万元),-27677,-3125,3257,-2478,5213,1290,-1876,13417,5005,11233,-267,-3408,3495,126,3730,-9122,24439,-9261,12811,5531,0,--,
现金及现金等价物净增加额(万元),-38736,46881,-5464,-50651,17934,10950,-227,20807,6271,-103,116,290,-56,126,-387,-7616,921,-23127,30224,-541,0,--,
总资产(万元),99737,87233,95985,94236,98272,97899,99318,100333,102140,139890,145161,119529,109813,131859,151193,153446,143126,122106,124466,39906,40289,32402,
流动资产(万元),54336,55281,58538,16395,64129,60177,37557,34587,38280,8556,3931,9110,2234,10482,32439,34176,25556,0,0,0,0,7489,
总负债(万元),36905,15133,13016,11524,9064,9041,8035,9532,12441,51249,57565,20531,11546,38948,41396,40048,33737,22683,28949,18171,20319,13908,
流动负债(万元),36282,14423,12218,10689,8692,8854,8035,9532,12441,50733,57030,20531,11546,32948,41396,40048,33737,0,0,0,0,8214,
股东权益不含少数股东权益(万元),62832,72100,82970,82712,89208,88858,91284,90801,89699,88641,87596,98998,98267,92911,109797,108913,105098,99423,95517,21734,19970,18493,
净资产收益率加权(%),-13.74,-14.02,0.31,-7.56,0.48,-2.78,0.53,1.22,1.93,0.66,-12.44,0.74,5.49,-17.15,0.79,4.66,5.48,5.88,11.17,19.86,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
