报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.43,0.72,0.76,0.53,--,0.38,0.33,--,--,--,
每股净资产(元),5.17,6.31,5.59,4.82,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),1.06,0.71,0.46,0.69,--,--,--,--,--,--,
主营业务收入(万元),117739,114225,110342,96137,59551,47521,34294,24526,15938,9249,
主营业务利润(万元),102759,101982,99476,88983,55105,43255,31406,22211,14405,7505,
营业利润(万元),25983,42145,44086,26338,22795,18315,14410,8747,4511,352,
投资收益(万元),457,--,873,538,--,--,--,--,--,-58,
营业外收支净额(万元),-3060,-1012,-820,4511,6096,3900,2878,1930,1429,1535,
利润总额(万元),22923,41134,43266,30849,28891,22216,17288,10677,5940,1887,
净利润(万元),22930,36966,38872,26810,25684,19630,15651,11031,6244,1887,
净利润(扣除非经常性损益后)(万元),29278,32226,35777,20569,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),58764,36128,23511,35435,34954,23971,18461,16648,9835,2934,
现金及现金等价物净增加额(万元),28682,9447,-3509,-5101,27500,21624,24457,12307,1744,2216,
总资产(万元),332000,370304,334310,288919,195456,158575,112832,74218,61878,53774,
流动资产(万元),164665,214994,175554,126164,111060,89796,54870,28451,16691,14357,
总负债(万元),41634,42697,42686,34022,41574,30507,7471,7638,9479,7410,
流动负债(万元),25086,24388,22317,17479,9082,6187,3736,5553,4887,1386,
股东权益不含少数股东权益(万元),286801,322117,284965,245905,143784,118066,98436,66580,52399,46364,
净资产收益率加权(%),7.22,12.18,14.64,11.52,--,--,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
