报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),2.56,3.59,4.67,5.54,5.29,3.7,3.2,1.94,1.06,0.3,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,4.85,5.11,5.12,5.34,3.07,0.53,0.27,
主营业务收入(万元),745929,814424,774058,890035,911725,826175,743142,107746,52507,28459,
主营业务利润(万元),386812,398123,362319,434756,413687,316310,279377,32420,14879,5060,
营业利润(万元),335075,357303,307792,344771,332896,238777,211256,21197,11231,3212,
投资收益(万元),46377,35047,33580,25039,18676,13231,1998,--,3,--,
营业外收支净额(万元),815,-2078,200,20803,16790,5405,61,793,65,6,
利润总额(万元),335890,355225,307992,365574,349686,244182,211317,21990,11296,3218,
净利润(万元),269530,267753,230988,274069,261996,183054,158211,16492,8463,2403,
净利润(扣除非经常性损益后)(万元),223952,228824,189168,--,--,--,--,15897,8413,2399,
经营活动产生的现金流量净额(万元),167145,206363,213291,240317,252814,253505,264457,26323,4261,2125,
现金及现金等价物净增加额(万元),-309273,301879,-9165,-185680,217740,-12051,-102576,15738,-988,43,
总资产(万元),1511024,1529280,1119011,976058,937806,751444,522067,62786,30295,10284,
流动资产(万元),1258032,1321553,913437,815275,789946,680216,475435,48392,22076,6376,
总负债(万元),269677,348219,385320,378691,373939,387698,291875,40427,20880,7203,
流动负债(万元),259053,339620,376441,368620,367254,383467,287719,38839,20817,7143,
股东权益不含少数股东权益(万元),1241346,1181061,733691,597367,563867,363746,230192,22360,9415,3081,
净资产收益率加权(%),22.85,25.67,38.77,46.73,57.77,62.51,101.74,94.28,127,120.38,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
