报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.45,0.44,0.51,0.36,0.28,0.32,0.28,0.13,0.29,0.07,1.62,-1.64,-1.89,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.65,0,-0.68,-2.51,-0.71,1.47,1.43,--,3.4,2.48,1.15,1.45,1.96,2.69,2.88,1.61,0.81,0.61,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-1.1,-1.1,-0.13,-0.93,-0.34,0.39,0.36,-1.54,1.17,2.71,0.16,-0.71,-0.58,0.98,--,--,--,--,
主营业务收入(万元),27241168,23400757,20329063,11906686,5992331,4838397,3540233,2935574,3393435,0,30685,168386,345231,551301,480928,505454,681714,448670,98826,99348,120929,151201,46856,23445,23906,39649,
主营业务利润(万元),827903,623412,455706,391610,223106,158116,74680,82072,77064,0,1641,8263,31103,106935,56787,104512,231662,167636,17273,5212,22606,39550,4567,2725,2258,1948,
营业利润(万元),176562,180739,121061,50408,51288,41957,22927,13402,21366,-1347,-77971,-82872,-82886,919,-69857,-381,82053,70637,-7744,-17824,1438,22521,4727,2833,2401,1948,
投资收益(万元),-17560,68864,18077,-12898,56750,49720,42924,8765,22269,--,11018,131,-272,663,2988,-17,129,50,0,0,0,0,0,--,0,0,
营业外收支净额(万元),17010,12038,7493,30226,7276,9436,2771,3433,2199,4365,145649,7773,3610,239,-209,-289,-1547,0,-93,-31,-42,0,0,180,--,--,
利润总额(万元),193572,192777,128555,80634,58564,51392,25698,16835,23565,3018,67679,-75099,-79276,2925,-66436,1564,80746,68662,-7825,-17647,4176,22487,4730,3012,2391,1963,
净利润(万元),110596,106805,71432,42644,28885,28350,24144,11486,17751,3018,69762,-70299,-81112,2421,-65805,1585,61425,60694,-7825,-17448,3869,19080,4021,2560,2032,1669,
净利润(扣除非经常性损益后)(万元),107259,42834,38852,65015,18627,16356,-12260,-5810,1689,-1035,-69734,-77822,-84426,531,-69726,-328,61537,61338,-9142,-18327,1089,--,--,--,--,--,
经营活动产生的现金流量净额(万元),414015,202752,-289408,222155,292277,-480522,-468028,47271,-94900,-47118,-5686,-39913,-14636,16571,15484,-66034,50097,97216,5842,-25412,-20829,18316,--,--,--,--,
现金及现金等价物净增加额(万元),-36155,210281,222007,19879,120658,3874,9222,-26291,38972,-20764,30734,-14736,-27750,1282,6574,-58933,45247,34736,5888,-8580,2735,8863,--,--,--,--,
总资产(万元),6573246,5479255,4555603,3390974,2609804,2079278,1320641,675055,685186,15320,68922,158833,302782,430501,426683,428923,434778,276200,158436,129378,131500,98785,62691,33950,33593,26730,
流动资产(万元),4902486,3883253,3325874,2338139,1853956,1703627,1095125,482304,494431,15319,36477,90914,215505,342102,332786,332798,369124,0,0,0,0,74621,42226,18266,22882,16694,
总负债(万元),4393644,3527382,2951338,2290940,1710493,1535288,1113953,505576,528086,15297,98245,264282,324965,357256,355881,288661,278489,187275,117229,77319,61385,48426,31038,23344,28265,22696,
流动负债(万元),3639895,2887766,2663537,2148696,1661330,1501444,1077933,459725,472895,14270,96974,263900,324510,356179,355412,284924,257198,0,0,0,0,44746,28838,19518,24770,20831,
股东权益不含少数股东权益(万元),1358398,1217764,1094563,668970,603707,377270,180778,153911,141909,22,-29323,-108073,-30435,63037,61416,131819,146313,88925,41208,52059,70115,50359,31653,10606,5328,4034,
净资产收益率加权(%),9.61,10.02,9.04,6.79,7.21,13.57,14.38,7.77,11.59,--,0,--,0,3.87,-69.31,1.15,50.19,93.28,-17.34,-28.71,0,46.53,--,--,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
