报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.18,0.16,0.11,0.42,0.5,0.36,0.82,0.97,1.7,1.1,0.66,0.6,
每股净资产(元),1.71,1.52,1.46,2.96,2.08,4.3,2,2.5,4.03,2.21,1.82,1.61,
每股经营活动产生的现金流量净额(元),0.29,--,--,--,--,--,1.37,0.86,1.7,1.43,1.15,-0.38,
主营业务收入(万元),73906,60311,48150,37797,23182,18318,15008,11258,6823,3792,2161,2129,
主营业务利润(万元),23179,19160,17022,14628,11485,7853,6199,4624,2956,1791,1038,973,
营业利润(万元),7733,6030,4782,3421,3907,2901,2383,1790,1016,539,263,328,
投资收益(万元),-5,-103,-136,-5,224,8,12,3,4,0,--,--,
营业外收支净额(万元),-6,-3,-24,306,318,2,-10,3,0,119,24,--,
利润总额(万元),7727,6027,4758,3726,4225,2903,2373,1794,1016,658,287,328,
净利润(万元),6652,5780,4050,3461,3802,2761,2070,1503,972,606,264,240,
净利润(扣除非经常性损益后)(万元),6041,5416,3948,3191,3269,2753,2068,1498,968,495,--,--,
经营活动产生的现金流量净额(万元),10371,7557,7568,5535,5286,4028,3497,1397,1086,788,512,-152,
现金及现金等价物净增加额(万元),-5506,-6198,26924,-1748,241,5454,-157,841,353,418,410,-511,
总资产(万元),77803,63472,62820,35857,23456,18178,8473,6655,3917,2077,1370,1091,
流动资产(万元),38877,39286,42087,15841,11716,10871,4766,4580,2988,1796,1223,999,
总负债(万元),15253,8605,10013,10515,7276,5220,3275,2370,1229,861,561,446,
流动负债(万元),13589,7751,7913,9828,6796,5208,3275,2370,1229,861,561,446,
股东权益不含少数股东权益(万元),61830,54765,52807,25343,16180,12487,5120,4035,2582,1216,809,644,
净资产收益率加权(%),11.41,10.83,10.98,16.11,27.76,25.94,46.17,50.37,63.59,46.81,33.97,43.65,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
