报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0.01,0.07,0.05,0,-0.13,0.01,0.03,0.04,0.08,0.03,-0.25,0.14,0.36,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,2.01,1.96,1.93,2.23,2.19,2.31,2.23,3.94,3.33,2.87,2.78,1.74,1.56,1,1,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.45,0.35,0.44,0.13,0.57,0.1,-0.02,2.61,2.46,1.09,-0.3,0.14,--,--,--,
主营业务收入(万元),6339747,6718756,5368373,3102818,2250102,2979189,3777042,3693361,4281492,4054638,3401623,4412373,2677296,1826546,1897097,1624616,1071983,640478,558135,589847,592254,589998,652687,
主营业务利润(万元),741158,1014329,809479,248972,-337989,307393,280093,265489,276504,182139,-44230,369014,308132,128210,134181,130755,127695,76641,60851,62697,55203,53950,61469,
营业利润(万元),137722,425388,282938,-40779,-599432,51929,38232,38012,67349,27563,-221118,110743,198814,73231,113795,97812,85334,44852,41545,45397,37101,36433,39001,
投资收益(万元),11129,34208,-38881,3881,4588,4775,4944,1112,2218,2721,624,47,45,21,3,333,420,-129,-292,--,--,--,--,
营业外收支净额(万元),1292,-1314,-296,73659,164048,-9705,3933,-4143,-2700,-1576,4675,-4755,-4630,-77,-1049,-504,-819,-715,-1156,-1339,-16,-14,-129,
利润总额(万元),139014,424074,282642,32880,-435384,42225,42165,33869,64649,25987,-216443,105988,194184,73213,112751,97641,84935,44008,40097,44059,37085,36419,38873,
净利润(万元),66793,332376,206126,8503,-330633,20033,25069,25614,49629,19410,-163122,92034,174645,65380,100642,87809,56555,30543,25666,28889,25171,24162,25923,
净利润(扣除非经常性损益后)(万元),66031,325398,189718,-46786,-475920,28621,14363,28471,46588,20273,-168245,98892,167163,63976,100781,87963,56419,31507,26708,29550,--,--,--,
经营活动产生的现金流量净额(万元),-38683,714875,732897,646082,-97480,296457,714899,549016,287354,223678,284577,86398,368401,33995,-6126,326632,307708,135960,-37647,12865,--,--,--,
现金及现金等价物净增加额(万元),64818,29548,310555,-581130,641186,28116,-161075,-99326,74501,-188810,66919,120323,79391,-59119,-266464,291095,50665,42805,67548,4118,--,--,--,
总资产(万元),14708662,14880069,14664246,14143972,14493216,10366616,8792414,6375937,4973308,4204399,4294206,4389931,3362646,1385391,1220901,1284463,973933,826683,727136,265793,247735,176984,173494,
流动资产(万元),4131912,4484183,4139647,3286653,3695821,3484680,2859827,2850921,2632472,2034065,2074608,2167482,1306260,667634,493769,603828,342621,--,248383,87647,71222,66578,57376,
总负债(万元),8610537,9613081,9710534,9399852,9762863,8450931,6880403,5061320,3671188,2939680,3049545,2954650,1955178,603416,582159,792543,558199,467504,379782,109357,107688,85727,82237,
流动负债(万元),6804583,7987611,8888200,8208854,8512844,6548951,5419421,3684291,2721283,1961956,1838726,2380046,1748493,554541,389611,501501,471055,--,193079,98097,69688,47727,44237,
股东权益不含少数股东权益(万元),5270773,5246896,4933603,4723430,4709728,1895509,1891943,1295626,1289218,1260472,1240521,1435281,1407469,781975,638741,491920,415734,359179,347354,156436,140047,91257,91257,
净资产收益率加权(%),1.04,6.5,4.27,0.18,-9.51,1.06,1.23,1.98,3.91,1.55,-12.17,6.48,15.94,8.81,17.88,19.26,14.42,8.42,8.09,18.7,24.24,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
