报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),0.26,0.2,0.19,0.23,0.2,0.14,0.22,0.07,0.05,-0.12,0.02,0.07,0.07,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.75,1.69,1.84,1.87,1.84,1.8,1.75,1.93,1.27,1.41,1.2,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.14,0.08,0.2,0.13,-0.04,0.12,0.15,-0.06,0.29,0.26,0,
主营业务收入(万元),144684,145372,136056,137100,134381,110024,102667,57182,52145,50542,52687,61549,51590,47197,40034,43801,35697,28007,29231,
主营业务利润(万元),48243,49328,48953,53130,51344,38038,34953,7129,6355,4667,5119,7630,7239,5347,3902,6644,6521,6196,6029,
营业利润(万元),18088,22384,21506,22008,20916,8732,9479,1313,1164,-336,743,1822,1965,2012,1274,4057,4684,4425,4140,
投资收益(万元),2663,425,494,138,563,--,39,--,--,--,0,0,0,0,0,0,0,0,0,
营业外收支净额(万元),3700,-52,-256,2904,885,378,2342,702,392,-4222,79,--,--,-21,-268,-64,1,0,0,
利润总额(万元),21788,22332,21250,24911,21801,9110,11821,2014,1556,-4558,822,2206,1872,1992,1350,3992,4685,4314,4129,
净利润(万元),20954,16039,15656,18474,16638,7143,9077,1890,1473,-3340,486,1939,1943,1772,1015,3107,3657,3651,3493,
净利润(扣除非经常性损益后)(万元),12740,15778,14637,16064,10814,6859,7321,1209,1166,-184,407,1555,2034,1711,920,3156,0,0,0,
经营活动产生的现金流量净额(万元),6304,21539,22876,21201,25811,19012,6546,2768,3970,2035,5607,3600,-1158,3481,4186,-1451,5001,0,0,
现金及现金等价物净增加额(万元),-3295,11973,-16620,20393,421,3287,-1516,462,472,-88,-421,1738,-998,-2797,-9296,13915,-2436,0,0,
总资产(万元),273880,281346,241160,260255,201634,123918,116212,69604,64346,63783,66518,67804,67534,64702,59564,59485,27584,30832,27605,
流动资产(万元),202084,172846,137347,158166,125936,55253,59732,33689,28992,28924,28873,29198,27308,20823,21328,31957,13353,16085,12859,
总负债(万元),60323,73726,55667,84674,38751,30869,27448,19739,15532,16442,14998,15654,16205,14495,10798,10465,5488,6335,6759,
流动负债(万元),57908,66381,55311,84415,38478,30869,27442,19739,15532,16442,10998,15654,13205,11495,10798,10465,5488,6335,6759,
股东权益不含少数股东权益(万元),204347,195674,185365,175440,162697,92850,88550,49865,48813,47341,51519,52151,51329,50208,48766,49020,22096,24497,20846,
净资产收益率加权(%),9.93,8.44,8.7,10.93,10.58,7.85,10.7,3.81,3.06,-6.78,0.94,3.76,3.8,0,2.08,9.25,13.89,16.1,18.26,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
