报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
基本每股收益(元),0.13,-0.37,0.03,0.02,0.02,0.02,-0.13,0.14,0.36,0.18,0.22,0.21,0.44,0.51,0.31,1.01,
每股净资产(元),--,--,--,--,--,--,--,--,3.74,2.56,3.68,3.55,1.81,--,1.26,5.97,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.02,-0.13,0.01,0.16,0.1,0.18,0.17,0.62,
主营业务收入(万元),35881,24753,50337,47947,38980,43850,34096,39779,52620,27526,18118,14290,19541,18123,12092,6939,
主营业务利润(万元),6337,2791,8299,11133,9280,13037,9268,18128,18559,10368,5737,4745,7092,6782,4527,2520,
营业利润(万元),4721,-12341,963,45,133,-1263,-6918,4141,6325,2768,1951,1524,3943,3486,2080,1163,
投资收益(万元),10287,1,0,0,--,-1,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),212,-380,25,770,688,1577,932,1329,509,426,708,664,70,--,--,--,
利润总额(万元),4934,-12721,988,815,821,315,-5986,5470,6834,3194,2658,2187,4013,3486,2080,1163,
净利润(万元),4794,-13286,956,725,886,782,-4809,5091,5845,2886,2387,2002,3503,3135,1938,1012,
净利润(扣除非经常性损益后)(万元),-5982,-13535,236,127,444,-391,-5465,4951,5412,2537,1785,1734,3299,3135,1938,1012,
经营活动产生的现金流量净额(万元),13417,5552,-9158,3545,6031,-379,-11300,-9516,-399,-2081,118,1715,778,1138,1071,618,
现金及现金等价物净增加额(万元),11906,-3766,4279,2184,2209,-1222,-6632,-15474,18340,-5819,-3099,20312,626,1064,45,76,
总资产(万元),78176,77418,99568,87335,84946,85681,82511,79779,82501,50873,47706,45716,24116,18658,11962,9639,
流动资产(万元),72698,69976,92570,78397,74691,75462,72159,70559,75239,43960,42638,41970,21010,15773,9488,8729,
总负债(万元),18358,22329,30836,19643,18744,19595,16886,10618,15755,9733,8382,7709,9643,7638,3818,3616,
流动负债(万元),18351,21480,29880,18137,17247,17939,16379,10218,15355,9733,8100,7709,9643,7638,3818,3616,
股东权益不含少数股东权益(万元),59819,55089,68732,67693,65693,65164,64352,69161,66746,41140,39324,38007,14474,10970,7835,5973,
净资产收益率加权(%),8.35,-21.45,1.4,1.1,1.35,1.21,-7.2,7.54,13.55,7.19,6.19,7.14,27.54,33.35,27.92,18.51,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
