报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),0.12,0.21,0.23,0.21,0.53,0.41,0.46,0.29,0.26,0.24,0.32,0.28,0.31,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,1.6,1.44,1.85,1.63,2.24,3.41,1.77,2.19,1.34,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,0.23,0.32,0.27,-0.06,0.34,0.68,0.65,1.33,0,
主营业务收入(万元),153547,169031,136837,135335,182066,155077,126100,92987,77495,66264,42508,37459,35221,24950,17211,15568,8789,
主营业务利润(万元),35743,33612,36921,45800,64060,50240,39589,28778,25447,19162,15058,14535,11810,8936,8433,7318,3599,
营业利润(万元),9097,15851,12566,14028,35437,26864,21697,13295,13332,10828,8899,7731,7082,5032,4902,4263,350,
投资收益(万元),1627,1307,555,1911,3274,2246,1388,1161,--,--,--,-18,--,0,0,0,0,
营业外收支净额(万元),14,-52,5289,1288,5860,4242,1600,1394,21,1230,1886,1654,--,0,0,0,0,
利润总额(万元),9111,15798,17854,15316,41296,31105,23297,14689,13354,12057,10785,9385,8692,5990,5729,4760,282,
净利润(万元),8677,14549,16265,14641,37093,29219,20079,12734,11520,10420,9382,8116,6139,4194,3916,3353,279,
净利润(扣除非经常性损益后)(万元),7547,9211,10421,16127,34565,27396,18991,12913,11780,10760,9446,8122,6096,4207,3914,3278,292,
经营活动产生的现金流量净额(万元),-4445,58824,-42987,30469,19424,41922,22386,24784,10013,14004,7972,-1663,6595,7785,4645,5294,2129,
现金及现金等价物净增加额(万元),-27219,41890,-37722,19438,-6451,31451,3844,3900,-1426,2940,3744,-10843,-4254,24161,4302,1127,222,
总资产(万元),234972,225051,218657,203403,192072,158342,122925,107741,85219,73424,59196,56562,57688,54327,25717,20339,17913,
流动资产(万元),172618,161816,142253,129273,131864,117626,80114,77553,57340,48712,39539,36266,39820,38256,15094,9137,6162,
总负债(万元),33245,26779,30581,37005,35287,33219,26419,26880,14580,9779,4543,8353,11703,13097,11081,10328,12558,
流动负债(万元),31698,25008,28458,30894,33459,32677,25637,26000,13505,9030,4030,8234,7793,11547,11081,10269,9558,
股东权益不含少数股东权益(万元),192829,189401,179419,163581,155703,125123,96507,80861,70336,63269,54468,48024,43824,39289,12715,8758,5355,
净资产收益率加权(%),4.54,7.82,9.48,9.17,26.82,26.32,22.73,16.72,17.24,17.7,18.31,17.55,14.85,28.31,36.54,47.69,5.34,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
