报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0.18,0.08,0.08,0.25,0.45,0.14,0.2,0.31,0.38,0.96,0.32,0.54,0.59,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,6.7,6.34,3.6,4.5,4.42,4.34,4,3.96,4.24,3.84,3.73,1.67,1.6,0,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,1.14,2.05,0.84,1.44,1.01,0.95,0.5,0.98,0.69,0.74,0.82,0.29,0.46,0,--,
主营业务收入(万元),2646170,1193318,1024483,521262,359060,211453,222370,418734,205628,199642,145544,96600,98469,72481,49213,39393,33000,31276,27981,40014,33915,24977,20187,
主营业务利润(万元),117767,73858,59104,59913,52767,35807,42809,47907,39488,46143,26256,30333,17874,21625,13593,11309,11248,13337,10710,8059,7965,7790,7315,
营业利润(万元),25208,12755,12744,14166,48178,9187,7346,12249,12383,21992,6315,11230,10103,10297,6833,6498,7711,8458,7737,5826,5488,5131,4882,
投资收益(万元),-5549,8730,18780,5547,65446,50893,537,1160,-27,124,-102,-46,4866,1626,1064,425,80,-112,-157,0,--,0,--,
营业外收支净额(万元),-92,1648,655,13546,6083,4000,2696,2017,2084,353,418,20,-149,-131,-175,-33,-56,-96,-78,-191,37,4,114,
利润总额(万元),25116,14403,13398,27712,54260,13187,10042,14266,14467,22346,6734,11250,9955,11793,7722,4989,7735,8250,7502,5635,6561,5135,4997,
净利润(万元),15179,6850,6344,20940,37591,3833,5475,8488,10475,16560,4939,8403,9292,9187,5340,3249,6222,6248,5940,4651,4661,4135,4096,
净利润(扣除非经常性损益后)(万元),-3695,-6719,-10468,4478,-22505,-40100,3761,6911,7467,15597,4492,7927,8326,7519,5115,2870,5623,6338,6017,0,--,0,--,
经营活动产生的现金流量净额(万元),47560,6579,22740,22780,42905,-4427,27652,19335,31498,37735,13184,22601,15897,14884,7851,15339,10858,11643,12803,3211,5103,0,--,
现金及现金等价物净增加额(万元),-24242,-33827,-3055,57324,-2441,59999,7911,-18621,12891,17615,2593,-1737,8932,5025,-6280,-4744,9497,-11014,17038,-464,2024,0,--,
总资产(万元),1599538,1440497,1275379,1100453,924585,926254,821737,743675,513892,361418,290350,259713,259920,237279,203364,172344,130397,78434,80906,29130,37513,35261,30021,
流动资产(万元),573103,504453,394651,294186,231882,222441,175664,170701,117841,98996,68423,47247,54638,43281,31497,25788,29390,0,28860,0,12040,8755,7073,
总负债(万元),1342694,1201675,1023387,795675,620566,506630,453653,399284,297123,221927,219581,166568,170653,148180,121170,94985,54579,16355,17463,10457,19580,17777,17790,
流动负债(万元),904922,921190,513113,225675,346054,272254,232531,172109,180744,96846,112826,68229,55813,64148,44266,41464,45503,0,12798,0,15873,14275,13804,
股东权益不含少数股东权益(万元),203768,188318,203857,266310,267778,381735,328559,311235,184861,116558,56409,70591,69242,67994,62725,62011,66443,60203,58539,18673,17933,17484,12231,
净资产收益率加权(%),7.74,3.47,2.35,7.53,11.87,1.08,1.72,3.02,7.55,16.78,7.15,12.02,13.72,14.13,8.57,7.85,9.53,10.13,10.41,25.41,26.08,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
