报告日期,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.13,0.07,0.08,0.13,0.1,0.22,0.4,0.36,0.41,0.95,1.12,0.55,0.29,
每股净资产(元),--,--,--,--,--,--,--,--,4.94,6.95,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,-0.38,-0.25,0.52,0.65,0.39,
主营业务收入(万元),617961,556818,474499,413814,417110,463761,480744,367463,376408,309825,284103,314976,258040,
主营业务利润(万元),117582,98739,72234,70424,78631,76820,74046,53193,61977,65188,60421,64049,36848,
营业利润(万元),50035,26598,28650,46844,40635,27443,28461,28739,29388,44099,55878,28147,17137,
投资收益(万元),3540,-3805,18648,16915,4287,-2615,-3321,2527,-6262,4131,17184,-7145,1269,
营业外收支净额(万元),140,33,142,3361,1388,1438,23417,1374,4576,3094,1448,619,133,
利润总额(万元),50175,26631,28791,50205,42022,28881,51877,30113,33964,47194,57325,28766,17270,
净利润(万元),43549,22137,25014,41677,34917,23789,43383,25469,28585,40276,46977,23082,12158,
净利润(扣除非经常性损益后)(万元),39258,28674,11044,23247,33784,23617,24974,20777,29961,34636,0,0,0,
经营活动产生的现金流量净额(万元),44854,53298,-30841,32399,163,21386,-514,43018,-26782,-11854,21680,27149,16243,
现金及现金等价物净增加额(万元),-10062,51843,-13784,-35713,-15916,-12378,-6072,16889,-46821,141225,5486,6373,-4196,
总资产(万元),635910,664339,622469,643697,621489,589143,504178,473263,445584,408327,232631,198105,164188,
流动资产(万元),506567,539774,479868,445270,452862,449422,421978,393734,381026,354152,191128,169196,131552,
总负债(万元),130544,194195,158950,199727,207593,167263,91605,89971,95328,79818,111399,122680,111599,
流动负债(万元),119273,183597,148557,190887,207449,163903,91600,89930,95328,79817,111004,122680,111584,
股东权益不含少数股东权益(万元),503757,469683,463028,443970,413938,421922,412234,381489,348484,326833,119117,72323,49541,
净资产收益率加权(%),8.97,4.74,5.56,9.74,7.82,5.7,10.84,6.88,8.43,28.49,49.07,37.82,26.48,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
